seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,3408,20,27,81,0.22083439528536733,6.183363067990285
5001,1217,14,13,39,0.15694295207140385,2.197201328999654
5002,2668,19,24,72,0.3820121143995493,9.550302859988733
5003,555,9,8,24,0.33034755333331606,2.9731279799998447
5004,1181,14,12,36,0.35906155415320357,4.667800203991646
5005,3476,25,18,54,0.3402033804735478,6.463864228997409
5006,2319,19,19,57,0.3114960871577128,5.918425655996543
5007,1522,16,14,42,0.24129614279978948,3.619442141996842
5008,3760,22,27,81,0.4181725129999125,11.70883036399755
5009,803,8,14,42,0.2497499852666806,3.746249779000209
5010,7151,30,35,105,0.33081004477733383,11.909161611984018
5011,1089,10,15,45,0.29547507312463495,4.727601169994159
5012,3028,19,32,96,0.2218493253940048,7.321027738002158
5013,3826,23,28,84,0.19363951175847463,5.615545840995765
5014,330,6,6,18,0.3550931848570014,2.48565229399901
5015,2082,19,15,45,0.5225687525626199,8.361100041001919
5016,4284,23,28,84,0.28295710593098694,8.205756071998621
5017,1050,13,12,36,0.6855917519992195,8.912692775989854
5018,222,5,5,15,0.4958009673337074,2.9748058040022443
5019,23427,66,56,168,0.23385133347389792,13.32952600801218
5020,10963,32,51,153,0.18277343055755269,9.50421838899274
5021,591,9,10,30,0.6574032099997567,7.231435309997323
5022,6485,33,29,87,0.3515795859000112,10.547387577000336
5023,2172,14,22,66,0.18374296565209236,4.2260882099981245
5024,1501,16,12,36,0.28112920246153056,3.6546796319998975
5025,1510,16,13,39,0.5900668608571452,8.260936052000034
5026,15319,53,45,135,0.24313932497795537,11.184408948985947
5027,6599,29,36,108,0.29656778656804034,10.973008103017492
5028,1049,10,14,42,0.36684579559999597,5.502686933999939
5029,5867,33,24,72,0.26486592003973786,6.621648000993446
5030,161,4,5,15,0.38584491433296836,2.3150694859978103
5031,9685,36,46,138,0.2829143651910504,13.296975163979369
5032,885,12,10,30,0.4300454938179014,4.730500431996916
5033,7818,22,49,147,0.22436589536009705,11.218294768004853
5034,1173,13,15,45,0.4227551005339289,6.341326508008933
5035,7133,23,48,144,0.33645346016285715,16.48621954798
5036,624,7,12,36,0.7245461324620499,9.41909972200665
5037,775,11,9,27,0.3615537190991745,3.615537190991745
5038,2423,20,19,57,0.20050791679968824,4.010158335993765
5039,4295,20,31,93,0.2560423455936416,8.19335505899653
5040,4802,27,35,105,0.37103119850012767,13.357123146004596
5041,2763,18,28,84,0.11499169055228965,3.3347590260163997
5042,3559,23,23,69,0.4253667707078724,10.208802496988937
5043,8504,39,36,108,0.28742311016193944,10.634655075991759
5044,8811,34,46,138,0.20095169708478583,9.444729762984934
5045,27702,62,69,207,0.2091907204999838,14.643350434998865
5046,6729,28,34,102,0.3280302410855906,11.48105843799567
5047,688,10,10,30,0.3403452918183492,3.7437982100018417
5048,385,6,9,27,0.4616661266994925,4.6166612669949245
5049,1272,14,14,42,0.39136340399927577,5.870451059989136
5050,1035,13,9,27,0.37570837609928276,3.7570837609928276
5051,4898,18,40,120,0.42407282602404694,17.386985866985924
5052,3721,26,18,54,0.23835158036825688,4.528680026996881
5053,2853,22,21,63,0.4884748648186029,10.746447026009264
5054,3409,24,22,66,0.26805270908675005,6.165212308995251
5055,7163,33,39,117,0.3482631360001506,13.930525440006022
5056,1528,16,12,36,0.2746164483841522,3.5700138289939787
5057,2652,16,24,72,0.3895799168001395,9.739497920003487
5058,24799,41,113,339,0.20040641790320365,22.846331640965218
5059,13958,49,42,126,0.22982328130244642,9.882401096005196
5060,913,12,11,33,0.28084114166661794,3.3700936999994155
5061,2813,22,19,57,0.2295813625003575,4.59162725000715
5062,13244,42,53,159,0.33405718944460977,18.03908823000893
5063,4324,28,22,66,0.3604245502167981,8.289764654986357
5064,1168,11,17,51,0.37687121135305085,6.406810593001865
5065,3472,24,23,69,0.2360981392495584,5.6663553419894015
5066,13159,38,51,153,0.2386354282305267,12.409042267987388
5067,753,10,12,36,0.39935095376858953,5.191562398991664
5068,2402,19,20,60,0.29467820410009155,5.893564082001831
5069,1947,13,26,78,0.4724546650743125,12.756275957006437
5070,1284,10,16,48,0.36120256335262263,6.140443576994585
5071,3338,20,26,78,0.15852756296347556,4.28024420001384
5072,277,6,6,18,0.40037818185685736,2.8026472729980014
5073,15769,35,76,228,0.21553736148038674,16.59637683398978
5074,5545,27,36,108,0.33544294313498935,12.411388895994605
5075,770,11,9,27,0.2881011273992044,2.881011273992044
5076,1220,13,15,45,0.3228409336252298,5.165454938003677
5077,1856,15,18,54,0.4942487336842245,9.390725940000266
5078,9773,43,30,90,0.3096612897418034,9.599499981995905
5079,1565,16,16,48,0.2869791377642661,4.878645341992524
5080,9707,36,43,129,0.22140961643229026,9.742023123020772
5081,4192,25,25,75,0.25829588084623256,6.715692902002047
5082,3329,17,25,75,0.27395811969206707,7.122911111993744
5083,5977,33,27,81,0.26974800239284896,7.552944066999771
5084,11709,46,39,117,0.21541332769966176,8.61653310798647
5085,5800,29,33,99,0.302544465441101,10.286511824997433
5086,3335,24,21,63,0.3442911987273295,7.574406372001249
5087,11212,46,34,102,0.16480356305702507,5.768124706995877
5088,7015,23,48,144,0.20511005759136441,10.050392821976857
5089,2372,16,19,57,0.22321233654911338,4.464246730982268
5090,2078,19,16,48,0.24123507329397184,4.100996245997521
5091,10442,29,53,159,0.22636812909271006,12.223878971006343
5092,11241,43,41,123,0.21550852871431353,9.051358206001169
5093,1946,16,20,60,0.2697872586187649,5.6655324309940625
5094,542,7,10,30,0.4961549492720885,5.457704441992973
5095,1081,13,14,42,0.3839975045331812,5.759962567997718
5096,21263,40,97,291,0.2976646628571592,29.171136960001604
5097,6133,24,33,99,0.3187178562352261,10.836407111997687
5098,18481,59,45,135,0.30351819808706554,13.961837112005014
5099,1933,18,17,51,0.2734144705557103,4.921460470002785
