seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,380,7,8,24,2.674383191998964,24.069448727990675
9001,2505,20,21,63,2.5725975656365665,56.597146444004466
9002,2328,19,20,60,2.159790231666453,45.35559486499551
9003,13852,47,43,129,1.6129816863179836,70.97119419799128
9004,11718,33,52,156,0.8658736237733327,45.89130205998663
9005,19088,49,64,192,0.9713674281692455,63.138882831000956
9006,2352,20,18,54,2.462605025999916,46.7894954939984
9007,6581,34,24,72,2.1448926225598552,53.62231556399638
9008,167,4,6,18,2.6630342207141178,18.641239544998825
9009,1385,14,14,42,1.8285135384001479,27.427703076002217
9010,10334,43,36,108,1.154579055648257,42.71942505898551
9011,5922,33,27,81,1.9341431777143694,54.15600897600234
9012,4258,26,25,75,1.220064403307473,31.7216744859943
9013,2840,20,25,75,1.9704812472688131,51.23251242898914
9014,8116,39,28,84,1.5097340505862717,43.78228746700188
9015,1025,13,10,30,3.162646345728056,34.789109803008614
9016,8015,38,36,108,2.149421951918673,79.52861222099091
9017,411,5,9,27,2.110215933221803,18.991943398996227
9018,1223,13,17,51,1.8245189932774035,32.84134187899326
9019,2061,19,15,45,1.8536376128126903,29.658201805003046
9020,962,9,14,42,1.3913278832667857,20.869918249001785
9021,1458,14,16,48,1.124074202059145,19.109261435005465
9022,2512,21,16,48,1.8497442068232084,31.44565151599454
9023,5962,33,26,78,1.0145209882591897,27.39206668299812
9024,11642,41,44,132,1.201284590422276,54.05780656900242
9025,1453,14,16,48,2.2038205424700315,37.46494922199054
9026,28357,73,60,180,0.9228981910165486,56.296789652009465
9027,3344,22,24,72,1.1341710583599343,28.354276458998356
9028,3368,18,26,78,1.2065784629999985,32.57761850099996
9029,21397,63,51,153,0.6273604678432343,31.99538386000495
