seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5100,659,10,9,27,0.43183529580128377,4.318352958012838
5101,5391,25,32,96,0.2071832515745579,6.8370473019604106
5102,2060,19,14,42,0.46076765553055643,6.911514832958346
5103,17118,57,45,135,0.23805549013005753,10.950552545982646
5104,1349,14,14,42,0.27603489013272337,4.140523351990851
5105,5730,32,23,69,0.24302334862295538,5.832560366950929
5106,3816,25,26,78,0.3163089724812717,8.540342256994336
5107,908,10,13,39,0.33971408742529874,4.755997223954182
5108,758,7,8,24,0.6137006996658683,5.523306296992814
5109,2056,12,22,66,0.25790379160784854,5.931787206980516
5110,2463,20,20,60,0.32332107666574994,6.789742609980749
5111,2265,16,23,69,0.2916008962492924,6.998421509983018
5112,2961,23,18,54,0.40364354615801284,7.669227377002244
5113,683,9,12,36,0.32530211861460256,4.228927541989833
5114,8123,39,29,87,0.236496622665436,7.09489867996308
5115,1507,12,19,57,0.3007058937495458,6.014117874990916
5116,1250,14,14,42,0.3225191341354124,4.837787012031185
5117,810,11,12,36,0.432964786073381,5.628542218953953
5118,284,6,6,18,0.5251844837143186,3.67629138600023
5119,1580,14,18,54,0.3928538918407867,7.464223944974947
5120,399,5,9,27,0.3758392978023039,3.758392978023039
5121,12141,48,35,105,0.3605624171125075,12.98024701605027
5122,8173,33,40,120,0.3847443948739965,15.38977579495986
5123,1690,17,14,42,0.4949405128019862,7.424107692029793
5124,662,8,13,39,0.6435767434283791,9.010074407997308
5125,2888,13,28,84,0.29889328934499143,8.667905391004751
5126,11396,38,63,189,0.22696101273390923,14.52550481497019
5127,1045,13,11,33,0.22646885733289915,2.71762628799479
5128,1564,16,14,42,0.31249917786626613,4.687487667993992
5129,11639,47,35,105,0.26477999616690795,9.532079862008686
5130,1258,9,20,60,0.2770121483370617,5.8172551150782965
5131,3454,25,19,57,0.3373000332998345,6.746000665996689
5132,22555,48,88,264,0.20285551829228904,18.054141128013725
5133,560,6,12,36,0.2615346791538356,3.399950828999863
5134,1805,15,19,57,0.351838711452001,7.03677422904002
5135,365,7,7,21,0.4887076028753654,3.9096608230029233
5136,6215,25,36,108,0.15871668032392533,5.872517171985237
5137,267,5,7,21,0.6647606388760323,5.3180851110082585
5138,10406,44,34,102,0.22425658640027646,7.848980524009676
5139,1700,17,15,45,0.3599901178131404,5.759841885010246
5140,676,10,10,30,0.3882052785444433,4.2702580639888765
5141,2926,19,24,72,0.2688241818390088,6.72060454597522
5142,909,12,11,33,0.37123503081833903,4.083585339001729
5143,4988,23,30,90,0.20801727571186698,6.448535547067877
5144,8362,38,32,96,0.22408812278775836,7.394908051996026
5145,2009,16,21,63,0.27203313917892624,5.9847290619363775
5146,21573,63,47,141,0.31455665229168517,15.098719310000888
5147,5114,19,42,126,0.2384871632547042,10.25494801995228
5148,11511,39,47,141,0.24560508231862765,11.5434388689755
5149,1733,17,16,48,0.42102609682307746,7.157443645992316
5150,374,7,8,24,0.803371602887637,7.230344425988733
5151,1136,11,16,48,0.4243133245883441,7.21332651800185
5152,3609,21,24,72,0.4475792415993055,11.189481039982638
5153,329,6,7,21,0.30875547250434465,2.470043780034757
5154,12783,47,38,114,0.3017649666681581,11.768833700058167
5155,11186,27,63,189,0.2691460442499647,17.22534683199774
5156,4645,29,22,66,0.2535107938703099,5.830748259017128
5157,1316,14,15,45,0.6118960037529177,9.790336060046684
5158,1523,16,14,42,0.2800880103323531,4.2013201549852965
5159,7156,31,41,123,0.22861466366503874,9.601815873931628
5160,8540,40,30,90,0.2972390335151783,9.214410038970527
5161,2110,13,24,72,0.23608158403949348,5.902039600987337
5162,1501,16,13,39,0.5969523230024996,8.357332522034994
5163,8252,23,56,168,0.25900415394745213,14.76323677500477
5164,296,6,7,21,0.5571863902514451,4.457491122011561
5165,292,6,7,21,0.2858311651234544,2.2866493209876353
5166,3089,21,25,75,0.21161556642507023,5.502004727051826
5167,2878,17,25,75,0.3995453741131664,10.388179726942326
5168,2787,19,20,60,0.32381379333535387,6.800089660042431
5169,612,5,14,42,0.32319985873182305,4.847997880977346
5170,1279,11,16,48,0.38691293164533014,6.577519837970613
5171,419,7,9,27,0.27594425049755955,2.7594425049755955
5172,6270,31,32,96,0.29662307551497535,9.788561491994187
5173,1670,15,19,57,0.47243050644901813,9.448610128980363
5174,1892,18,14,42,0.3638193216669606,5.457289825004409
5175,3156,20,23,69,0.2760813215008966,6.625951716021518
5176,6607,35,26,78,0.3189768656663579,8.612375372991664
5177,1225,12,13,39,0.22154479542846925,3.1016271359985694
5178,14727,53,39,117,0.19674029739871912,7.869611895948765
5179,7227,34,33,99,0.2073539060284555,7.050032804967486
5180,2263,19,19,57,0.3056428385003528,6.112856770007056
5181,5873,33,24,72,0.41175212120171634,10.293803030042909
5182,2085,15,20,60,0.32205378957067815,6.763129580984241
5183,13148,42,57,171,0.28222576541457817,16.369094394045533
5184,551,9,7,21,0.6116840355007298,4.8934722840058384
5185,4184,27,24,72,0.33198515203956047,8.299628800989012
5186,1578,16,14,42,0.3267339098024725,4.901008647037088
5187,540,8,10,30,0.38503497654561547,4.23538474200177
5188,129,3,5,15,0.5356618153333935,3.2139708920003613
5189,3474,25,20,60,0.3419412323491997,6.838824646983994
5190,2503,21,17,51,0.595016916999561,10.710304505992099
5191,13650,49,37,111,0.2147518195779412,8.160569143961766
