seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,17573,55,44,132,1.29808926486698,58.4140169190141
5001,174202,178,154,462,1.1933087549288757,184.96285701397574
5002,23386,66,53,159,1.8316502354811948,98.90911271598452
5003,21600,62,41,123,1.4243606611422106,59.82314776797284
5004,1260,14,13,39,2.98910761299963,41.84750658199482
5005,1041,13,10,30,2.692851467910011,29.62136614701012
5006,9778,42,28,84,2.1008786882067114,60.925481957994634
5007,197427,191,171,513,1.5784334540929321,271.4905541039843
5008,100846,137,91,273,1.2319410112820903,113.3385730379523
5009,1348,15,12,36,1.8785057861521357,24.420575219977763
5010,68105,115,78,234,2.0222917156705864,159.76104553797632
5011,11946,47,37,111,1.3364641878424184,50.7856391380119
5012,144263,135,158,474,1.2014525927860054,191.03096225297486
5013,9382,42,31,93,1.5523761610011206,49.67603715203586
5014,35456,83,55,165,1.0719256569467948,60.02783678902051
5015,62838,84,123,369,1.8389609872340975,228.0311624170281
5016,7004,36,28,84,2.7276408919311383,79.101585866003
5017,78499,112,117,351,1.3156040567454341,155.24127869596123
5018,30734,77,55,165,1.5923322902503318,89.17060825401859
5019,5550,32,24,72,2.158380318240379,53.959507956009475
5020,428007,283,195,585,1.3501868036068005,264.6366135069329
5021,33026,76,61,183,1.655502735676794,102.64116961196123
5022,88701,132,88,264,1.2176609510451057,108.3718246430144
5023,98439,133,106,318,1.7895363020755402,189.69084802000725
5024,734919,359,337,1011,1.523196854914236,514.8405369610118
5025,6225,34,24,72,2.15588002503966,53.897000625991495
5026,165052,176,116,348,1.4833188106235127,173.548300842951
5027,129202,159,115,345,1.275149528086143,147.91734525799257
5028,45339,94,62,186,1.7604410973969304,110.90778913600661
5029,61074,100,97,291,1.1757483427039803,115.22333758499008
5030,677,9,10,30,2.6534008376382356,29.18740921402059
5031,35934,71,77,231,1.2919025228593688,100.76839678303077
5032,4602,21,30,90,1.682986105452132,52.172569269016094
5033,26778,72,49,147,1.4023508960800246,70.11754480400123
5034,62349,109,75,225,1.1739263210534103,89.21840040005918
5035,192784,184,162,486,1.4168684563985734,230.94955839296745
5036,2596,19,22,66,2.4023199221309093,55.25335820901091
5037,24869,69,50,150,1.0938579650004006,55.78675621502043
