seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,29068,75,51,153,0.809051097269258,42.070657058001416
5001,24531,51,71,213,0.7161631107360336,51.563743972994416
5002,1679,13,18,54,2.6433843765263716,50.22430315400106
5003,12627,49,33,99,1.1232396976764476,38.190149720999216
5004,102094,105,147,441,0.7010314021148821,103.75264751300256
5005,157570,167,139,417,0.7981547010928547,111.74165815299966
5006,4019,27,19,57,1.625564179399953,32.51128358799906
5007,109547,142,127,381,0.7696555357343584,98.51590857399788
5008,8120,37,27,81,1.638149517535729,45.868186491000415
5009,30800,72,66,198,0.8581180353731358,57.4939083700001
5010,41989,68,95,285,0.9864752639687898,94.70162534100382
5011,12136,48,33,99,1.1509665275293894,39.132861935999244
5012,16740,53,49,147,0.9177940900600151,45.88970450300076
5013,3470,25,20,60,1.2224430799046568,25.671304677997796
5014,1891,18,12,36,1.3894753366152703,18.063179375998516
5015,1690,16,17,51,2.9354791046109514,52.838623882997126
5016,11220,46,34,102,1.2264003587141945,42.92401255499681
5017,16509,56,42,126,0.8324082306511162,35.793553917998
5018,29662,75,56,168,1.3942509368070954,79.47230339800444
5019,17400,53,53,159,0.7614502310555643,41.11831247700047
5020,11651,47,34,102,1.0051065260857026,35.17872841299959
5021,7742,38,28,84,1.4882289931724542,43.15864080200117
5022,19736,55,66,198,1.0584315063134224,70.9149109229993
5023,8956,28,56,168,1.4604006520175492,83.24283716500031
5024,12169,47,33,99,0.9558136297058113,32.497663409997585
5025,16422,56,39,117,1.3506337381748836,54.02534952699534
5026,122869,107,161,483,0.6880255359999718,111.46013683199544
5027,19684,59,49,147,0.8291134645600323,41.455673228001615
5028,22989,55,62,186,1.0688436113810202,67.33714751700427
5029,47291,60,131,393,0.7073068512121347,93.36450436000177
5030,4866,26,27,81,0.9502607301070773,26.607300442998167
5031,3406,23,23,69,1.4169834975417264,34.007603941001435
5032,155617,175,115,345,0.8032023834569466,93.17147648100581
5033,17526,58,40,120,1.1468761322926073,47.0219214239969
5034,4385,24,31,93,1.2650484653124465,40.48155088999829
5035,24711,69,49,147,1.1118020035799236,55.59010017899618
5036,4316,28,22,66,1.6162083368261175,37.1727917470007
