seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,16981,57,39,117,0.521603504225095,20.864140169003804
9001,3885,24,21,63,1.456435953817907,32.041590983993956
9002,30081,69,75,225,0.9425545283023128,71.63414415097577
9003,47846,87,86,258,1.0573713848849973,91.99131048499476
9004,41195,81,80,240,0.8303729031359569,67.26020515401251
9005,104785,141,96,288,1.0233016751238013,99.26026248700873
9006,4303,28,21,63,1.7519962139087346,38.54391670599216
9007,5226,19,35,105,0.9659933139444346,34.77575930199964
9008,65623,111,85,255,0.8922877912676107,76.73675004901452
9009,77885,122,87,261,0.9372604898522613,82.47892310699899
9010,2513,21,16,48,1.4121555602353457,24.006644524000876
9011,10752,43,32,96,0.5895886185458177,19.456424412011984
9012,1684,17,14,42,1.0865191344006842,16.29778701601026
9013,25431,67,56,168,0.5489451568070779,31.28987393800344
9014,7716,38,28,84,1.1104023305519588,32.201667586006806
9015,98675,130,113,339,0.7830294929388305,89.26536219502668
9016,166204,155,169,507,0.7582598632174803,128.90417674697164
9017,7706,34,34,102,1.182151433542562,41.37530017398967
9018,21317,64,47,141,1.2518129967081677,60.08702384199205
9019,7284,28,42,126,1.1124876073951127,47.83696711798984
9020,2402,18,20,60,0.9591892052379817,20.142973309997615
9021,9425,27,36,108,0.7609504395942487,28.1551662649872
9022,3998,27,19,57,2.446039243899759,48.920784877995175
9023,32600,75,67,201,0.8235718368233553,56.00288490398816
9024,54676,61,144,432,0.6201423191172643,89.92063627200332
9025,3479,20,25,75,1.554742484615697,40.42330460000812
9026,11682,47,35,105,0.7378701022776618,26.563323681995826
9027,4133,19,29,87,0.9757649401332552,29.272948203997657
9028,5528,32,24,72,0.8650291088000813,21.625727720002033
9029,36086,82,55,165,0.876563161928451,49.08753706799325
