seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,2744,22,17,51,2.439659195333257,43.91386551599862
9001,3145,23,21,63,3.8804287509091493,85.36943252000128
9002,22374,65,52,156,2.9427372942077885,155.96507659301278
9003,141,3,6,18,5.073804541857369,35.51663179300158
9004,63274,110,74,222,2.679877878786841,200.99084090901306
9005,27417,68,48,144,3.1597523525307056,154.82786527400458
9006,54080,101,68,204,2.182191154898844,150.57118968802024
9007,26398,69,46,138,2.0699775024680074,97.28894261599635
9008,190337,187,128,384,2.3570827208592675,301.70658826998624
9009,50760,85,89,267,2.7719789123777447,249.478102113997
9010,681488,359,267,801,2.171018648171656,581.8329977100038
9011,10272,44,32,96,2.8052455117574553,92.57310188799602
9012,7543,33,33,99,2.6350470465593605,89.59159958301825
9013,72590,117,84,252,2.7087002974704615,230.2395252849892
9014,87926,109,164,492,2.535016730296863,418.2777604989824
9015,192516,192,146,438,1.7500945004354609,257.26389156401274
9016,36149,82,71,213,2.350303388902881,169.2218440010074
9017,23515,51,63,189,1.9694856037186241,126.04707863799194
9018,11695,39,55,165,3.607457291571336,202.01760832799482
9019,71942,117,81,243,3.192876321902387,261.81585839599575
9020,58510,102,84,252,2.613250018047085,222.12625153400222
9021,10578,43,35,105,2.4463198881386337,88.0675159729908
9022,38340,67,93,279,2.7438510739574418,257.9220009519995
9023,12270,47,40,120,2.9138193884879535,119.46659492800609
9024,21282,64,44,132,2.4465437908000442,110.09447058600199
9025,1879,18,15,45,4.918584480687741,78.69735169100386
9026,9822,41,35,105,2.418148091194376,87.05333128299753
9027,3212,24,19,57,5.9434463172001415,118.86892634400283
9028,149080,165,113,339,2.34025805390347,266.7894181449956
9029,15305,54,37,111,3.017493770342059,114.66476327299824
