seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,7748,27,37,111,0.0724087062898386,2.751530839013867
5001,29445,65,86,258,0.054124540835483605,4.65471051185159
5002,21443,63,52,156,0.06575770543246828,3.4851583879208192
5003,45634,69,134,402,0.0611516378527601,8.194319472269854
5004,1680,17,13,39,0.06236144236338857,0.87306019308744
5005,30286,42,132,396,0.06476420932099279,8.613639839692041
5006,22354,42,87,261,0.06643863111590194,5.846599538199371
5007,12594,39,63,189,0.06492856084156619,4.09049933301867
5008,29162,49,102,306,0.05779088558391803,5.952461215143558
5009,34864,65,104,312,0.06497658614396296,6.82254154511611
5010,27685,61,78,234,0.06616536368390463,5.2270637310284656
5011,6309,33,29,87,0.06784759866519986,2.035427959955996
5012,7220,24,49,147,0.06941774812119547,3.4708874060597736
5013,16426,56,40,120,0.06571513762319228,2.628605504927691
5014,360,7,6,18,0.05394341457369072,0.37760390201583505
5015,193,4,7,21,0.07498043349914951,0.5998434679931961
5016,30946,70,70,210,0.06139349515724461,4.297544661007123
5017,16744,55,46,138,0.0591067520609284,2.778017346863635
5018,15402,33,91,273,0.06099178740228324,5.611244441010058
5019,5958,33,27,81,0.06663207299841035,1.86569804395549
5020,566,5,12,36,0.06402387330308557,0.8323103529401124
5021,9816,31,46,138,0.05792628772596412,2.722535523120314
5022,3830,24,26,78,0.06683674084398752,1.7377552619436756
5023,21691,41,101,303,0.06582943325538151,6.714602192048915
5024,37760,76,81,243,0.06570036314596797,5.387429777969373
5025,25833,50,102,306,0.06488429044669458,6.683081916009542
5026,44562,72,116,348,0.06279891271777968,7.347472787980223
5027,1453,14,15,45,0.056276929997693514,0.9004308799630962
5028,12918,38,59,177,0.05942411924867581,3.565447154920548
5029,3404,19,25,75,0.05639122265655225,1.4661717890703585
5030,25801,44,112,336,0.05941405723750204,6.71378846783773
5031,13685,51,35,105,0.06775403691184086,2.439145328826271
5032,768,11,9,27,0.07375961959769484,0.7375961959769484
5033,35694,72,100,300,0.06414442417980633,6.478586842160439
5034,4605,20,31,93,0.06826775796798756,2.184568254975602
5035,2720,22,16,48,0.07037054999519195,1.196299349918263
5036,4336,28,22,66,0.06741113843694936,1.5504561840498354
5037,64921,112,74,222,0.05970952425307284,4.478214318980463
5038,2419,20,18,54,0.058099452845789004,1.103889604069991
5039,4716,28,23,69,0.0661751330383898,1.5882031929213554
5040,25702,58,83,249,0.06440516276398696,5.4100336721749045
