seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,52382,71,171,513,0.051922640470154366,8.930694160866551
5001,9923,40,42,126,0.05181530474273618,2.2280581039376557
5002,1183,10,16,48,0.04824648362591688,0.7719437380146701
5003,301,6,7,21,0.042319096752180485,0.3385527740174439
5004,127173,132,223,669,0.05092663765286228,11.407566834241152
5005,14016,36,58,174,0.04734995866231857,2.7936475610767957
5006,30392,76,57,171,0.04950167891139903,2.871097376861144
5007,10577,36,50,150,0.04997101846988788,2.5485219419642817
5008,6290,34,27,81,0.05188318256945682,1.452729111944791
5009,33702,78,67,201,0.049613813954826634,3.3737393489282113
5010,3785,20,26,78,0.04452093396146126,1.2020652169594541
5011,5209,31,22,66,0.05117566365515813,1.177040264068637
5012,23138,38,94,282,0.04699864966310806,4.4648717179952655
5013,42432,78,126,378,0.050850119283853655,6.457965149049414
5014,1521,16,12,36,0.04016267646175738,0.5221147940028459
5015,46923,69,128,384,0.0496573652426871,6.4058001163066365
5016,12150,48,34,102,0.055710149315252366,1.9498552260338329
5017,53778,97,94,282,0.04720727606511087,4.484691226185532
5018,5905,33,23,69,0.047591353041449715,1.1421924729947932
5019,5512,20,44,132,0.050575138358787325,2.2758812261454295
5020,4382,24,32,96,0.05477644500029838,1.8076226850098465
5021,96949,102,245,735,0.04712892302070135,11.593715063092532
5022,2194,17,19,57,0.04616529400227591,0.9233058800455183
5023,15324,54,40,120,0.049871997342717536,2.044751891051419
5024,3240,24,18,54,0.04768025104605936,0.9059247698751278
5025,13221,50,37,111,0.04536591910628455,1.7239049260388128
5026,79562,96,135,405,0.04383464164022692,5.961511263070861
5027,33154,77,66,198,0.05118664068781507,3.4295049260836095
5028,4345,20,28,84,0.0497414026889099,1.442500677978387
5029,5272,23,32,96,0.046938540364587396,1.548971832031384
5030,78886,111,110,330,0.04854038175743971,5.387982375075808
5031,13675,51,35,105,0.056491861251642045,2.0337070050591137
5032,41987,76,82,246,0.04955003113087536,4.112652583862655
5033,2970,23,16,48,0.04391255488222027,0.7465134329977445
5034,39556,87,68,204,0.04837281898590331,3.3377245100273285
5035,17871,57,49,147,0.05116552868043073,2.5582764340215363
5036,29767,57,106,318,0.049991332730017254,5.349072602111846
5037,33800,50,157,471,0.04483818687970862,7.084433526993962
5038,814,9,13,39,0.04376250006732464,0.612675000942545
5039,5304,31,26,78,0.04589632226162831,1.2392007010639645
5040,180789,123,317,951,0.04864069192088941,15.467740030842833
5041,10669,42,43,129,0.04863510038756596,2.1399444170529023
5042,40,1,3,9,0.07553651367197745,0.22660954101593234
5043,1059,13,13,39,0.049778294358735105,0.6968961210222915
5044,5307,23,33,99,0.050048199852907975,1.7016387949988712
5045,94729,113,162,486,0.04896888605471089,7.981928426917875
5046,20987,56,58,174,0.05222574137328824,3.081318741024006
5047,61272,78,127,381,0.04831173136858524,6.183901615178911
5048,75975,122,80,240,0.05117965893881729,4.1455523740442
5049,9842,31,42,126,0.0423966926010867,1.8230577818467282
5050,2779,21,15,45,0.04753630143204646,0.7605808229127433
5051,13333,41,63,189,0.0463841324663008,2.968584477843251
5052,55082,96,95,285,0.04438816887462357,4.261264211963862
5053,8644,37,40,120,0.04924024241584603,2.0188499390496872
5054,5316,28,29,87,0.04283008503164941,1.2849025509494822
5055,16532,31,89,267,0.05072310622296451,4.565079560066806
5056,6347,20,49,147,0.04708313462033402,2.354156731016701
5057,6605,35,27,81,0.058278555252140256,1.6317995470599271
5058,6264,34,26,78,0.049194524514152564,1.3282521618821193
5059,18427,45,75,225,0.04957512523680251,3.767709517996991
5060,42810,59,123,369,0.04954894311466036,6.144068946217885
5061,5538,32,22,66,0.045698159566635026,1.0510576700326055
5062,6849,22,48,144,0.052300451818155125,2.562722139089601
5063,1811,17,17,51,0.056199338109258354,1.0115880859666504
5064,3220,24,18,54,0.05364790926748691,1.0193102760822512
5065,86406,65,319,957,0.04885613831202136,15.633964259846834
5066,4068,27,20,60,0.04696073838221353,0.9861755060264841
5067,15300,52,48,144,0.05112380224246798,2.505066309880931
5068,33047,76,78,234,0.05052409665858008,3.991403636027826
5069,5006,23,30,90,0.05369483789939794,1.664539974881336
5070,31823,48,110,330,0.049027829459052416,5.442089069954818
5071,4887,18,37,111,0.04645949884127874,1.7654609559685923
5072,16643,51,55,165,0.0476676156628985,2.669386477122316
5073,51298,100,70,210,0.05215018742281655,3.702663307019975
5074,14205,52,36,108,0.05135522151406779,1.9001431960205082
5075,43179,72,95,285,0.047610750813267565,4.570632078073686
5076,3569,25,21,63,0.04981725695357785,1.0959796529787127
5077,26139,56,93,279,0.05410189288166758,5.085577930876752
5078,17797,45,69,207,0.04642348348736829,3.2496438441157807
5079,9044,38,38,114,0.056341611846642665,2.197322862019064
5080,14591,50,49,147,0.05254464704194106,2.627232352097053
5081,67049,98,132,396,0.05040614129459009,6.704016792180482
5082,6239,34,25,75,0.05395295515392298,1.4027768340019975
5083,76091,98,150,450,0.04722136511183683,7.130426131887361
5084,75789,109,128,384,0.051866508153981944,6.69077955186367
5085,19692,59,53,159,0.052400859573498125,2.829646416968899
5086,2385,16,21,63,0.046909232773363,1.032003121013986
5087,7992,36,34,102,0.05197835265592273,1.8192423429572955
5088,4488,18,34,102,0.05283950251261038,1.8493825879413635
5089,2422,17,19,57,0.04446908035024535,0.889381607004907
5090,11928,30,63,189,0.046868831609572226,2.9996052230126224
5091,31188,47,132,396,0.04516838038256182,6.007394590880722
5092,1254,11,12,36,0.044048193083047714,0.5285783169965725
5093,5946,27,39,117,0.055179982436432816,2.1520193150208797
5094,913,9,12,36,0.047794193998785116,0.6213245219842065
5095,18454,59,46,138,0.057816451870553946,2.7173732379160356
5096,22889,40,98,294,0.05380825271695909,5.32701701897895
5097,55248,61,149,447,0.05076121723318162,7.614182584977243
5098,2071,19,14,42,0.05140236000297591,0.7710354000446387
5099,16524,49,59,177,0.05036479221598711,3.0218875329592265
