seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,22682,66,46,138,0.07529968476267235,3.5390851838456
5001,17764,37,88,264,0.06096774605599891,5.426129398983903
5002,4546,27,23,69,0.06344742724953296,1.5227382539887913
5003,4544,23,31,93,0.06080255190590833,1.9456816609890666
5004,2347,16,22,66,0.05857165648004688,1.3471480990410782
5005,16825,36,78,234,0.06001159030121834,4.740915633796249
5006,6260,34,25,75,0.06322082124417648,1.580520531104412
5007,16400,40,68,204,0.060848197984117745,4.198525660904124
5008,12768,36,70,210,0.05907263760668108,4.194157270074356
5009,26684,69,65,195,0.059464003180354746,3.9246242099034134
5010,17117,33,86,258,0.057833814413096735,5.031541853939416
5011,5366,26,33,99,0.0528633593220387,1.7973542169493157
5012,3016,12,35,105,0.05027493249751084,1.8098975699103903
5013,90054,88,223,669,0.05764007859917391,12.911377606214955
5014,1208,14,11,33,0.051374280078258984,0.6164913609391078
5015,50958,92,100,300,0.06290399598932853,6.353303594922181
5016,5197,18,39,117,0.062227362773410275,2.489094510936411
5017,4116,19,27,81,0.06313007989540763,1.7676422370714135
5018,22984,64,55,165,0.056321965944204876,3.154030092875473
5019,26009,38,110,330,0.05710504180987718,6.338659640896367
5020,51035,56,170,510,0.06099698550802416,10.430484521872131
5021,23113,44,107,321,0.05644565287015953,6.096130509977229
5022,367,7,7,21,0.06371825199676096,0.5097460159740876
5023,8161,36,39,117,0.06216110454988666,2.4864441819954664
5024,821,10,12,36,0.057848413624854475,0.7520293771231081
5025,1199,13,15,45,0.05306792987175868,0.8490868779481389
5026,4932,30,23,69,0.051337622166708265,1.2321029320009984
5027,12143,42,53,159,0.05901532451766629,3.18682752395398
5028,11891,43,42,126,0.06141369497988287,2.640788884134963
5029,4219,23,31,93,0.05861742921570112,1.875757734902436
5030,2500,21,15,45,0.06075246906402754,0.9720395050244406
5031,10325,43,35,105,0.06918508625191559,2.490663105068961
5032,14681,41,53,159,0.06196547281676127,3.3461355321051087
5033,2271,20,14,42,0.057201048739564914,0.8580157310934737
5034,19849,36,94,282,0.06103313766376998,5.798148078058148
5035,4393,28,23,69,0.06222756412656357,1.4934615390375257
5036,16335,49,57,171,0.063761771483957,3.698182746069506
5037,2105,19,15,45,0.05423427362802613,0.8677483780484181
5038,22196,58,60,180,0.05751684614644218,3.508527614932973
5039,11623,36,54,162,0.05983424129133875,3.290883271023631
5040,282,5,8,24,0.071122452222173,0.640102069999557
5041,15169,53,43,129,0.06374562938964862,2.8048076931445394
5042,22267,44,96,288,0.0631405752786488,6.1246358020289335
5043,12568,32,66,198,0.05734238489365914,3.8419397878751624
