seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,2273,20,15,45,0.10277907831004995,1.6444652529607993
5001,20151,41,98,294,0.05827278051392476,5.7690052708785515
5002,14642,48,48,144,0.05200982040592602,2.548481199890375
5003,3623,24,23,69,0.058874048041616334,1.412977152998792
5004,7391,28,45,135,0.06294507501944382,2.832528375874972
5005,16462,32,75,225,0.05746553213209968,4.367380442039575
5006,2309,17,19,57,0.057613141847832595,1.1522628369566519
5007,20692,63,45,135,0.05689501473945869,2.6171706780151
5008,15079,48,63,189,0.055420491780751036,3.5469114739680663
5009,26953,46,115,345,0.057155009379945616,6.629981088073691
5010,21326,64,43,129,0.055890712568229486,2.4591913530020975
5011,4306,17,37,111,0.055511472681629176,2.1094359619019087
5012,1438,15,15,45,0.051065543933873414,0.8170487029419746
5013,59183,62,215,645,0.052604453299459744,11.362561912683304
5014,4028,27,19,57,0.05219884524849476,1.0439769049698953
5015,2482,21,15,45,0.06000640700040094,0.960102512006415
5016,8447,36,39,117,0.05914259632190806,2.3657038528763223
5017,6140,29,36,108,0.05293597994416298,1.9586312579340301
5018,14882,44,56,168,0.0569756782710361,3.1906379831780214
5019,9505,37,43,129,0.05463975454701788,2.4041492000687867
5020,3202,14,32,96,0.05779874657640572,1.9073586370213889
5021,4340,20,29,87,0.05896518443381259,1.7689555330143776
5022,2214,17,19,57,0.052968474502267784,1.0593694900453556
5023,3985,19,35,105,0.05597874502887458,2.015234821039485
5024,991,12,12,36,0.04770851492111643,0.6202106939745136
5025,2134,17,19,57,0.05329327450162964,1.0658654900325928
5026,29622,53,98,294,0.05368241581847101,5.31455916602863
5027,41971,50,175,525,0.056708831170743164,9.980754286050797
5028,2069,19,14,42,0.056967233336763456,0.8545085000514518
5029,27570,67,81,243,0.05234945547680382,4.292655349097913
5030,7985,36,34,102,0.05097541868620153,1.7841396540170535
5031,75189,71,199,597,0.052223452230682595,10.44469044613652
5032,3992,21,30,90,0.05098280787182551,1.5804670440265909
5033,8321,26,51,153,0.05666568184656521,2.946615456021391
5034,17474,49,76,228,0.055125772803734575,4.244684505887562
5035,10613,38,48,144,0.05756834093944588,2.820848706032848
5036,2156,15,22,66,0.06371859882695033,1.4655277730198577
5037,6026,22,39,117,0.051704741124558494,2.06818964498234
5038,6741,27,45,135,0.05403241986831468,2.4854913139424752
5039,1138,11,10,30,0.055065756732470945,0.6057233240571804
5040,16480,39,84,252,0.056079845916247,4.766786902880995
5041,3483,25,19,57,0.06224947394948686,1.244989478989737
5042,3299,20,24,72,0.05646427420317195,1.4116068550792988
5043,51878,61,152,456,0.05299391414421562,8.10806886406499
5044,5373,22,37,111,0.05763434181541303,2.190104988985695
5045,22031,33,112,336,0.04890648859209974,5.526433210907271
5046,10327,30,58,174,0.05606692295099246,3.307948454108555
5047,27739,62,67,201,0.050022934100792664,3.401559518853901
5048,2585,17,21,63,0.04997138381903907,1.0993704440188594
5049,4184,27,23,69,0.052845805790032806,1.2682993389607873
5050,19073,47,78,234,0.054675800344889065,4.319388227246236
5051,5573,19,44,132,0.058045514663293336,2.6120481598482
5052,4186,25,26,78,0.05560504433190174,1.501336196961347
5053,2523,20,21,63,0.06314675868039062,1.3892286909685936
5054,17327,53,59,177,0.055294744099470945,3.3176846459682565
5055,47304,64,176,528,0.056626251338333905,10.0228464868851
5056,38512,58,153,459,0.0529024014678442,8.146969826048007
5057,783,10,12,36,0.05963022154173814,0.7751928800425958
5058,73165,88,151,453,0.05316790931005686,8.081522215128643
5059,1762,15,16,48,0.04988893353284391,0.8481118700583465
5060,24842,52,96,288,0.05078424947497137,4.926072199072223
5061,7356,37,26,78,0.056318048442739785,1.5205873079539742
5062,4875,19,40,120,0.061504451027736294,2.521682492137188
5063,1894,13,22,66,0.05881573108743633,1.3527618150110357
5064,3718,23,26,78,0.06468746566679329,1.7465615730034187
5065,31678,49,125,375,0.05365264447431804,6.7602332037640736
5066,10445,43,35,105,0.05335195380676952,1.9206703370437026
5067,20132,62,46,138,0.05596117741294185,2.574214160995325
5068,10603,31,54,162,0.05382226312437772,2.9602244718407746
5069,11265,44,41,123,0.055409675930388314,2.3272063890763093
5070,1885,17,17,51,0.06051554694325508,1.0892798449785914
5071,6687,30,37,111,0.05925829194817006,2.251815094030462
5072,2262,19,17,51,0.04593977517086185,0.8269159530755132
5073,3252,21,25,75,0.047684260576855965,1.239790774998255
5074,6028,26,34,102,0.04967449134731266,1.7386071971559431
5075,36030,47,137,411,0.045514764746548135,6.281037535023643
5076,5226,31,22,66,0.04926774364708842,1.1331581038830336
5077,7372,37,29,87,0.05217739446961787,1.565321834088536
5078,35984,31,181,543,0.05462618276574726,9.941965263366
5079,7309,36,32,96,0.05932290457580662,1.9576558510016184
5080,9565,31,60,180,0.055185399637996506,3.366309377917787
5081,7161,27,43,129,0.05826851698061959,2.563814747147262
5082,3199,18,25,75,0.06098121103758995,1.5855114869773388
5083,4038,27,21,63,0.0574351071806053,1.2635723579733167
5084,37771,59,160,480,0.05504629855848247,8.862454067915678
5085,3580,17,33,99,0.06317299411645816,2.1478817999595776
5086,29244,51,110,330,0.049141849757451145,5.454745323077077
5087,12442,41,46,138,0.053629062575055286,2.5205659410275985
5088,1092,13,13,39,0.057828885225507505,0.7517755079315975
5089,15106,44,55,165,0.05247006498133747,2.9383236389548983
5090,11309,45,40,120,0.05836805163686754,2.3930901171115693
5091,16441,41,84,252,0.05133179742432035,4.36320278106723
5092,3101,19,26,78,0.04978725044444824,1.3442557620001025
5093,5858,21,40,120,0.05815776709819258,2.3844684510258958
5094,4204,25,25,75,0.06170288072854209,1.6042748989420943
5095,17094,49,69,207,0.05364863873193307,3.7554047112353146
5096,34563,61,113,339,0.05492344742059797,6.261273005948169
5097,6219,22,39,117,0.058108346773224184,2.3243338709289674
5098,18672,44,74,222,0.05450782212001892,4.088086659001419
5099,3215,24,18,54,0.05538252605076291,1.0522679949644953
