seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5100,139957,132,243,729,0.05280520616390247,12.884470303992202
5101,36350,59,78,234,0.03892041005064463,3.074712394000926
5102,279,6,6,18,0.04637071371429816,0.3245949960000871
5103,33780,78,77,231,0.044415078641041196,3.4643761340012134
5104,4906,30,21,63,0.040419326091027455,0.889225174002604
5105,27393,42,92,276,0.04194820784949272,3.901183330002823
5106,22683,40,92,276,0.040399562827930224,3.757159342997511
5107,5235,31,22,66,0.03309022582613144,0.7610751940010232
5108,6250,34,24,72,0.033314880240068304,0.8328720060017076
5109,7802,24,45,135,0.04557056619565312,2.0962460450000435
5110,22593,45,91,273,0.044300895228280235,4.075682361001782
5111,5745,25,33,99,0.046003891000001365,1.5641322940000464
5112,23186,50,91,273,0.04120053908695809,3.790449596000144
5113,22349,41,95,285,0.040731288656293906,3.9102037110042147
5114,15976,55,41,123,0.04390071652388932,1.8438300940033514
5115,7722,34,34,102,0.03761883771424306,1.3166593199985073
5116,19105,51,64,192,0.03570199564605551,2.320629716993608
5117,20663,59,56,168,0.04335895961407674,2.4714606980023746
5118,10494,35,52,156,0.04009925749057899,2.1252606470006867
5119,28002,54,80,240,0.04281798100004784,3.4682564610038753
5120,1675,17,13,39,0.03737612621418001,0.5232657669985201
5121,2973,23,19,57,0.045428277600149156,0.9085655520029832
5122,10725,25,64,192,0.044473371630808216,2.890769156002534
5123,33234,74,70,210,0.043623611521083225,3.097276417996909
5124,3978,21,27,81,0.03644221032141104,1.020381888999509
5125,780,11,9,27,0.035840382600054,0.35840382600054
5126,51279,65,138,414,0.04360006943159978,6.060409650992369
5127,377,7,8,24,0.03672949311112461,0.3305654380001215
5128,893,12,10,30,0.04444820354563655,0.48893023900200205
5129,2513,21,17,51,0.04311812366657048,0.7761262259982686
5130,953,12,12,36,0.041329813384716266,0.5372875740013114
5131,105234,87,268,804,0.04243186412266869,11.414171448997877
5132,5562,32,24,72,0.04296629256001325,1.074157314000331
5133,2464,21,14,42,0.032773251000010835,0.49159876500016253
5134,4271,28,20,60,0.03899467733338367,0.8188882240010571
5135,12022,37,58,174,0.0409616409830143,2.416736817997844
5136,34513,57,104,312,0.040798310904773684,4.283822645001237
5137,26666,49,103,309,0.04134123441345904,4.29948837899974
5138,19612,59,49,147,0.04067009555999903,2.0335047779999513
5139,25028,49,77,231,0.04432887175638219,3.457651996997811
5140,27347,58,92,276,0.0405505456020824,3.771200740993663
5141,24972,61,65,195,0.03977501844618438,2.585376199001985
5142,5617,28,31,93,0.0418143043438306,1.3380577390025792
5143,8875,29,39,117,0.04305130487498445,1.7220521949993781
5144,42024,67,92,276,0.044541078333353926,4.142320285001915
5145,62179,100,126,378,0.03994047866929284,5.07244079100019
5146,2207,19,18,54,0.039640954210498375,0.7531781299994691
5147,18450,56,51,153,0.045687920730817774,2.3757718780025243
5148,6094,29,31,93,0.04325230081241216,1.384073625997189
5149,13962,44,50,150,0.044114954901898255,2.249862699996811
5150,604,9,8,24,0.04907290733343769,0.44165616600093927
5151,2286,20,16,48,0.04363228758826582,0.7417488890005188
5152,6599,35,24,72,0.04220808055997623,1.0552020139994056
5153,71,2,3,9,0.04542686550007602,0.18170746200030408
5154,15833,55,38,114,0.045407219820495254,1.7708815729993148
5155,28616,71,63,189,0.043328529406196026,2.7730258819965456
5156,3974,23,26,78,0.040151518148107884,1.0840909899989128
5157,37506,79,76,228,0.043861127051897784,3.377306782996129
5158,51185,83,146,438,0.041067574272037624,6.03693341798953
5159,1050,13,12,36,0.03908300446150511,0.5080790579995664
5160,5330,28,30,90,0.04149020912908811,1.2861964830017314
5161,5622,29,29,87,0.04166744626669849,1.2500233880009546
5162,366,7,8,24,0.05016520649985523,0.40132165199884184
5163,5446,22,32,96,0.04215142233332506,1.390996936999727
5164,35752,58,93,279,0.041136552638295625,3.866835947999789
5165,2828,21,21,63,0.04211947022738307,0.9266283450024275
5166,6212,31,35,105,0.03771689097228167,1.35780807500214
5167,7962,30,39,117,0.046291557925019336,1.8516623170007733
5168,4587,29,20,60,0.04026470833321669,0.8455588749975504
5169,11880,43,42,126,0.041085139813963736,1.7666610120004407
5170,277,6,5,15,0.03192455283321275,0.19154731699927652
5171,5904,33,25,75,0.04611455223077708,1.198978358000204
5172,1188,14,11,33,0.0374041391666348,0.4488496699996176
5173,4712,21,33,99,0.038699915970509584,1.3157971429973259
5174,161,4,5,15,0.04081019366670565,0.2448611620002339
