seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,7748,27,37,111,0.05339747302978618,2.029103975131875
5001,29445,65,86,258,0.03773987768481886,3.245629480894422
5002,21443,63,52,156,0.04679331066139605,2.4800454650539905
5003,45634,69,134,402,0.0457583746576157,6.131622204120504
5004,1680,17,13,39,0.04831951307174417,0.6764731830044184
5005,30286,42,132,396,0.04764118217171653,6.3362772288382985
5006,22354,42,87,261,0.04831523130765576,4.251740355073707
5007,12594,39,63,189,0.04913359739594088,3.095416635944275
5008,29162,49,102,306,0.043068606283818596,4.436066447233316
5009,34864,65,104,312,0.04544461491251631,4.771684565814212
5010,27685,61,78,234,0.0481216125315515,3.8016073899925686
5011,6309,33,29,87,0.049754855261805155,1.4926456578541547
5012,7220,24,49,147,0.05375922820181586,2.687961410090793
5013,16426,56,40,120,0.05307627042275272,2.1230508169101086
5014,360,7,6,18,0.04257102228751007,0.2979971560125705
5015,193,4,7,21,0.05616314287181012,0.449305142974481
5016,30946,70,70,210,0.04865869917141806,3.406108941999264
5017,16744,55,46,138,0.04491399249255142,2.1109576471499167
5018,15402,33,91,273,0.0445939816962219,4.1026463160524145
5019,5958,33,27,81,0.0507865388218696,1.4220230870123487
5020,566,5,12,36,0.049117608689882145,0.6385289129684679
5021,9816,31,46,138,0.0433962996392709,2.0396260830457322
5022,3830,24,26,78,0.04887809726978258,1.2708305290143471
5023,21691,41,101,303,0.04914859609704638,5.013156801898731
5024,37760,76,81,243,0.0461380309262029,3.783318535948638
5025,25833,50,102,306,0.04788649594185205,4.932309082010761
5026,44562,72,116,348,0.048493479786472574,5.673737135017291
5027,1453,14,15,45,0.043497793876667856,0.6959647020266857
5028,12918,38,59,177,0.04768607311464924,2.8611643868789542
5029,3404,19,25,75,0.04420969734537021,1.1494521309796255
5030,25801,44,112,336,0.047135115167913154,5.326268013974186
5031,13685,51,35,105,0.04958932016759516,1.7852155260334257
5032,768,11,9,27,0.05486147100164089,0.5486147100164089
5033,35694,72,100,300,0.048944678118954976,4.9434124900144525
5034,4605,20,31,93,0.05094452297089447,1.630224735068623
5035,2720,22,16,48,0.05305189329288516,0.9018821859790478
5036,4336,28,22,66,0.053107122350332284,1.2214638140576426
5037,64921,112,74,222,0.04398059202668567,3.2985444020014256
5038,2419,20,18,54,0.04376879041573327,0.8316070178989321
5039,4716,28,23,69,0.04884947720953884,1.1723874530289322
5040,25702,58,83,249,0.04880534992982922,4.099649394105654
5041,1348,15,12,36,0.05761951207890748,0.7490536570257973
5042,13328,39,62,186,0.04508215320640288,2.8401756520033814
5043,26109,48,127,381,0.044107275574759575,5.601623997994466
5044,25856,60,88,264,0.04584718050482275,4.0803990649292246
5045,11483,33,67,201,0.04805926911692094,3.268030299950624
5046,34504,50,131,393,0.0466934377735456,6.163533786108019
5047,12700,42,52,156,0.04782655719065828,2.5348075311048888
5048,465,6,9,27,0.0478956558072241,0.478956558072241
5049,12471,43,46,138,0.041726422404493896,1.9611418530112132
5050,1459,13,15,45,0.03504021799926704,0.5606434879882727
5051,44177,62,126,378,0.04782841020372813,6.074208095873473
5052,4291,17,36,108,0.04119041519211228,1.5240453621081542
5053,7340,37,26,78,0.05365463674038269,1.4486751919903327
5054,6592,35,25,75,0.04667689207529362,1.2135991939576343
5055,12143,35,48,144,0.04960900755024192,2.430841369961854
5056,8651,31,39,117,0.05155661690077977,2.062264676031191
5057,24359,60,81,243,0.04906237223284978,4.023114523093682
5058,53693,83,122,366,0.04898633013788906,6.025318606960354
5059,29108,75,52,156,0.047040631563538896,2.4931534728675615
5060,53554,60,173,519,0.04565941886865967,7.944738883146783
5061,905,12,10,30,0.05167256508932703,0.5683982159825973
5062,6065,25,40,120,0.0487685437518649,1.9995102938264608
5063,4904,30,22,66,0.054128233089020636,1.2449493610474747
5064,81992,91,201,603,0.045475413727730805,9.186033573001623
5065,8943,33,44,132,0.04657860062240313,2.0960370280081406
5066,12110,43,46,138,0.04623102408430064,2.17285813196213
5067,8971,41,31,93,0.04763516545062885,1.4766901289694943
5068,39407,52,164,492,0.048720100958246006,8.03881665811059
5069,4076,22,30,90,0.05727012761053629,1.775373955926625
5070,44497,85,96,288,0.04735595307141283,4.593527447927045
5071,6057,28,37,111,0.0505746820295156,1.921837917121593
5072,357,7,6,18,0.04470147771644406,0.3129103440151084
5073,18009,46,72,216,0.048336884494845384,3.528592568123713
5074,19948,60,55,165,0.044819916623444964,2.509915330912918
5075,61331,65,220,660,0.04593913023119341,10.152547781093745
5076,9672,36,52,156,0.04255839143352548,2.2555947459768504
5077,7824,38,30,90,0.04875484600122417,1.5114002260379493
5078,17527,40,90,270,0.04382536721839263,3.988108416873729
5079,22007,38,105,315,0.049879184349402694,5.287193541036686
5080,59058,51,225,675,0.04521255524722402,10.218037485872628
5081,941,10,14,42,0.046798005401312064,0.701970081019681
5082,6229,34,25,75,0.055013913999293715,1.4303617639816366
5083,3287,19,27,81,0.04613984657355884,1.2919157040596474
5084,23614,32,131,393,0.04634292396198681,6.070923039020272
5085,3930,22,33,99,0.05143367970252738,1.748745109885931
5086,2479,20,20,60,0.04422466205072678,0.9287179030652624
5087,62976,80,175,525,0.0483068070243462,8.501998036284931
5088,1512,16,13,39,0.04508074213975176,0.6311303899565246
5089,289,6,5,15,0.041005903830712974,0.24603542298427783
5090,10014,37,53,159,0.051989740910357796,2.807446009159321
5091,4598,29,21,63,0.05538130022812931,1.2183886050188448
5092,12428,42,49,147,0.04241755801893305,2.1208779009466525
5093,13205,31,66,198,0.04912295365799913,3.291237895085942
