seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,12195,35,59,177,0.045874706732380824,2.7524824039428495
5001,11873,45,42,126,0.036430057395401214,1.5664924680022523
5002,2293,20,16,48,0.035964723825386236,0.611400305031566
5003,6650,17,44,132,0.03666570606615601,1.6499567729770206
5004,52593,53,165,495,0.04358681291517106,7.235410943918396
5005,2355,15,20,60,0.0516726857968024,1.033453715936048
5006,9388,42,28,84,0.0420084969674494,1.2182464120560326
5007,26,0,2,6,0.04198316733042399,0.12594950199127197
5008,6246,34,26,78,0.05052818203478603,1.3642609149392229
5009,22494,48,65,195,0.046456592833926676,3.0661351270391606
5010,1696,17,14,42,0.04716795973945409,0.7075193960918114
5011,35095,67,76,228,0.04764417221946581,3.6686012608988676
5012,15535,51,51,153,0.04195730532844139,2.1817798770789523
5013,24627,39,121,363,0.043651363720065825,5.32546637384803
5014,69419,73,186,558,0.04487805924581284,8.392197078967001
5015,29643,48,119,357,0.04732518860934457,5.679022633121349
5016,9016,37,41,123,0.04404982821419946,1.8500927849963773
5017,5900,33,25,75,0.04700348408145006,1.2220905861177016
5018,5588,27,30,90,0.0541850711611445,1.6797372059954796
5019,13586,47,46,138,0.04926767493313317,2.315580721857259
5020,28437,49,104,312,0.048270023267971175,5.068352443136973
5021,14455,33,62,186,0.04350994603056091,2.7411265999253374
5022,22086,49,84,252,0.04840510517892921,4.114433940208983
5023,6025,28,35,105,0.04883267833469694,1.75797642004909
5024,6659,30,35,105,0.04315894497509968,1.5537220191035885
5025,10378,40,40,120,0.042998724047054834,1.762947685929248
5026,83,2,4,12,0.027295862400205807,0.13647931200102903
5027,18696,45,62,186,0.0488124857947696,3.075186605070485
5028,17969,47,62,186,0.05025453036392315,3.166035412927158
5029,6959,36,26,78,0.041678268260848535,1.1253132430429105
5030,25,0,2,6,0.038857382004304476,0.11657214601291344
5031,10951,42,40,120,0.05123364100042481,2.100579281017417
5032,2730,22,17,51,0.04465121266548522,0.8037218279787339
5033,37715,54,161,483,0.044137558276602644,7.150284440809628
5034,1883,18,15,45,0.048016923376053455,0.7682707740168553
5035,29545,71,71,213,0.046486121346485255,3.3470007369469386
5036,4306,28,22,66,0.0483177477005444,1.1113081971125212
5037,2505,21,15,45,0.038297933808280504,0.6127669409324881
5038,32805,56,102,306,0.04338986388502588,4.469155980157666
5039,3979,23,28,84,0.04313300321067298,1.2508570931095164
5040,19740,39,84,252,0.0458853930587579,3.9002584099944215
5041,36392,78,84,252,0.05255172680036219,4.466896778030787
5042,40,1,3,9,0.051544574002036825,0.2061782960081473
5043,63041,111,77,231,0.04748321031906809,3.703690404887311
5044,14706,45,51,153,0.04328512499845461,2.25082649991964
5045,24815,67,62,186,0.04436678943105988,2.7951077341567725
5046,37644,77,90,270,0.046198879748552135,4.2040980571182445
5047,10248,36,49,147,0.049364226160105315,2.468211308005266
5048,19675,44,74,222,0.04935061853301401,3.7012963899760507
5049,29056,57,85,255,0.04557952192966653,3.9198388859513216
5050,6254,34,23,69,0.03929485791741172,0.9430765900178812
5051,14184,45,49,147,0.046687838541693054,2.3343919270846527
5052,5436,16,45,135,0.04696081321668791,2.160197407967644
5053,1376,13,17,51,0.05334395966524931,0.9601912739744876
5054,61663,73,139,417,0.045935629814630376,6.430988174048252
5055,13168,50,36,108,0.0519324661109823,1.9215012461063452
5056,15327,49,49,147,0.04919339184067212,2.459669592033606
5057,98990,100,248,744,0.04585988238609553,11.419110714137787
5058,77308,84,183,549,0.04696954401800252,8.642396099312464
5059,62636,99,106,318,0.043700295612205016,4.632231334893731
