seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,5818,32,27,81,0.061661870214915586,1.7265323660176364
5001,16195,55,45,135,0.03339339721645482,1.5360962719569216
5002,10241,27,66,198,0.03399524355282027,2.277681318038958
5003,54418,63,184,552,0.041480501632464147,7.6738928020058665
5004,8268,39,30,90,0.04545630954770229,1.4091455959787709
5005,21948,40,94,282,0.04690271745264334,4.455758158001117
5006,3618,19,28,84,0.04722369503398458,1.3694871559855528
5007,38010,58,140,420,0.044840539652795997,6.3225160910442355
5008,188255,153,302,906,0.04488430590080266,13.599944687943207
5009,13774,30,65,195,0.04528694218176745,2.988938183996652
5010,232172,106,535,1605,0.04493665985995252,24.08604968493455
5011,3716,24,23,69,0.045684612457989715,1.0964306989917532
5012,24804,64,66,198,0.047615698671533986,3.190251810992777
5013,4802,22,31,93,0.04728644671854454,1.5131662949934253
5014,5008,30,23,69,0.04612381733325795,1.1069716159981908
5015,16729,48,53,159,0.04613673820400705,2.491383863016381
5016,78925,105,172,516,0.046377418838415126,8.023293459045817
5017,6660,19,45,135,0.04380285156525054,2.014931172001525
5018,1058,9,12,36,0.04418903476975034,0.5744574520067545
5019,3030,20,24,72,0.0472570361601538,1.181425904003845
5020,94723,122,136,408,0.047620833722766605,6.524054220019025
5021,7696,21,61,183,0.0460804370642666,2.856987097984529
5022,1070,11,14,42,0.0429758659331128,0.644637988996692
5023,27974,53,102,306,0.04521124497078895,4.656758231991262
5024,971,12,12,36,0.04185703053819732,0.5441413969965652
5025,59491,64,210,630,0.04466724088147914,9.424787825992098
5026,39033,47,143,429,0.04808120959013548,6.92369418097951
5027,26056,43,97,291,0.04545839239824777,4.4549224550282815
5028,38991,59,125,375,0.049308001888603605,6.212808237964055
5029,3647,24,24,72,0.04367343047924806,1.0918357619812014
5030,42697,81,97,291,0.04447642423533858,4.358689575063181
5031,12695,49,35,105,0.049116872362194246,1.7682074050389929
5032,66866,98,138,414,0.046581781510428674,6.4748676299495855
5033,16801,45,75,225,0.04795561193302427,3.6446265069098445
5034,394138,134,717,2151,0.04626838081068986,33.22069742207532
5035,20367,52,70,210,0.04637197470042988,3.2460382290300913
5036,4606,29,22,66,0.04094582182575402,0.9417539019923424
5037,56147,68,131,393,0.042201471083182805,5.57059418298013
5038,14371,51,45,135,0.04096969758677954,1.884606088991859
5039,9466,38,39,117,0.04549293007476081,1.8197172029904323
5040,41286,54,141,423,0.045229082936228376,6.42252977694443
5041,64991,96,154,462,0.04752553877366271,7.36645850991772
5042,103312,77,268,804,0.045390117680599834,12.209941656081355
5043,10274,32,48,144,0.04235229310246983,2.0752623620210215
5044,4377,20,33,99,0.05137777735345641,1.7468444300175179
5045,4255,17,36,108,0.04649365689161838,1.72026530498988
5046,13577,36,65,195,0.046812988953136556,3.042844281953876
5047,14628,47,49,147,0.04361649481987115,2.1808247409935575
5048,285,6,6,18,0.03688784585392568,0.2582149209774798
5049,25119,38,109,327,0.0449495130090244,4.944446430992684
5050,19000,34,87,261,0.04413867584116815,3.8842034740227973
5051,117068,104,194,582,0.043736134051234846,8.528546139990794
5052,11896,45,45,135,0.04755615586928679,2.1875831699871924
5053,6299,27,39,117,0.04421742367521801,1.7686969470087206
5054,4619,29,22,66,0.04988195852037398,1.1472850459686015
5055,9380,37,44,132,0.05117205020085546,2.302742259038496
5056,12017,35,67,201,0.04532687845622765,3.08222773502348
5057,28945,56,108,324,0.0470289865314027,5.1261595319228945
5058,64589,103,113,339,0.04923253406920131,5.61250888388895
5059,22425,59,66,198,0.04172886529813152,2.795833974974812
5060,8994,38,42,126,0.04274954995293398,1.838230647976161
5061,9166,33,47,141,0.04431202629226997,2.1269772620289586
5062,20426,54,84,252,0.04355354643519283,3.7020514469913905
5063,3993,26,23,69,0.04530565612731152,1.0873357470554765
5064,122316,154,120,360,0.046403647884380166,5.61484139401
5065,966,9,13,39,0.04691336428472174,0.6567870999861043
5066,12894,42,45,135,0.045363746608136746,2.0867323439742904
5067,2295,20,16,48,0.04235305858738309,0.7200019959855126
5068,7396,27,47,141,0.04226623489497191,2.0287792749586515
5069,4066,22,30,90,0.053875689355810476,1.6701463700301247
5070,5440,20,36,108,0.045057499810354784,1.667127492983127
5071,14757,53,37,111,0.04956197436924987,1.883355026031495
5072,12533,47,43,129,0.04079333684024856,1.7949068209709367
5073,6796,26,43,129,0.04815331747654868,2.118745968968142
5074,4005,18,36,108,0.04703393689241902,1.7402556650195038
5075,25385,57,80,240,0.04294122918544878,3.478239564021351
5076,3186,17,22,66,0.04692757734649248,1.079334278969327
5077,6065,23,46,138,0.04399006136264553,2.06753288404434
5078,1899,18,15,45,0.04324904181066813,0.6919846689706901
5079,8584,23,57,171,0.047151820422681213,2.687653764092829
5080,59399,49,233,699,0.04533529821374109,10.608459782015416
5081,18973,36,95,285,0.05003242981153259,4.803113261907129
5082,39493,61,110,330,0.046308698279988694,5.140265509078745
5083,3317,21,27,81,0.04382597464323875,1.227127290010685
5084,56104,63,157,471,0.044072026379396875,6.963380167944706
5085,31456,61,91,273,0.04379989943560719,4.0295907480758615
5086,8446,32,46,138,0.041947258659886154,1.9715211570146494
5087,12404,44,45,135,0.04890236467358393,2.249508774984861
5088,1692,17,13,39,0.04465844449753474,0.6252182229654863
5089,53398,87,123,369,0.0461369874836002,5.720986447966425
5090,20979,53,60,180,0.04702042111459944,2.868245687990566
5091,547,7,10,30,0.04154180336362598,0.45695983699988574
5092,1191,14,11,33,0.04311498025102386,0.5173797630122863
5093,8756,32,54,162,0.046822042036960325,2.575212312032818
5094,5783,25,36,108,0.045538919268732866,1.684940012943116
5095,20977,51,95,285,0.043701341177438735,4.195328753034119
5096,19770,36,110,330,0.04713250608154602,5.231708175051608
5097,1680,17,12,36,0.049080719922830425,0.6380493589967955
5098,23845,59,77,231,0.044477720627746284,3.46926220896421
5099,6721,27,41,123,0.04988777152417848,2.0952864040154964
5100,11519,29,68,204,0.04816881166640298,3.3236480049818056
5101,17337,48,52,156,0.04569878909360169,2.4220358219608897
5102,2280,20,14,42,0.0457187842655306,0.6857817639829591
5103,12660,33,61,183,0.04848533862133961,2.957605655901716
5104,16396,43,54,162,0.04754885674708269,2.615187121089548
5105,18511,48,63,189,0.04549008260892151,2.9113652869709767
5106,4223,25,29,87,0.044575547432274716,1.3372664229682414
5107,2500,21,16,48,0.04558764894147102,0.7749900320050074
5108,13930,51,38,114,0.049315940510356225,1.9233216799038928
5109,6712,22,45,135,0.05160425884811127,2.3737959070131183
5110,16558,51,62,186,0.046073643761614914,2.9026395569817396
5111,50833,64,152,456,0.04367963175249006,6.682983658130979
5112,5589,20,47,141,0.045287760395391764,2.173812498978805
5113,19178,59,54,162,0.04360459018101789,2.398252459955984
5114,699,7,12,36,0.04561171407560603,0.5929522829828784
5115,22647,53,70,210,0.046297414801993515,3.2871164509415394
5116,75028,59,211,633,0.04360014123106013,9.243229940984747
5117,40718,64,115,345,0.04392657707749408,5.095482940989314
5118,11871,46,42,126,0.04585748546564583,1.9718718750227708
5119,115883,112,150,450,0.04587867658986981,6.927680165070342
5120,26492,55,114,342,0.04287303895702201,4.930399480057531
5121,15062,37,86,258,0.04863620293109233,4.231349655005033
