seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,8393,28,44,132,0.0744568668868548,3.3505590099084657
5001,26332,60,95,285,0.051667923124720495,4.960120619973168
5002,9122,35,48,144,0.05832389604100691,2.857870906009339
5003,11230,40,41,123,0.05983004983309435,2.5128620929899625
5004,1690,17,13,39,0.058132053214649204,0.8138487450050889
5005,6266,34,24,72,0.05410262840101496,1.3525657100253738
5006,43454,71,93,279,0.05412459484146081,5.087711915097316
5007,4810,21,36,108,0.058936281892316845,2.180642430015723
5008,23734,53,67,201,0.056909822720626835,3.8698679450026248
5009,16993,57,39,117,0.05326132187437906,2.1304528749751626
5010,48863,38,214,642,0.0558253405954104,12.002448228013236
5011,5586,32,23,69,0.05933542416702645,1.424050180008635
5012,32,0,3,9,0.06798153549971175,0.271926141998847
5013,11199,46,33,99,0.053576139353561515,1.8215887380210916
5014,1861,18,12,36,0.0581959128478327,0.7565468670218252
5015,24433,31,119,357,0.05612427167482868,6.734912600979442
5016,65433,92,124,372,0.05941827242379077,7.427284052973846
5017,3432,23,24,72,0.05687230080191512,1.421807520047878
5018,13132,38,56,168,0.061236881228468154,3.4905022300226847
5019,47700,70,115,345,0.05850491456006019,6.786570088966982
5020,1471,15,15,45,0.061236864684360626,0.97978983494977
5021,5162,30,28,84,0.06603264710404268,1.9149467660172377
5022,221,5,6,18,0.05901883885755004,0.4131318720028503
5023,23040,41,104,312,0.06027633690460962,6.32901537498401
5024,991,12,12,36,0.05062036700054215,0.658064771007048
5025,7601,33,37,111,0.05070170957869299,1.9266649639903335
5026,61795,69,177,531,0.053107876384382184,9.400094120035646
5027,1377,15,13,39,0.04779978871374624,0.6691970419924473
5028,29200,55,105,315,0.05744732283003615,6.089416219983832
5029,5567,32,24,72,0.053673520959564486,1.3418380239891121
5030,211,5,5,15,0.056586213662133865,0.3395172819728032
5031,4595,29,21,63,0.062372679453718854,1.3721989479818149
5032,2730,22,17,51,0.061151332389272284,1.100723983006901
5033,45,1,3,9,0.06119399049930507,0.2447759619972203
5034,1703,17,15,45,0.058677135332254694,0.8801570299838204
5035,9553,27,48,144,0.05935301889762833,2.9082979259837884
5036,4281,28,21,63,0.06501918645318999,1.43042210197018
5037,9419,42,31,93,0.047742860562721035,1.527771538007073
5038,28925,71,65,195,0.05409998387734119,3.5164989520271774
5039,19919,52,66,198,0.05191885398512981,3.4266443630185677
5040,44872,79,87,261,0.0575042106009443,5.060370532883098
5041,49100,71,121,363,0.059408151294981684,7.247794457987766
5042,3239,18,24,72,0.0568770867184503,1.4219271679612575
5043,13057,30,70,210,0.05753804492792049,4.085201189882355
5044,4337,19,33,99,0.05817898185298819,1.9780853830015985
5045,21490,30,107,321,0.05610604124107071,6.059452454035636
5046,21493,60,57,171,0.059201947104282164,3.4337129320483655
5047,15053,31,74,222,0.05398140166614515,4.048605124960886
5048,4915,30,21,63,0.06377937395353167,1.4031462269776966
5049,10732,45,32,96,0.057458653211748846,1.896135555987712
5050,895,12,9,27,0.04692147560417652,0.4692147560417652
5051,13660,35,50,150,0.06133755552753642,3.1282153319043573
5052,104721,105,247,741,0.05642906629843985,13.994408442013082
5053,4949,24,33,99,0.05774579044073642,1.9633568749850383
5054,6582,35,25,75,0.05365873123026596,1.395127011986915
5055,47754,51,176,528,0.058162229723381906,10.294714661038597
5056,23530,38,119,357,0.055785964842531635,6.694315781103796
5057,35563,82,65,195,0.05996217693719893,3.9575036778551294
5058,49946,70,121,363,0.0587989132865437,7.173467420958332
5059,75886,86,154,462,0.057704115581356984,8.944137915110332
5060,74299,104,127,381,0.055922983718005526,7.158141915904707
5061,23971,64,63,189,0.05628316012234791,3.602122247830266
5062,15865,55,40,120,0.06075560470770409,2.4909797930158675
5063,80069,60,235,705,0.059580653711575796,14.061034275931888
5064,3470,25,18,54,0.06207580194658428,1.1794402369851014
5065,879,9,12,36,0.060289398694294505,0.7837621830258286
5066,4608,29,20,60,0.05570653314255954,1.1698371959937504
5067,25703,69,56,168,0.05628350450786999,3.2081597569485893
5068,32355,59,91,273,0.05389259399025532,4.904226053113234
5069,6983,26,37,111,0.06076956192134132,2.30924335301097
5070,21429,45,80,240,0.05947818871613385,4.817733286006842
5071,12187,46,37,111,0.06290592107918776,2.3904250010091346
5072,3750,26,19,57,0.05605233539899927,1.1210467079799855
5073,16618,44,70,210,0.05507629828217676,3.9104171780345496
5074,4023,22,27,81,0.06008560564077925,1.682396957941819
5075,3749,26,19,57,0.058077072599553504,1.16154145199107
5076,5236,31,22,66,0.05706788330154149,1.3125613159354543
5077,543,9,8,24,0.058824048557047114,0.529416437013424
5078,1919,13,19,57,0.0522685037998599,1.045370075997198
5079,12914,37,57,171,0.06063624794930139,3.516902381059481
5080,25037,62,78,234,0.054957038164065115,4.341606014961144
5081,20685,63,44,132,0.06133591811166197,2.7601163150247885
5082,5899,33,25,75,0.05740244415434203,1.4924635480128927
5083,16991,57,39,117,0.05597841419985343,2.2391365679941373
5084,37635,63,97,291,0.060338380223268415,5.913161261880305
5085,6060,27,33,99,0.05998520276497241,2.039496894009062
5086,29021,55,69,207,0.055501303114371174,3.8850912180059822
