seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,5990,33,24,72,0.10096950080187525,2.5242375200468814
5001,10462,44,35,105,0.05029223150065971,1.8105203340237495
5002,15284,54,38,114,0.06526899220606981,2.5454906960367225
5003,15140,48,48,144,0.058312868470758464,2.857330555067165
5004,21952,48,61,183,0.057159288902532294,3.5438759119570022
5005,1469,15,13,39,0.04665632957039634,0.6531886139855487
5006,4009,27,19,57,0.05181896015055827,1.0363792030111654
5007,36202,50,138,414,0.05590810582105392,7.771226709126495
5008,13359,39,63,189,0.05466306217249439,3.498435979039641
5009,14044,50,43,129,0.05030853472569354,2.213575527930516
5010,1866,18,14,42,0.05485138079966419,0.8227707119949628
5011,40097,78,93,279,0.049528735744930365,4.655701160023455
5012,24079,68,48,144,0.057284436999387775,2.806937412970001
5013,5256,29,28,84,0.060307549655935246,1.7489189400221221
5014,39136,65,98,294,0.05908174439323972,5.849092694930732
5015,68989,66,180,540,0.05959077188420336,10.785929711040808
5016,141139,104,279,837,0.05765960075072404,16.14468821020273
5017,26959,72,51,153,0.05534868124987742,2.878131424993626
5018,3744,26,19,57,0.05962772770071752,1.1925545540143503
5019,6066,21,46,138,0.052278270019822694,2.4570786909316666
5020,6392,31,32,96,0.05971613602852096,1.9706324889411917
5021,29721,49,85,255,0.05481289484745249,4.713908956880914
5022,26157,42,106,318,0.057907555914563036,6.138200926943682
5023,30480,62,104,312,0.058761092608134884,6.169914723854163
5024,11664,45,34,102,0.06494086245490638,2.272930185921723
5025,13711,51,37,111,0.05821743644934797,2.212262585075223
5026,36500,53,107,321,0.061667357703333474,6.660074631960015
5027,20076,48,76,228,0.05917155015559764,4.5562093619810184
5028,1708,16,16,48,0.058304186355706084,0.9911711680470034
5029,6402,31,32,96,0.05764900112196549,1.9024170370248612
5030,1037,13,10,30,0.04381917545106262,0.4820109299616888
5031,13201,35,54,162,0.04884091887215618,2.68625053796859
5032,30015,59,85,255,0.05712474319781989,4.9127279150125105
5033,6096,28,40,120,0.04930015834205977,2.0213064920244506
5034,2063,19,15,45,0.05337014405995433,0.8539223049592692
5035,11877,25,70,210,0.056957040169615704,4.043949852042715
5036,2717,17,23,69,0.05920387274879128,1.4208929459709907
5037,7246,23,41,123,0.05514531980865979,2.316103431963711
5038,22859,44,80,240,0.057174870184727625,4.631164484962937
5039,13950,39,59,177,0.05804807063153324,3.4828842378919944
5040,20296,62,50,150,0.05432038974586427,2.7703398770390777
5041,48492,71,123,369,0.05885703200845221,7.2982719690480735
5042,40,1,3,9,0.07259621825141949,0.29038487300567795
5043,4929,30,24,72,0.05688131776056252,1.422032944014063
5044,533,8,10,30,0.0572365128186489,0.6296016410051379
5045,7175,31,39,117,0.057440558575763134,2.2976223430305254
5046,65939,95,154,462,0.05895410060681658,9.13788559405657
5047,3584,22,25,75,0.06400375757388807,1.6640976969210897
5048,9844,42,35,105,0.061727939390241064,2.2222058180486783
5049,1605,16,15,45,0.056387798500509234,0.9022047760081477
5050,905,12,9,27,0.0438789825013373,0.43878982501337305
5051,52716,100,72,216,0.058628900862483894,4.279909762961324
5052,1870,18,13,39,0.05916551078761196,0.8283171510265674
5053,25391,70,47,141,0.05660773118628034,2.717171096941456
5054,7756,20,54,162,0.052458699417713264,2.8852284679742297
