seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,125,2,6,18,0.020059743131111776,0.14041820191778243
5001,55,1,4,11,0.009823561820667237,0.049117809103336185
5002,55,1,4,11,0.010055762995034457,0.05027881497517228
5003,53,1,4,10,0.006690113199874758,0.033450565999373794
5004,34,0,3,9,0.008047703508054838,0.03219081403221935
5005,55,1,4,10,0.00669974519405514,0.0334987259702757
5006,91,2,4,12,0.009790018410421908,0.04895009205210954
5007,84,1,5,14,0.006979769512933369,0.04187861707760021
5008,71,1,5,13,0.007908888510428369,0.047453331062570214
5009,171,4,6,16,0.0072580458612979525,0.050806321029085666
5010,170,3,7,21,0.009348840860184282,0.07479072688147426
5011,334,4,9,26,0.008556955197127536,0.08556955197127536
5012,46,1,4,10,0.007158825220540166,0.03579412610270083
5013,138,3,6,18,0.00805955972256405,0.05641691805794835
5014,118,3,5,13,0.006665468671902393,0.03999281203141436
5015,223,5,7,21,0.008410650280503822,0.058874551963526756
5016,39,0,4,11,0.008283489209134132,0.04141744604567066
5017,57,1,5,14,0.007713289494859055,0.04627973696915433
5018,226,5,6,16,0.00706539731306423,0.04945778119144961
5019,57,1,5,13,0.007517897155291091,0.04510738293174654
5020,55,1,4,12,0.00822687461040914,0.0411343730520457
5021,89,2,5,15,0.009498508600518107,0.04749254300259054
5022,79,2,5,14,0.008546211174689233,0.0512772670481354
5023,173,3,7,20,0.006377940873790067,0.051023526990320534
5024,117,3,5,14,0.006572015845449641,0.03943209507269785
5025,56,1,5,13,0.007519564494335403,0.04511738696601242
5026,43,0,4,10,0.005289703584276139,0.0264485179213807
5027,277,5,8,23,0.006980979886268162,0.06282881897641346
5028,48,0,4,12,0.007767592009622603,0.03883796004811302
5029,64,1,5,13,0.006332084002982204,0.037992504017893225
5030,87,2,5,14,0.007300994155230001,0.043805964931380004
5031,55,1,4,12,0.01016645150957629,0.04066580603830516
5032,58,1,4,12,0.007364434585906565,0.036822172929532826
5033,35,0,3,9,0.007974208245286718,0.03189683298114687
5034,41,0,4,10,0.0073432682082057,0.0367163410410285
5035,185,3,8,24,0.010105666740855668,0.08084533392684534
5036,244,4,10,28,0.00832339854572307,0.09155738400295377
5037,48,1,3,9,0.010332300254958682,0.04132920101983473
5038,48,1,3,9,0.006933516240678728,0.02773406496271491
5039,415,1,4,12,0.00920748240314424,0.0460374120157212
5040,88,2,6,16,0.007567630141108696,0.05297341098776087
5041,327,4,10,28,0.006172550175423649,0.06789805192966014
5042,30,0,3,9,0.012980013697718581,0.03894004109315574
5043,92,2,6,16,0.007752228719514928,0.054265601036604494
5044,39,0,4,10,0.006271882611326873,0.031359413056634367
5045,175,4,6,17,0.00796569899622617,0.05575989297358319
5046,87,2,5,14,0.008398120660179606,0.05038872396107763
5047,106,2,6,17,0.006886164441571704,0.04820315109100193
5048,49,1,4,10,0.007712425012141466,0.03856212506070733
5049,94,2,5,13,0.006916132842889056,0.041496797057334334
5050,76,1,5,13,0.006283960664101566,0.037703763984609395
5051,171,3,8,23,0.007148407794172979,0.06433567014755681
5052,52,1,3,9,0.007553482762887143,0.03021393105154857
5053,73,1,5,14,0.007560716330772266,0.045364297984633595
5054,37,0,4,10,0.006890816986560822,0.03445408493280411
5055,70,1,5,13,0.006320574835020428,0.03792344901012257
5056,65,2,4,12,0.007520034816116095,0.03760017408058047
5057,53,1,4,12,0.007936213200446218,0.03968106600223109
5058,60,1,5,13,0.006968251002642016,0.041809506015852094
5059,142,2,7,20,0.0065098239938379265,0.05207859195070341
5060,80,1,5,15,0.009072647395078093,0.045363236975390464
5061,179,4,6,17,0.006855308427475393,0.04798715899232775
5062,51,1,5,14,0.00975447049131617,0.05852682294789702
5063,28,0,3,7,0.008732849280931987,0.03493139712372795
5064,53,1,4,12,0.008086209604516625,0.04043104802258313
5065,84,2,5,13,0.006382893819439535,0.03829736291663721
