seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,2063,19,15,45,0.07718068606118322,1.2348909769789316
5001,2976,23,18,54,0.06021563184300536,1.1440970050171018
5002,2906,20,23,69,0.062738791750841,1.505731002020184
5003,2515,21,17,51,0.06618230600553729,1.125099202094134
5004,1500,16,13,39,0.05912892335410496,0.8278049269574694
5005,41,0,3,9,0.07358122125151567,0.2943248850060627
5006,2179,16,19,57,0.06171449925168417,1.2342899850336835
5007,19402,61,44,132,0.06456976457783538,2.9056394060025923
5008,1856,16,19,57,0.06426942149410024,1.2853884298820049
5009,12406,39,58,174,0.06058946821712336,3.5747786248102784
5010,1560,13,16,48,0.06273638035567916,1.0665184660465457
5011,76,2,4,12,0.06195418838178739,0.30977094190893695
5012,5168,30,28,84,0.06170987396436776,1.789586344966665
5013,3210,24,20,60,0.0741762529138387,1.5577013111906126
5014,84,2,4,12,0.07026985239936039,0.35134926199680194
5015,1379,15,14,42,0.06955069246857117,1.0432603870285675
5016,43,0,4,12,0.07875240759458393,0.39376203797291964
5017,5552,32,24,72,0.07385548464022577,1.8463871160056442
5018,40,0,3,9,0.06533978448715061,0.26135913794860244
5019,14245,51,43,129,0.06372170941639607,2.803755214321427
5020,2081,19,15,45,0.06687967663310701,1.0700748261297122
5021,1698,17,15,45,0.0738036165984037,1.1070542489760555
5022,297,6,7,21,0.08528437856252172,0.596990649937652
5023,4092,27,22,66,0.06212302339111414,1.4288295379956253
5024,151,4,5,15,0.06618750066263601,0.39712500397581607
5025,2059,19,15,45,0.07344460437889211,1.1751136700622737
5026,215,5,5,15,0.04506809499192362,0.2704085699515417
5027,3489,25,19,57,0.05877744424215052,1.1755488848430105
5028,2568,21,16,48,0.0631499464130577,1.0735490890219808
5029,3473,24,23,69,0.0570715637562292,1.3697175301495008
5030,2270,20,15,45,0.06347477093731868,1.015596334997099
5031,1181,14,11,33,0.0719862350767168,0.8638348209206015
5032,2295,20,16,48,0.061958620348698736,1.0532965459278785
5033,369,7,7,21,0.05847120274847839,0.4677696219878271
5034,1883,18,15,45,0.0722395830671303,1.1558333290740848
5035,365,7,8,24,0.07148749844378068,0.6433874859940261
5036,3251,24,21,63,0.06869644912446594,1.511321880738251
5037,2758,22,16,48,0.06284543706158943,1.0683724300470203
5038,2282,20,16,48,0.073459041534293,1.248803706082981
5039,4125,26,22,66,0.06029368926386308,1.386754853068851
5040,2972,23,18,54,0.06209959467493096,1.1798922988236882
5041,4753,26,28,84,0.06262427683245263,1.816104028141126
5042,30,0,3,9,0.08141626449651085,0.3256650579860434
5043,2516,20,21,63,0.06375097136531788,1.4025213700369932
5044,9891,37,46,138,0.06385114348488563,3.0010037437896244
5045,4296,28,22,66,0.05782522825503965,1.329980249865912
5046,2403,19,20,60,0.060523618858063684,1.2709959960193373
5047,56,1,4,12,0.0674360128119588,0.33718006405979395
5048,555,9,9,27,0.06391258071525954,0.6391258071525954
5049,2075,19,15,45,0.06091506100347033,0.9746409760555252
5050,288,6,6,18,0.06587886857700401,0.4611520800390281
5051,3219,21,18,54,0.07911050690362524,1.5030996311688796
5052,2725,22,16,48,0.07127405940691996,1.2116590099176392
5053,3219,24,20,60,0.07138303457482141,1.4990437260712497
5054,2824,21,21,63,0.061991699315099555,1.3638173849321902
5055,1808,14,19,57,0.06741663205611985,1.348332641122397
5056,3211,24,19,57,0.0692299678485142,1.3845993569702841
5057,1173,14,12,36,0.07927553846429174,1.0305820000357926
5058,4982,22,31,93,0.06121077400530339,1.9587447681697085
5059,79,2,4,12,0.051162737584672865,0.25581368792336434
5060,212,5,6,18,0.07512253016466275,0.5258577111526392
5061,3465,25,18,54,0.06024386194583617,1.1446333769708872
5062,15845,55,40,120,0.0706391378303013,2.8962046510423534
5063,2704,20,22,66,0.07290299959607761,1.6038659911137074
5064,10438,38,26,78,0.06785562318637622,1.832101826032158
5065,1199,14,12,36,0.07276756546119802,0.9459783509955741
5066,1182,14,11,33,0.07030819015926681,0.8436982819112018
5067,1834,16,19,57,0.057676432601874696,1.1535286520374939
5068,55,1,4,12,0.08278740699170158,0.41393703495850787
5069,2737,22,18,54,0.0643848238886628,1.2233116538845934
5070,80,2,4,12,0.061726318404544143,0.3086315920227207
5071,44,0,3,9,0.0817097036827666,0.24512911104829982
5072,287,6,6,18,0.0642595182871446,0.4498166280100122
5073,1671,17,14,42,0.07068353299982846,1.0602529949974269
5074,34,0,3,9,0.06041165074566379,0.24164660298265517
5075,551,9,8,24,0.06492507499125269,0.5843256749212742
5076,1528,16,14,42,0.07534096899131934,1.13011453486979
5077,453,8,8,24,0.068910656341662,0.6201959070749581
5078,3459,25,19,57,0.062091860605869444,1.2418372121173888
5079,442,8,8,24,0.06252596200728375,0.5627336580655538
5080,1044,13,11,33,0.05245368316536769,0.6294441979844123
5081,1507,16,13,39,0.054689580287751074,0.7656541240285151
5082,353,7,7,21,0.06760584974836092,0.5408467979868874
5083,1892,18,15,45,0.05452194968529511,0.8723511949647218
5084,3207,24,18,54,0.06696894226938878,1.2724099031183869
5085,2066,19,15,45,0.06784993881956325,1.085599021113012
5086,37,0,3,9,0.06524916375929024,0.26099665503716096
5087,2504,21,16,48,0.057097686817595625,0.9706606758991256
5088,1692,17,13,39,0.07369129971318346,1.0316781959845684
5089,59,1,3,9,0.05799896200187504,0.23199584800750017
5090,4604,29,22,66,0.06817737286505492,1.5680795758962631
5091,4268,23,27,81,0.06770073221455927,1.8956205020076595
5092,356,7,7,21,0.05517825513379648,0.44142604107037187
5093,15908,55,40,120,0.07230430163255688,2.964476366934832
5094,201,5,5,15,0.07872127317629445,0.47232763905776665
5095,1696,17,15,45,0.08242409431477427,1.3187855090363882
5096,4467,27,28,84,0.0699980834916491,2.0299444212578237
5097,1875,18,14,42,0.06956530252549177,1.0434795378823765
5098,1519,16,13,39,0.07045071885970954,0.9863100640359335
5099,1515,16,14,42,0.058134494535624984,0.8720174180343747
