seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,12326,48,36,108,0.0599107452427553,2.2166975739819463
5001,15450,34,69,207,0.039124299957932505,2.7387009970552754
5002,12568,41,54,162,0.035901792216728526,1.974598571920069
5003,10310,35,41,123,0.0415244617151551,1.7440273920365144
5004,1181,14,12,36,0.03920999053829851,0.5097298769978806
5005,21199,62,52,156,0.04359254701928464,2.310404992022086
5006,8938,41,28,84,0.044006605656689096,1.2761915640439838
5007,32598,55,139,417,0.04452318709248045,6.233246192947263
5008,45159,64,170,510,0.04430551148255966,7.576242463517701
5009,534,8,9,27,0.04265164640091825,0.4265164640091825
5010,1876,18,14,42,0.04585998673186017,0.6878998009779025
5011,11567,43,45,135,0.04767222789245273,2.1929224830528256
5012,4286,19,35,105,0.04468200508320782,1.6085521829954814
5013,1989,15,23,69,0.051741740613183734,1.190060034103226
5014,34807,56,92,276,0.04424967273277411,4.115219564147992
5015,852,8,15,45,0.04696336993583827,0.7514139189734124
5016,4384,22,28,84,0.054431923930051515,1.5785257939714938
5017,773,11,10,30,0.0563235058163462,0.6195585639798082
5018,10702,30,56,168,0.04317329410594283,2.4608777640387416
5019,1082,8,20,60,0.05125439557014033,1.076342306972947
5020,46974,63,134,402,0.045725167275156346,6.172897582146106
5021,8132,39,28,84,0.049303896658941464,1.4298130031093024
5022,902,12,10,30,0.04653103081562387,0.5118413389718626
5023,14145,38,58,174,0.046932214440410895,2.7690006519842427
5024,12664,49,34,102,0.044953407257396195,1.5733692540088668
5025,5511,23,37,111,0.04354649965764685,1.6547669869905803
5026,9987,29,52,156,0.04149464896181598,2.199216394976247
5027,10533,31,53,159,0.04367400744511677,2.3583964020363055
5028,71170,117,90,270,0.04817201251805003,4.383653139142552
5029,3012,15,32,96,0.04012535990720304,1.3241368769377004
5030,2788,22,18,54,0.04347971978591216,0.826114675932331
5031,11901,37,54,162,0.04147736886939542,2.281255287816748
5032,8301,33,47,141,0.04927950354067434,2.3654161699523684
5033,11288,37,49,147,0.04068644436076283,2.0343222180381417
5034,1883,18,15,45,0.047263173746614484,0.7562107799458317
5035,764,11,9,27,0.05850687619531527,0.5850687619531527
5036,3198,18,25,75,0.05008067969398466,1.302097672043601
5037,2958,23,16,48,0.04324380952953909,0.7351447620021645
5038,1719,14,18,54,0.049096983574073466,0.9328426879073959
5039,10100,30,53,159,0.03964058429496449,2.1405915519280825
5040,1053,13,12,36,0.0478016231500078,0.6214211009501014
5041,13016,28,87,261,0.045687398092427015,4.020491032133577
5042,38012,54,138,414,0.04655361059017098,6.4709518720337655
5043,62663,72,245,735,0.043543128850178914,10.711609697144013
5044,494,8,9,27,0.04946998940140475,0.49469989401404746
5045,48104,47,191,573,0.0417153680687079,8.009350669191917
5046,9083,29,52,156,0.04712526769902258,2.497639188048197
5047,5765,30,30,90,0.045618095903679906,1.4141609730140772
5048,575,9,9,27,0.04650907469913364,0.46509074699133635
5049,11569,36,47,141,0.044322390292412216,2.1274747340357862
5050,1509,12,15,45,0.040869456070140586,0.6539112971222494
5051,6413,24,44,132,0.04794646802604095,2.1575910611718427
5052,2515,20,19,57,0.04103427599766292,0.8206855199532583
5053,4976,30,25,75,0.04778890507721091,1.2425115320074838
5054,4919,30,22,66,0.04825662360678468,1.1099023429560475
5055,5466,30,34,102,0.049274750485450824,1.724616266990779
5056,24629,46,96,288,0.045937199485500235,4.455908350093523
5057,18381,45,85,255,0.04865955000000107,4.184721300000092
5058,3690,15,38,114,0.045416686026445136,1.7712507550313603
5059,9841,25,57,171,0.039891364947081835,2.3136991669307463
5060,8226,30,53,159,0.040662828797832375,2.195792755082948
5061,1975,15,18,54,0.0425176137895936,0.8078346620022785
5062,12639,46,48,144,0.04874814677584384,2.3886591920163482
5063,407,5,9,27,0.04837352210015524,0.4837352210015524
5064,14798,53,38,114,0.04431238943615403,1.7281831880100071
5065,909,10,12,36,0.048282141071887545,0.6276678339345381
5066,20470,48,56,168,0.04471421231650502,2.5487101020407863
5067,1343,15,12,36,0.05403203115117951,0.7024164049653336
5068,24765,61,91,273,0.04344151230242974,3.996619131823536
5069,7091,28,43,129,0.046365579477093306,2.0400854969921056
5070,8923,28,48,144,0.043012218717937076,2.1075987171789166
5071,3969,18,36,108,0.046568693244685044,1.7230416500533465
5072,3212,24,17,51,0.04521341688652885,0.8138415039575193
5073,19722,55,60,180,0.04872295495168474,2.972100252052769
5074,12327,35,68,204,0.0444242804647808,3.0652753520698752
5075,22577,54,71,213,0.04389705865186341,3.160588222934166
5076,3233,19,23,69,0.045057139002892654,1.0813713360694237
5077,543,9,8,24,0.05305913110755177,0.47753217996796593
5078,1856,15,20,60,0.044934784476589856,0.943630474008387
5079,14734,46,57,171,0.04720187413753091,2.7377086999767926
5080,756,10,12,36,0.04318273984021149,0.5613756179227494
5081,34516,57,112,336,0.04443789842544717,5.02148252207553
5082,4789,29,25,75,0.050297252233856574,1.3077285580802709
5083,14249,34,67,201,0.04488190663216622,3.051969650987303
5084,18166,29,100,300,0.04284193305878457,4.327035238937242
5085,8302,29,51,153,0.051016993999767765,2.6528836879879236
5086,3533,21,30,90,0.04843840474307898,1.5015905470354483
5087,19477,31,100,300,0.044181266830113745,4.462307949841488
5088,9424,32,55,165,0.04474686401850444,2.5058243850362487
5089,13239,41,59,177,0.04406801019940758,2.644080611964455
5090,7989,32,40,120,0.04308150461150856,1.7663416890718509
5091,897,12,10,30,0.052252410641151735,0.5747765170526691
5092,1094,13,12,36,0.03872770253712168,0.5034601329825819
5093,12506,48,41,123,0.044061003549445775,1.8505621490767226
5094,16282,39,74,222,0.04542385124135762,3.406788843101822
5095,7034,27,46,138,0.045740824704246716,2.1498187610995956
5096,19779,52,72,216,0.047858835601451974,3.493694998905994
5097,2502,21,15,45,0.05141802081016067,0.8226883329625707
5098,4011,25,26,78,0.04542216040620891,1.2263983309676405
5099,3681,15,39,117,0.04852979572460754,1.9411918289843015
5100,60891,77,161,483,0.04764589837020734,7.71863553597359
5101,1638,12,17,51,0.04598798116947162,0.8277836610504892
5102,1002,11,12,36,0.04416628361706479,0.5741616870218422
5103,16494,37,88,264,0.04924494115860735,4.382799763116054
5104,7276,23,54,162,0.0478180036006961,2.6299901980382856
5105,10277,44,31,93,0.043585982062722906,1.394751426007133
