seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,5388,31,27,81,0.052963704170127,1.482983716763556
5001,781,11,10,30,0.0579189286429689,0.6371082150726579
5002,15556,49,53,159,0.05416049187166478,2.9246665610698983
5003,2093,13,23,69,0.051879659122884426,1.2451118189492263
5004,791,10,12,36,0.041722333922874756,0.5423903409973718
5005,1319,14,13,39,0.052855546636107774,0.7399776529055089
5006,1712,17,14,42,0.051764689467381685,0.7764703420107253
5007,6807,20,50,150,0.053547527314638535,2.7309238930465654
5008,3399,15,35,105,0.04882849203002277,1.7578257130808197
5009,4317,28,21,63,0.04904360700642097,1.0789593541412614
5010,5112,30,25,75,0.0591203362273518,1.5371287419111468
5011,1701,14,19,57,0.05226796234201174,1.0453592468402348
5012,2898,13,32,96,0.0519222190628308,1.7134332290734164
5013,20677,40,95,285,0.04901249300746713,4.705199328716844
5014,2718,18,23,69,0.047326370836041555,1.1358329000649974
5015,5968,30,33,99,0.05210015499580871,1.771405269857496
5016,4305,28,21,63,0.05724498309427872,1.259389628074132
5017,41,1,3,9,0.06332832199404947,0.2533132879761979
5018,222,5,5,15,0.05043863884444969,0.30263183306669816
5019,2392,20,20,60,0.05591805741312869,1.1742792056757025
5020,3785,18,35,105,0.05267716416144847,1.896377909812145
5021,2882,15,28,84,0.058986867448828854,1.7106191560160369
5022,181,4,6,18,0.06116988099945177,0.4281891669961624
5023,4171,21,37,111,0.05376755355207838,2.0431670349789783
5024,13679,51,35,105,0.05071444138916882,1.8257198900100775
5025,238,4,7,21,0.05191134575579781,0.4152907660463825
5026,228,5,6,18,0.04516665398841724,0.27099992393050343
5027,13237,31,65,195,0.05180622848936103,3.4192110802978277
5028,3570,16,29,87,0.0557801641698461,1.673404925095383
5029,11991,35,54,162,0.05415913861837577,2.978752624010667
5030,161,4,5,15,0.043528545676963404,0.2611712740617804
5031,3047,18,27,81,0.05203783482803764,1.4570593751850538
5032,10026,43,34,102,0.04995916179447834,1.748570662806742
5033,286,6,6,18,0.05164732012365546,0.3615312408655882
5034,1433,15,15,45,0.05148478386399802,0.8237565418239683
5035,245,4,8,24,0.06337245310553247,0.5703520779497921
5036,3546,25,22,66,0.05263997130247805,1.210719339956995
5037,2864,22,18,54,0.057464065520386944,1.091817244887352
5038,161,4,5,15,0.051661333990826584,0.3099680039449595
5039,738,5,10,30,0.04668177827261388,0.5134995609987527
5040,5497,19,47,141,0.05631666848057648,2.703200087067671
5041,2907,18,26,78,0.044399739072778846,1.198792954965029
5042,812,11,11,33,0.04004481784068048,0.48053781408816576
5043,3171,21,25,75,0.05731402788660489,1.4901647250517271
5044,8856,37,51,153,0.049572470540834516,2.577768468123395
5045,253,4,8,24,0.05840919732711174,0.5256827759440057
5046,1195,14,13,39,0.05625766850425862,0.7876073590596206
5047,2118,19,17,51,0.04284059622376743,0.7711307320278138
5048,578,8,11,33,0.062064685819981,0.744776229839772
5049,9908,42,41,123,0.048836934951222724,2.0511512679513544
5050,651,10,8,24,0.0470721048833285,0.42364894394995645
5051,4927,29,28,84,0.05829795982471892,1.6906408349168487
5052,1530,16,13,39,0.05204473700307842,0.7286263180430979
5053,2153,17,21,63,0.059569950366329234,1.3105389080592431
5054,1939,14,22,66,0.043114753789268434,0.991639337153174
5055,759,10,12,36,0.05489130307866547,0.7135869400226511
5056,7337,28,49,147,0.04633541864226572,2.316770932113286
5057,3976,23,30,90,0.058977738741950524,1.8283099010004662
5058,2012,18,18,54,0.06385228959353347,1.2131935022771358
5059,963,12,12,36,0.047908926696086734,0.6228160470491275
5060,681,10,10,30,0.0584047997306863,0.6424527970375493
5061,12674,49,34,102,0.05808735320544137,2.0330573621904477
5062,469,7,11,33,0.059995326097123325,0.7199439131654799
5063,4354,28,22,66,0.05851266660940145,1.3457913320162334
5064,1230,10,18,54,0.058595465729013085,1.1133138488512486
5065,369,6,8,24,0.057413068554726325,0.5167176169925369
5066,1038,13,10,30,0.0565421455539763,0.6219636010937393
5067,1938,13,20,60,0.05235010233341849,1.0993521490017883
5068,2071,19,15,45,0.058164387115539284,0.9306301938486286
5069,2001,17,21,63,0.05260925031457604,1.157403506920673
5070,502,7,10,30,0.0506979082711041,0.5576769909821451
5071,4882,28,32,96,0.05160946794080012,1.7031124420464039
5072,151,4,4,12,0.06537244480568916,0.3268622240284458
5073,9127,32,45,135,0.06093990232709431,2.803235507046338
5074,1802,14,21,63,0.06799057890946808,1.4957927360082977
5075,411,7,8,24,0.055222116449537374,0.4969990480458364
5076,3003,17,23,69,0.058804522753537945,1.4113085460849106
5077,543,9,8,24,0.05996577365375641,0.5396919628838077
5078,767,11,10,30,0.048069132814734156,0.5287604609620757
5079,6464,29,38,114,0.05420565469644199,2.114020533161238
5080,3296,17,33,99,0.05250885320813669,1.7853010090766475
5081,2071,19,14,42,0.05351221652235836,0.8026832478353754
5082,2672,20,23,69,0.05998252258723369,1.4395805420936085
5083,2082,19,15,45,0.052041681188711664,0.8326668990193866
5084,2070,19,14,42,0.05636317793202276,0.8454476689803414
5085,1766,15,20,60,0.052429441623167976,1.1010182740865275
5086,1549,10,20,60,0.05180184222990647,1.0878386868280359
5087,1312,14,14,42,0.05435167459848647,0.8152751189772971
5088,834,11,12,36,0.049241729913494334,0.6401424888754264
5089,16410,50,56,168,0.04673538238663847,2.663916796038393
5090,13772,41,59,177,0.055450988446439926,3.3270593067863956
5091,1176,14,11,33,0.05498286626243498,0.6597943951492198
5092,494,8,9,27,0.04770471769734286,0.4770471769734286
5093,602,9,11,33,0.05437582674494479,0.6525099209393375
5094,211,5,5,15,0.06440596267930232,0.3864357760758139
5095,3520,17,32,96,0.061125643570752196,2.0171462378348224
5096,1634,16,16,48,0.04515548929681673,0.7676433180458844
5097,2734,22,16,48,0.05693127417950617,0.9678316610516049
5098,1894,18,15,45,0.05469672025355976,0.8751475240569562
5099,1935,16,18,54,0.05843432284707792,1.1102521340944804
