episode,score,steps,epsilon,loss,avg_v
1,55,12,0.9999,0.0000,4.6165
2,35,9,0.9999,0.0000,5.0324
3,99,17,0.9998,4.7717,8.2643
4,52,10,0.9998,5.5361,9.8485
5,31,7,0.9997,4.0297,6.1551
6,41,10,0.9996,2.4989,10.4090
7,208,18,0.9996,3.8065,19.5644
8,26,6,0.9995,4.8650,9.6801
9,160,16,0.9995,3.8610,23.2475
10,196,22,0.9994,5.4581,19.4422
11,43,10,0.9993,5.6551,10.8555
12,39,9,0.9993,5.0189,16.6846
13,52,12,0.9992,3.6949,13.8194
14,84,13,0.9992,4.6641,12.5486
15,37,8,0.9991,4.1186,9.2367
16,111,17,0.9990,3.6505,12.1669
17,57,11,0.9990,3.7178,10.8690
18,28,8,0.9989,3.5519,8.0427
19,39,9,0.9989,3.1002,8.8433
20,43,12,0.9988,3.8539,8.8615
21,35,9,0.9988,4.9066,9.2650
22,58,12,0.9987,4.1724,16.6144
23,40,9,0.9986,4.5807,12.0882
24,60,12,0.9986,3.2706,9.2671
25,54,11,0.9985,4.9005,10.6217
26,151,17,0.9985,3.6104,13.6692
27,45,8,0.9984,4.6367,14.2780
28,42,9,0.9983,4.6567,9.6713
29,59,12,0.9983,3.6518,12.1331
30,178,22,0.9982,3.9737,18.6854
31,116,17,0.9982,3.3735,15.4557
32,28,8,0.9981,4.1720,7.4385
33,38,10,0.9980,4.6577,7.6817
34,48,12,0.9980,4.4169,9.3027
35,33,10,0.9979,4.4513,8.0174
36,29,6,0.9979,6.3196,13.7416
37,37,8,0.9978,2.6811,11.7429
38,47,13,0.9977,4.4337,11.2731
39,30,8,0.9977,4.1408,8.7341
40,36,9,0.9976,3.7388,9.7386
41,118,16,0.9976,3.0710,11.5084
42,45,14,0.9975,3.6120,7.2033
43,42,11,0.9974,3.6405,9.4143
44,361,29,0.9974,4.1574,22.4510
45,36,9,0.9973,5.4399,11.4952
46,29,8,0.9973,4.1476,14.9745
47,40,9,0.9972,5.2279,13.8596
48,88,15,0.9971,4.2168,15.7648
49,35,8,0.9971,3.8594,15.7623
50,167,23,0.9970,3.5283,17.7512
51,33,8,0.9970,4.3562,14.7913
52,33,8,0.9969,4.5568,12.0751
53,35,8,0.9969,5.7104,12.8165
54,145,18,0.9968,5.2664,19.1491
55,57,15,0.9967,4.7665,12.2131
56,46,10,0.9967,3.0746,14.0370
57,33,8,0.9966,3.9339,14.8273
58,59,11,0.9966,4.4984,12.9740
59,61,13,0.9965,3.4584,14.4675
60,117,16,0.9964,4.2835,20.3952
61,47,11,0.9964,5.6438,16.8507
62,30,7,0.9963,4.7906,14.4306
63,55,10,0.9963,4.6084,13.8137
64,34,9,0.9962,3.5634,15.2585
65,32,9,0.9961,4.9032,11.2530
66,85,15,0.9961,4.6596,12.9617
67,82,11,0.9960,4.8749,18.2951
68,58,13,0.9960,4.9601,17.6125
69,75,14,0.9959,3.8340,47.0830
70,41,10,0.9958,4.4611,14.2010
71,92,16,0.9958,4.7203,20.9586
72,26,7,0.9957,4.1807,11.6458
73,37,9,0.9957,4.9041,12.1186
74,44,12,0.9956,4.7320,11.2945
75,45,15,0.9955,4.1991,13.4630
76,32,8,0.9955,4.8415,12.9801
77,54,12,0.9954,3.8574,11.8532
78,35,9,0.9954,3.9153,12.9108
79,51,10,0.9953,5.1776,16.1921
80,32,9,0.9952,5.9015,13.6121
81,40,10,0.9952,6.7860,11.9331
82,95,18,0.9951,4.2709,14.0686
83,34,9,0.9951,3.0614,15.4330
84,43,11,0.9950,3.8356,14.0385
85,48,11,0.9950,3.8006,12.4233
86,41,9,0.9949,3.5007,13.8003
87,28,7,0.9948,3.9909,14.2897
88,47,11,0.9948,4.2900,16.4520
89,35,10,0.9947,3.8137,11.4773
90,20,6,0.9947,4.1109,10.4848
91,26,7,0.9946,5.7079,15.7675
92,115,15,0.9945,5.6344,22.4266
93,36,9,0.9945,4.6522,16.0473
94,45,10,0.9944,3.4908,19.5264
95,160,17,0.9944,4.9488,24.1499
96,35,9,0.9943,4.8473,17.2233
97,118,14,0.9942,5.1700,25.6365
98,87,13,0.9942,3.8454,20.9080
99,37,10,0.9941,4.1836,15.9682
100,22,5,0.9941,5.5754,19.2823
101,150,20,0.9940,5.2342,20.6131
102,27,7,0.9939,3.9406,16.6425
103,58,13,0.9939,5.8000,18.6561
104,40,11,0.9938,4.3312,17.3260
105,54,12,0.9938,5.1896,17.5598
106,34,10,0.9937,4.2095,16.9431
107,48,9,0.9936,4.8231,18.0875
108,34,11,0.9936,4.2768,15.7919
109,56,12,0.9935,3.7537,16.5292
110,294,22,0.9935,4.4101,32.5865
111,38,10,0.9934,4.7309,16.2420
112,40,9,0.9933,4.8608,16.6987
113,41,10,0.9933,4.6668,19.0024
114,113,13,0.9932,5.3496,21.3746
115,44,11,0.9932,3.9288,16.1495
116,84,13,0.9931,5.4731,21.8341
117,64,13,0.9931,4.5532,21.8133
118,38,10,0.9930,5.1952,16.8205
119,43,11,0.9929,5.1686,16.8437
120,58,12,0.9929,3.5234,18.6910
121,237,23,0.9928,3.9979,24.5934
122,50,10,0.9928,3.8802,19.2490
123,51,11,0.9927,5.4286,17.6802
124,33,8,0.9926,4.4523,17.0435
125,36,9,0.9926,4.6034,17.2002
126,33,10,0.9925,4.5337,14.8389
127,42,11,0.9925,4.4126,17.0087
128,58,10,0.9924,3.2539,18.6649
129,82,12,0.9923,5.1698,19.2342
