episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
1,93,18,0.9999,0.00005000,0.0000,10.0967,0.0000
2,43,11,0.9999,0.00005000,0.0000,5.6579,0.0000
3,38,10,0.9998,0.00005000,5.7738,3.7789,0.0000
4,34,8,0.9998,0.00004999,5.4573,6.8776,0.0000
5,126,16,0.9997,0.00004999,5.8771,15.3206,0.0000
6,38,10,0.9997,0.00004999,5.5404,7.2262,0.0000
7,34,9,0.9996,0.00004999,3.6601,6.4696,0.0000
8,42,11,0.9996,0.00004999,3.3951,10.2916,0.0000
9,36,9,0.9995,0.00004999,2.7647,10.0677,0.0000
10,27,6,0.9994,0.00004999,3.0686,10.3410,0.0000
11,43,9,0.9994,0.00004998,2.6480,10.2695,0.0000
12,39,11,0.9993,0.00004998,3.3468,8.9182,0.0000
13,91,15,0.9993,0.00004998,2.7444,12.6125,0.0000
14,95,20,0.9992,0.00004998,3.0715,15.2909,0.0000
15,71,13,0.9992,0.00004998,3.4546,9.6815,0.0000
16,38,10,0.9991,0.00004998,2.9161,9.1057,0.0000
17,59,9,0.9990,0.00004998,3.6854,13.1539,0.0000
18,37,10,0.9990,0.00004997,2.9091,10.0207,0.0000
19,83,14,0.9989,0.00004997,3.0980,11.4995,0.0000
20,37,10,0.9989,0.00004997,4.1534,7.8629,0.0000
21,58,13,0.9988,0.00004997,3.7544,9.3863,0.0000
22,30,8,0.9988,0.00004997,4.2016,10.5749,0.0000
23,40,11,0.9987,0.00004997,3.2382,9.7392,0.0000
24,85,14,0.9987,0.00004997,3.7643,13.1460,0.0000
25,76,14,0.9986,0.00004996,3.7084,10.3623,0.0000
26,87,16,0.9985,0.00004996,3.9276,11.4624,0.0000
27,44,12,0.9985,0.00004996,3.0876,8.6187,0.0000
28,41,10,0.9984,0.00004996,3.0332,9.4055,0.0000
29,283,24,0.9984,0.00004996,3.3413,20.9612,0.0000
30,33,9,0.9983,0.00004996,4.0917,9.9134,0.0000
31,193,19,0.9983,0.00004996,4.1126,15.4153,0.0000
32,70,8,0.9982,0.00004996,2.5726,13.2934,0.0000
33,93,16,0.9981,0.00004995,3.4283,15.5437,0.0000
34,28,7,0.9981,0.00004995,3.4982,8.4437,0.0000
35,26,8,0.9980,0.00004995,2.6615,7.7644,0.0000
36,129,18,0.9980,0.00004995,3.8044,11.7142,0.0000
37,35,8,0.9979,0.00004995,4.2166,10.7599,0.0000
38,42,11,0.9979,0.00004995,4.4523,10.3135,0.0000
39,57,12,0.9978,0.00004995,4.1987,11.5603,0.0000
40,172,20,0.9978,0.00004994,3.3189,19.2468,0.0000
41,43,11,0.9977,0.00004994,4.1117,8.6152,0.0000
42,61,13,0.9976,0.00004994,4.4542,9.4728,0.0000
43,70,15,0.9976,0.00004994,3.3932,11.7900,0.0000
44,31,8,0.9975,0.00004994,3.7365,8.0822,0.0000
45,41,9,0.9975,0.00004994,5.5950,11.9917,0.0000
46,61,14,0.9974,0.00004994,4.0077,17.1596,0.0000
47,28,7,0.9974,0.00004993,5.3054,11.8497,0.0000
48,43,10,0.9973,0.00004993,4.3083,12.1380,0.0000
49,40,10,0.9972,0.00004993,4.1045,12.8673,0.0000
50,64,13,0.9972,0.00004993,4.0351,15.8817,0.0000
51,155,19,0.9971,0.00004993,3.8795,17.3998,0.0000
52,37,7,0.9971,0.00004993,3.3546,17.3603,0.0000
53,22,5,0.9970,0.00004993,3.0750,15.8650,0.0000
54,43,11,0.9970,0.00004992,3.9299,14.7131,0.0000
55,54,11,0.9969,0.00004992,3.8143,12.6076,0.0000
56,178,23,0.9969,0.00004992,4.3936,20.2040,0.0000
57,38,10,0.9968,0.00004992,4.4391,15.8466,0.0000
58,52,11,0.9967,0.00004992,4.7040,16.2904,0.0000
59,31,7,0.9967,0.00004992,3.9700,13.2460,0.0000
60,56,11,0.9966,0.00004992,3.8933,14.9327,0.0000
61,137,18,0.9966,0.00004991,4.0456,16.9299,0.0000
62,37,8,0.9965,0.00004991,4.6021,13.9077,0.0000
63,39,9,0.9965,0.00004991,3.4216,13.9838,0.0000
64,36,9,0.9964,0.00004991,3.7816,11.7658,0.0000
65,42,10,0.9963,0.00004991,4.0768,12.9273,0.0000
66,108,17,0.9963,0.00004991,3.8523,16.2575,0.0000
67,83,13,0.9962,0.00004991,3.5559,17.7489,0.0000
68,41,10,0.9962,0.00004990,4.4912,52.4034,0.0000
69,32,8,0.9961,0.00004990,4.0889,12.0539,0.0000
70,57,11,0.9961,0.00004990,4.2169,18.3082,0.0000
71,130,19,0.9960,0.00004990,3.6348,18.2110,0.0000
72,55,12,0.9960,0.00004990,3.7353,16.2326,0.0000
73,165,20,0.9959,0.00004990,4.0915,19.7366,0.0000
74,99,16,0.9958,0.00004990,4.0009,17.3056,0.0000
75,58,11,0.9958,0.00004989,4.7169,13.9551,0.0000
76,58,13,0.9957,0.00004989,4.1521,12.1070,0.0000
77,285,19,0.9957,0.00004989,3.8664,30.3716,0.0000
78,57,12,0.9956,0.00004989,4.5005,16.1632,0.0000
79,99,16,0.9956,0.00004989,4.9154,17.4144,0.0000
80,62,13,0.9955,0.00004989,3.8591,16.8700,0.0000
81,28,7,0.9954,0.00004989,2.4587,12.0116,0.0000
82,55,12,0.9954,0.00004988,4.9191,13.8171,0.0000
83,23,7,0.9953,0.00004988,5.2713,12.3218,0.0000
84,112,17,0.9953,0.00004988,4.1161,13.9751,0.0000
85,200,24,0.9952,0.00004988,5.3902,19.4549,0.0000
86,237,21,0.9952,0.00004988,4.8065,24.5886,0.0000
87,53,11,0.9951,0.00004988,4.4589,17.3891,0.0000
88,39,10,0.9950,0.00004988,5.0633,21.4289,0.0000
89,24,6,0.9950,0.00004987,4.1006,15.4778,0.0000
90,81,13,0.9949,0.00004987,4.6095,19.6153,0.0000
91,52,11,0.9949,0.00004987,5.2995,18.1361,0.0000
92,60,13,0.9948,0.00004987,4.3385,18.6252,0.0000
93,31,7,0.9948,0.00004987,3.6986,17.5365,0.0000
94,33,8,0.9947,0.00004987,4.1691,17.1735,0.0000
95,52,10,0.9947,0.00004987,6.4756,17.3857,0.0000
96,25,8,0.9946,0.00004987,5.0733,14.8314,0.0000
97,35,9,0.9945,0.00004986,4.2057,17.2286,0.0000
98,41,12,0.9945,0.00004986,3.6992,15.6848,0.0000
99,57,11,0.9944,0.00004986,4.3054,22.5070,0.0000
100,31,8,0.9944,0.00004986,4.4367,18.8969,0.0000
101,47,9,0.9943,0.00004986,3.5948,17.1457,0.0000
102,40,9,0.9943,0.00004986,5.5814,19.9846,0.0000
103,84,13,0.9942,0.00004986,5.1309,20.2925,0.0000
104,123,17,0.9941,0.00004985,3.8436,21.0479,0.0000
105,40,10,0.9941,0.00004985,4.1573,16.3190,0.0000
106,73,13,0.9940,0.00004985,4.1377,21.4736,0.0000
107,113,13,0.9940,0.00004985,5.0410,20.9259,0.0000
108,58,12,0.9939,0.00004985,4.6567,18.8145,0.0000
109,32,7,0.9939,0.00004985,5.7013,20.7697,0.0000
110,31,8,0.9938,0.00004985,4.5008,16.9584,0.0000
111,82,13,0.9938,0.00004984,4.4714,21.0526,0.0000
112,42,9,0.9937,0.00004984,4.0307,16.9867,0.0000
113,36,9,0.9936,0.00004984,4.3466,16.9783,0.0000
114,59,13,0.9936,0.00004984,4.0905,16.6470,0.0000
115,37,10,0.9935,0.00004984,4.4709,20.4515,0.0000
116,35,10,0.9935,0.00004984,4.4660,17.0228,0.0000
117,158,20,0.9934,0.00004984,4.1738,21.9431,0.0000
118,217,21,0.9934,0.00004983,4.6933,32.3497,0.0000
119,61,13,0.9933,0.00004983,3.1292,19.3603,0.0000
120,182,17,0.9932,0.00004983,4.3617,50.5331,0.0000
121,70,12,0.9932,0.00004983,4.3691,18.9784,0.0000
122,54,10,0.9931,0.00004983,4.6160,18.8757,0.0000
123,57,11,0.9931,0.00004983,3.0475,24.8843,0.0000
124,80,16,0.9930,0.00004983,3.8734,18.6683,0.0000
125,38,10,0.9930,0.00004982,4.9465,15.9481,0.0000
126,104,16,0.9929,0.00004982,4.7518,19.2460,0.0000
127,156,16,0.9929,0.00004982,6.1233,25.5917,0.0000
128,53,10,0.9928,0.00004982,5.5731,24.8227,0.0000
129,173,18,0.9927,0.00004982,4.8721,33.5701,0.0000
130,26,6,0.9927,0.00004982,4.3767,19.9893,0.0000
131,55,10,0.9926,0.00004982,4.8825,29.4960,0.0000
132,57,10,0.9926,0.00004981,4.5376,23.2799,0.0000
133,32,10,0.9925,0.00004981,4.2503,19.0808,0.0000
134,86,14,0.9925,0.00004981,5.2031,23.9565,0.0000
135,39,9,0.9924,0.00004981,3.9484,21.7050,0.0000
136,58,12,0.9923,0.00004981,4.3285,24.4261,0.0000
137,36,7,0.9923,0.00004981,3.1881,23.1901,0.0000
138,39,11,0.9922,0.00004981,4.8957,22.8535,0.0000
139,85,15,0.9922,0.00004980,3.8418,23.5387,0.0000
140,48,9,0.9921,0.00004980,4.3861,22.6449,0.0000
141,104,16,0.9921,0.00004980,3.8850,25.6273,0.0000
142,56,10,0.9920,0.00004980,5.0918,24.5337,0.0000
143,66,15,0.9920,0.00004980,5.5043,22.7739,0.0000
144,178,22,0.9919,0.00004980,4.4730,30.9398,0.0000
145,35,8,0.9918,0.00004980,4.0333,21.6735,0.0000
146,28,6,0.9918,0.00004979,4.7555,22.3557,0.0000
147,29,7,0.9917,0.00004979,5.0602,21.5261,0.0000
148,46,9,0.9917,0.00004979,4.2778,21.4633,0.0000
149,36,8,0.9916,0.00004979,4.9383,24.4615,0.0000
150,35,10,0.9916,0.00004979,4.3187,23.7537,0.0000
151,46,9,0.9915,0.00004979,5.1274,23.7631,0.0000
152,25,7,0.9915,0.00004979,5.5309,20.4291,0.0000
153,35,9,0.9914,0.00004978,4.3516,23.9716,0.0000
154,39,9,0.9913,0.00004978,5.0581,22.6904,0.0000
155,33,8,0.9913,0.00004978,4.8406,22.9622,0.0000
156,41,9,0.9912,0.00004978,4.0980,21.9721,0.0000
157,40,12,0.9912,0.00004978,4.9508,18.9516,0.0000
158,160,16,0.9911,0.00004978,5.0712,32.0200,0.0000
159,63,14,0.9911,0.00004978,4.1683,23.7376,0.0000
160,62,11,0.9910,0.00004978,4.4518,24.1670,0.0000
161,32,8,0.9909,0.00004977,4.6797,21.5642,0.0000
162,105,20,0.9909,0.00004977,5.9139,26.9932,0.0000
163,53,10,0.9908,0.00004977,3.5066,28.3655,0.0000
164,53,11,0.9908,0.00004977,4.2854,25.1909,0.0000
165,39,10,0.9907,0.00004977,4.4010,24.0089,0.0000
166,39,13,0.9907,0.00004977,4.7252,20.3097,0.0000
167,40,10,0.9906,0.00004977,3.6724,22.8562,0.0000
168,37,9,0.9906,0.00004976,4.9001,20.9736,0.0000
169,36,9,0.9905,0.00004976,3.4619,22.2532,0.0000
170,52,11,0.9904,0.00004976,5.9924,21.4460,0.0000
171,38,10,0.9904,0.00004976,3.7791,21.1185,0.0000
172,26,6,0.9903,0.00004976,3.9848,20.4284,0.0000
173,61,13,0.9903,0.00004976,4.8518,24.3243,0.0000
174,73,13,0.9902,0.00004976,5.2661,27.7187,0.0000
175,44,12,0.9902,0.00004975,4.5822,24.2418,0.0000
176,37,10,0.9901,0.00004975,5.0236,24.7871,0.0000
177,63,14,0.9900,0.00004975,4.5859,29.6112,0.0000
178,40,13,0.9900,0.00004975,4.1589,25.1788,0.0000
179,35,10,0.9899,0.00004975,4.9240,23.8120,0.0000
180,120,17,0.9899,0.00004975,3.9712,30.3672,0.0000
181,34,10,0.9898,0.00004975,3.9512,28.7447,0.0000
182,40,11,0.9898,0.00004974,5.7920,26.7558,0.0000
183,82,14,0.9897,0.00004974,4.9807,33.9928,0.0000
184,57,12,0.9897,0.00004974,4.4749,25.1771,0.0000
185,60,13,0.9896,0.00004974,4.0178,27.1526,0.0000
186,40,10,0.9895,0.00004974,2.9058,25.6631,0.0000
187,60,12,0.9895,0.00004974,4.9911,29.0044,0.0000
188,30,8,0.9894,0.00004974,4.7476,25.7507,0.0000
189,37,10,0.9894,0.00004973,4.4701,27.2766,0.0000
190,47,8,0.9893,0.00004973,5.8669,29.6154,0.0000
191,151,14,0.9893,0.00004973,3.9842,35.7858,0.0000
192,54,11,0.9892,0.00004973,5.0012,26.4280,0.0000
193,40,9,0.9891,0.00004973,4.7350,26.4228,0.0000
194,36,7,0.9891,0.00004973,3.5957,29.5397,0.0000
195,57,12,0.9890,0.00004973,3.8209,27.2123,0.0000
196,59,13,0.9890,0.00004972,3.9898,26.9363,0.0000
197,86,16,0.9889,0.00004972,4.7257,29.2672,0.0000
198,176,19,0.9889,0.00004972,4.1695,34.8622,0.0000
199,42,11,0.9888,0.00004972,4.9105,27.2090,0.0000
200,56,11,0.9888,0.00004972,4.3777,29.4057,0.0000
201,86,14,0.9887,0.00004972,3.8257,34.5970,0.0000
202,174,18,0.9886,0.00004972,4.7393,37.1646,0.0000
203,59,11,0.9886,0.00004971,5.3863,29.2791,0.0000
204,46,8,0.9885,0.00004971,3.6644,27.3324,0.0000
205,56,11,0.9885,0.00004971,3.7504,28.3753,0.0000
206,122,16,0.9884,0.00004971,3.5371,29.8350,0.0000
207,40,9,0.9884,0.00004971,3.3058,26.2829,0.0000
208,36,10,0.9883,0.00004971,4.4115,25.1846,0.0000
209,34,9,0.9882,0.00004971,4.4451,25.3217,0.0000
210,36,9,0.9882,0.00004970,4.7362,26.3300,0.0000
211,39,9,0.9881,0.00004970,3.9120,27.2530,0.0000
212,62,13,0.9881,0.00004970,5.1834,26.2898,0.0000
213,41,11,0.9880,0.00004970,4.9402,26.6677,0.0000
214,38,9,0.9880,0.00004970,6.1090,23.9616,0.0000
215,122,15,0.9879,0.00004970,4.1875,31.5329,0.0000
216,54,11,0.9879,0.00004970,5.4619,27.3227,0.0000
217,77,17,0.9878,0.00004969,4.5882,33.0953,0.0000
218,35,8,0.9877,0.00004969,5.8386,33.5055,0.0000
219,81,16,0.9877,0.00004969,4.5885,35.3644,0.0000
220,33,8,0.9876,0.00004969,5.2894,30.3973,0.0000
221,61,12,0.9876,0.00004969,5.7067,32.2865,0.0000
222,42,11,0.9875,0.00004969,5.1030,30.4302,0.0000
223,38,12,0.9875,0.00004969,4.6350,28.6884,0.0000
224,59,12,0.9874,0.00004969,5.5816,30.9443,0.0000
225,45,12,0.9873,0.00004968,5.0310,31.7125,0.0000
226,32,9,0.9873,0.00004968,5.5856,29.9125,0.0000
227,60,13,0.9872,0.00004968,4.8257,31.1498,0.0000
228,123,18,0.9872,0.00004968,4.9719,35.8871,0.0000
229,44,11,0.9871,0.00004968,5.5100,31.6302,0.0000
230,77,12,0.9871,0.00004968,3.9028,33.5656,0.0000
231,71,12,0.9870,0.00004968,5.5191,31.4738,0.0000
232,32,11,0.9869,0.00004967,4.1913,28.1575,0.0000
