episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
1,93,18,0.9999,0.00005000,0.0000,10.0967,0.0000
2,43,11,0.9997,0.00005000,0.0000,5.6579,0.0000
3,38,10,0.9996,0.00005000,5.7738,3.7789,1.2083
4,34,8,0.9994,0.00005000,5.4581,6.8768,1.5299
5,126,16,0.9992,0.00005000,5.9032,15.2871,2.8223
6,38,10,0.9991,0.00005000,5.7307,7.0039,5.6685
7,34,9,0.9990,0.00005000,4.1380,5.7915,7.9443
8,42,11,0.9988,0.00005000,3.6922,9.0405,7.2300
9,36,9,0.9987,0.00005000,2.7794,9.8341,4.1091
10,27,6,0.9985,0.00005000,3.1598,10.8074,6.0072
11,43,9,0.9983,0.00005000,2.6768,10.4913,3.7344
12,39,11,0.9982,0.00005000,3.3569,8.7332,3.6240
13,91,15,0.9980,0.00005000,2.7190,12.5463,3.0035
14,95,20,0.9979,0.00005000,3.0334,15.0971,2.4335
15,71,13,0.9978,0.00005000,3.4093,9.6399,2.1514
16,38,10,0.9976,0.00005000,2.8961,9.1007,2.0085
17,59,9,0.9974,0.00005000,3.6593,13.0934,1.8671
18,37,10,0.9973,0.00005000,2.8766,10.0612,2.4756
19,83,14,0.9971,0.00005000,3.0821,11.4024,2.3005
20,37,10,0.9970,0.00005000,4.1130,7.7043,1.9373
21,58,13,0.9969,0.00005000,3.7219,9.2660,2.5771
22,30,8,0.9967,0.00005000,4.1494,10.6918,2.1643
23,40,11,0.9966,0.00005000,3.1824,9.7229,1.9761
24,85,14,0.9964,0.00005000,3.7192,13.1134,1.7529
25,76,14,0.9962,0.00005000,3.6551,10.4177,2.2708
26,87,16,0.9961,0.00005000,3.8735,11.3972,3.2674
27,44,12,0.9960,0.00005000,3.0493,8.5361,3.0505
28,41,10,0.9958,0.00005000,2.9942,9.3622,2.8241
29,283,24,0.9957,0.00005000,3.2843,20.9426,2.7331
30,33,9,0.9955,0.00005000,4.0069,9.8501,1.9624
31,193,19,0.9953,0.00005000,4.0294,15.2880,2.4108
32,70,8,0.9952,0.00005000,2.5067,13.2985,2.0167
33,93,16,0.9950,0.00005000,3.3424,15.3601,2.5345
34,28,7,0.9949,0.00005000,3.4307,8.5244,2.0495
35,26,8,0.9948,0.00005000,2.5901,7.9715,2.2501
36,129,18,0.9946,0.00005000,3.7344,11.6042,2.4470
37,35,8,0.9944,0.00005000,4.1444,10.6430,1.9761
38,42,11,0.9943,0.00005000,4.3763,10.0438,2.0446
39,57,12,0.9941,0.00005000,4.1253,11.4611,2.3656
40,172,20,0.9940,0.00005000,3.2349,19.0882,1.7219
41,43,11,0.9939,0.00005000,4.0565,8.5163,2.5959
42,61,13,0.9937,0.00005000,4.3974,9.2973,2.0776
43,70,15,0.9936,0.00005000,3.3142,11.5731,1.9073
44,31,8,0.9934,0.00005000,3.7260,8.1782,8.3109
45,41,9,0.9932,0.00005000,7.3143,9.8597,19.0420
46,61,14,0.9931,0.00005000,4.7293,14.5137,20.5694
47,28,7,0.9929,0.00005000,5.4282,12.4257,9.3930
48,43,10,0.9928,0.00005000,4.4184,12.3677,7.3750
49,40,10,0.9927,0.00005000,4.1998,12.5930,5.0058
50,64,13,0.9925,0.00005000,4.1120,16.0329,5.9167
51,155,19,0.9923,0.00005000,3.9269,17.4494,4.9487
52,31,6,0.9922,0.00005000,3.1258,15.6065,4.8400
53,31,6,0.9920,0.00005000,3.3023,13.8319,4.7399
54,59,12,0.9919,0.00005000,3.8655,14.2451,6.3424
55,115,19,0.9918,0.00005000,3.9379,16.1907,4.0286
56,44,11,0.9916,0.00005000,4.3695,12.9773,4.4400
57,56,12,0.9915,0.00005000,4.6161,12.8608,4.5007
58,51,11,0.9913,0.00005000,4.8766,13.5000,3.7826
59,35,9,0.9911,0.00005000,3.3056,12.6059,3.0260
60,74,13,0.9910,0.00005000,3.8566,14.7949,3.9025
61,39,11,0.9909,0.00005000,4.7187,11.7766,3.7822
62,53,10,0.9907,0.00005000,3.1242,15.9838,5.5177
63,193,21,0.9906,0.00005000,4.1589,24.0364,4.2643
64,61,13,0.9904,0.00005000,3.2614,18.4136,4.2192
65,48,10,0.9902,0.00005000,3.3460,15.3317,4.0886
