episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
1,93,18,0.9999,0.00005000,0.0000,10.0967,0.0000
2,43,11,0.9997,0.00004999,0.0000,5.6579,0.0000
3,38,10,0.9996,0.00004999,5.7738,3.7789,0.0000
4,34,8,0.9994,0.00004999,5.4573,6.8776,0.0000
5,126,16,0.9992,0.00004998,5.8772,15.3204,0.0000
6,38,10,0.9991,0.00004998,5.5410,7.2255,0.0000
7,34,9,0.9990,0.00004997,3.6612,6.4679,0.0000
8,42,11,0.9988,0.00004997,3.3951,10.2897,0.0000
9,36,9,0.9987,0.00004997,2.7650,10.0690,0.0000
10,27,6,0.9985,0.00004996,3.0688,10.3433,0.0000
11,43,9,0.9983,0.00004996,2.6482,10.2696,0.0000
12,39,11,0.9982,0.00004996,3.3471,8.9166,0.0000
13,91,15,0.9980,0.00004995,2.7447,12.6148,0.0000
14,95,20,0.9979,0.00004995,3.0718,15.2911,0.0000
15,71,13,0.9978,0.00004994,3.4551,9.6829,0.0000
16,38,10,0.9976,0.00004994,2.9164,9.1046,0.0000
17,59,9,0.9974,0.00004994,3.6858,13.1555,0.0000
18,37,10,0.9973,0.00004993,2.9095,10.0202,0.0000
19,83,14,0.9971,0.00004993,3.0982,11.4998,0.0000
20,37,10,0.9970,0.00004993,4.1538,7.8633,0.0000
21,58,13,0.9969,0.00004992,3.7548,9.3886,0.0000
22,30,8,0.9967,0.00004992,4.2022,10.5750,0.0000
23,40,11,0.9966,0.00004991,3.2390,9.7384,0.0000
24,85,14,0.9964,0.00004991,3.7650,13.1462,0.0000
25,76,14,0.9962,0.00004991,3.7093,10.3621,0.0000
26,87,16,0.9961,0.00004990,3.9287,11.4633,0.0000
27,44,12,0.9960,0.00004990,3.0887,8.6244,0.0000
28,41,10,0.9958,0.00004990,3.0345,9.3989,0.0000
29,283,24,0.9957,0.00004989,3.3428,20.9617,0.0000
30,33,9,0.9955,0.00004989,4.0935,9.9215,0.0000
31,193,19,0.9953,0.00004988,4.1145,15.4176,0.0000
32,70,8,0.9952,0.00004988,2.5744,13.2910,0.0000
33,93,16,0.9950,0.00004988,3.4306,15.5477,0.0000
34,28,7,0.9949,0.00004987,3.5000,8.4402,0.0000
35,26,8,0.9948,0.00004987,2.6634,7.7585,0.0000
36,129,18,0.9946,0.00004987,3.8059,11.7128,0.0000
37,35,8,0.9944,0.00004986,4.2181,10.7669,0.0000
38,42,11,0.9943,0.00004986,4.4534,10.3110,0.0000
39,57,12,0.9941,0.00004985,4.1996,11.5637,0.0000
40,172,20,0.9940,0.00004985,3.3198,19.2445,0.0000
41,43,11,0.9939,0.00004985,4.1122,8.6128,0.0000
42,61,13,0.9937,0.00004984,4.4543,9.4689,0.0000
43,70,15,0.9936,0.00004984,3.3923,11.7939,0.0000
44,31,8,0.9934,0.00004983,3.7337,8.0649,0.0000
45,41,9,0.9932,0.00004983,5.5772,12.0024,0.0000
46,61,14,0.9931,0.00004983,4.0090,17.1262,0.0000
47,28,7,0.9929,0.00004982,5.3028,11.8439,0.0000
48,43,10,0.9928,0.00004982,4.3074,12.1212,0.0000
49,40,10,0.9927,0.00004982,4.1055,12.8481,0.0000
50,64,13,0.9925,0.00004981,4.0355,15.8632,0.0000
51,155,19,0.9923,0.00004981,3.8801,17.3862,0.0000
