episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,93,18,0.9996,0.00004999,0.4001,0.0000,10.0967,0.0000,0.0000
2,43,11,0.9993,0.00004998,0.4002,0.0000,5.6579,0.0000,0.0000
3,38,10,0.9989,0.00004997,0.4004,5.1851,3.7769,0.0000,0.8867
4,56,11,0.9986,0.00004996,0.4005,5.0844,7.9810,0.0000,0.8920
5,42,10,0.9982,0.00004996,0.4006,5.9081,8.6740,0.0000,0.8656
6,52,11,0.9978,0.00004995,0.4007,6.4736,7.6811,0.0000,0.8324
7,46,12,0.9975,0.00004994,0.4008,6.2818,7.2075,0.0000,0.7630
8,42,11,0.9971,0.00004993,0.4010,5.8074,8.1949,0.0000,0.6591
9,56,12,0.9968,0.00004992,0.4011,5.5467,10.1421,0.0000,0.6432
10,32,8,0.9964,0.00004991,0.4012,5.9514,10.1595,0.0000,0.6406
11,34,7,0.9960,0.00004990,0.4013,4.4811,10.0815,0.0000,0.6920
12,118,16,0.9957,0.00004989,0.4014,5.7364,11.6051,0.0000,0.6348
13,47,9,0.9953,0.00004988,0.4016,5.3518,12.9015,0.0000,0.6771
14,60,15,0.9950,0.00004987,0.4017,5.9970,15.6202,0.0000,0.6312
15,62,14,0.9946,0.00004987,0.4018,5.0262,10.0031,0.0000,0.6674
16,99,14,0.9942,0.00004986,0.4019,5.6598,13.5366,0.0000,0.6674
17,38,7,0.9939,0.00004985,0.4020,5.1871,11.2535,0.0000,0.6652
18,57,13,0.9935,0.00004984,0.4022,5.5388,10.0038,0.0000,0.6394
19,113,14,0.9932,0.00004983,0.4023,5.3979,12.4792,0.0000,0.6362
20,33,9,0.9928,0.00004982,0.4024,5.5693,7.7626,0.0000,0.6632
21,90,16,0.9924,0.00004981,0.4025,5.4765,13.3979,0.0000,0.6387
22,32,8,0.9921,0.00004980,0.4026,4.7980,8.4732,0.0000,0.7266
23,38,11,0.9917,0.00004979,0.4028,5.2618,8.8359,0.0000,0.6619
24,78,12,0.9914,0.00004978,0.4029,5.5485,13.0855,0.0000,0.6667
25,40,10,0.9910,0.00004978,0.4030,5.3677,9.0708,0.0000,0.6312
26,34,10,0.9906,0.00004977,0.4031,5.7197,9.5384,0.0000,0.6438
27,84,15,0.9903,0.00004976,0.4032,5.9462,13.1422,0.0000,0.6229
28,45,11,0.9899,0.00004975,0.4034,5.7299,13.0504,0.0000,0.6278
29,77,12,0.9896,0.00004974,0.4035,5.0236,14.1485,0.0000,0.6797
30,43,10,0.9892,0.00004973,0.4036,4.9748,8.2429,0.0000,0.6687
31,33,9,0.9888,0.00004972,0.4037,4.9792,9.0016,0.0000,0.6979
32,26,6,0.9885,0.00004971,0.4038,5.1344,8.7110,0.0000,0.6562
33,42,10,0.9881,0.00004970,0.4040,4.9347,10.3104,0.0000,0.6687
34,31,7,0.9878,0.00004969,0.4041,4.4573,8.9740,0.0000,0.7009
35,37,9,0.9874,0.00004969,0.4042,4.7340,8.2731,0.0000,0.6632
36,57,11,0.9870,0.00004968,0.4043,5.1915,9.1817,0.0000,0.6477
37,60,13,0.9867,0.00004967,0.4044,5.4038,10.4118,0.0000,0.6442
38,31,9,0.9863,0.00004966,0.4046,5.3906,7.0944,0.0000,0.6111
39,101,15,0.9860,0.00004965,0.4047,5.2027,12.7935,0.0000,0.6229
40,39,10,0.9856,0.00004964,0.4048,4.2862,7.9133,0.0000,0.7219
41,57,12,0.9852,0.00004963,0.4049,5.5282,11.1676,0.0000,0.6250
42,51,12,0.9849,0.00004962,0.4050,5.3530,9.9198,0.0000,0.6484
43,105,14,0.9845,0.00004961,0.4052,5.3024,16.5865,0.0000,0.6540
44,33,9,0.9842,0.00004960,0.4053,5.4406,8.8351,0.0000,0.6007
45,55,11,0.9838,0.00004960,0.4054,5.1307,10.0730,0.0000,0.6477
46,26,9,0.9834,0.00004959,0.4055,4.9815,7.2825,0.0000,0.6771
47,41,10,0.9831,0.00004958,0.4056,5.1535,9.0352,0.0000,0.6781
48,28,7,0.9827,0.00004957,0.4058,4.2480,9.9445,0.0000,0.7098
49,27,7,0.9824,0.00004956,0.4059,5.4362,9.2221,0.0000,0.7143
50,36,10,0.9820,0.00004955,0.4060,5.0553,12.3305,0.0000,0.6875
51,62,12,0.9816,0.00004954,0.4061,5.0763,12.8500,0.0000,0.7005
