episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,22,5,1.0000,0.00005000,0.0000,3.8346,6.5995,0.0000,0.9688
2,37,9,0.9996,0.00004999,0.0000,1.8516,8.8027,0.0000,0.9866
3,49,11,0.9993,0.00004998,0.0000,2.5752,8.8918,0.0000,0.9792
4,43,11,0.9993,0.00004998,0.0000,2.1411,9.5090,0.0000,0.9722
5,81,13,0.9986,0.00004996,0.0000,2.2103,12.4038,0.0000,0.9744
6,70,14,0.9982,0.00004996,0.0000,2.2234,9.5640,0.0000,0.9688
7,63,14,0.9982,0.00004996,0.0000,2.3205,7.6885,0.0000,0.9736
8,90,15,0.9975,0.00004994,0.0000,1.9657,10.5060,0.0000,0.9808
9,35,8,0.9971,0.00004993,0.0000,2.9033,8.5032,0.0000,0.9609
10,34,20,0.9968,0.00004992,0.0000,2.8595,9.8407,0.0000,0.9601
11,54,11,0.9964,0.00004991,0.0000,3.3780,13.6544,0.0000,0.9460
12,32,10,0.9960,0.00004990,0.0000,2.6855,7.4417,0.0000,0.9500
13,38,24,0.9960,0.00004990,0.0000,2.0190,9.6126,0.0000,0.9744
14,43,11,0.9953,0.00004988,0.0000,2.6083,10.7825,0.0000,0.9517
15,58,27,0.9950,0.00004987,0.0000,2.7389,8.5491,0.0000,0.9563
16,87,14,0.9946,0.00004987,0.0000,3.0277,13.2176,0.0000,0.9375
17,43,11,0.9942,0.00004986,0.0000,2.9470,9.8404,0.0000,0.9261
18,73,14,0.9942,0.00004986,0.0000,3.4828,12.8801,0.0000,0.9442
19,32,34,0.9935,0.00004984,0.0000,2.2317,13.3599,0.0000,0.9619
20,114,24,0.9932,0.00004983,0.0000,2.9736,11.9872,0.0000,0.9518
21,59,11,0.9932,0.00004983,0.0000,1.9888,11.0659,0.0000,0.9574
22,31,37,0.9924,0.00004981,0.0000,3.0908,12.2641,0.0000,0.9464
23,77,39,0.9921,0.00004980,0.0000,2.5385,12.7179,0.0000,0.9628
24,61,14,0.9917,0.00004979,0.0000,2.9318,14.3339,0.0000,0.9353
