episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,22,5,1.0000,0.00005000,0.0000,3.8346,6.5995,0.0000,0.9688
2,37,9,0.9999,0.00005000,0.0000,1.8516,8.8027,0.0000,0.9866
3,49,11,0.9998,0.00005000,0.0000,2.5752,8.8918,0.0000,0.9792
4,43,11,0.9998,0.00005000,0.0000,2.1411,9.5090,0.0000,0.9722
5,81,13,0.9996,0.00004999,0.0000,2.2103,12.4038,0.0000,0.9744
6,70,14,0.9996,0.00004999,0.0000,2.2234,9.5640,0.0000,0.9688
7,63,14,0.9996,0.00004999,0.0000,2.3205,7.6884,0.0000,0.9736
8,90,15,0.9994,0.00004998,0.0000,1.9657,10.5059,0.0000,0.9808
9,35,8,0.9993,0.00004998,0.0000,2.9032,8.5031,0.0000,0.9609
10,34,20,0.9992,0.00004998,0.0000,2.8594,9.8407,0.0000,0.9601
11,54,11,0.9991,0.00004998,0.0000,3.3779,13.6544,0.0000,0.9460
12,32,10,0.9990,0.00004998,0.0000,2.6854,7.4417,0.0000,0.9500
13,38,24,0.9990,0.00004998,0.0000,2.0189,9.6126,0.0000,0.9744
14,43,11,0.9988,0.00004997,0.0000,2.6082,10.7821,0.0000,0.9517
15,58,27,0.9987,0.00004997,0.0000,2.7388,8.5491,0.0000,0.9563
16,87,14,0.9987,0.00004997,0.0000,3.0275,13.2175,0.0000,0.9375
17,43,11,0.9986,0.00004996,0.0000,2.9466,9.8401,0.0000,0.9261
18,73,14,0.9986,0.00004996,0.0000,3.4826,12.8799,0.0000,0.9442
19,32,34,0.9984,0.00004996,0.0000,2.2315,13.3598,0.0000,0.9619
20,114,24,0.9983,0.00004996,0.0000,2.9732,11.9877,0.0000,0.9518
21,59,11,0.9983,0.00004996,0.0000,1.9890,11.0667,0.0000,0.9574
22,31,37,0.9981,0.00004995,0.0000,3.0905,12.2642,0.0000,0.9464
23,77,39,0.9980,0.00004995,0.0000,2.5383,12.7181,0.0000,0.9628
24,59,42,0.9979,0.00004995,0.0000,2.3697,9.0457,0.0000,0.9664
25,61,14,0.9979,0.00004995,0.0000,2.9325,14.3343,0.0000,0.9353
26,36,43,0.9978,0.00004994,0.0000,3.2306,12.2046,0.0000,0.9405
27,34,18,0.9977,0.00004994,0.0000,3.0982,13.5802,0.0000,0.9271
28,60,14,0.9976,0.00004994,0.0000,4.1281,12.8799,0.0000,0.9308
29,58,23,0.9975,0.00004994,0.0000,2.8717,13.9292,0.0000,0.9552
30,303,23,0.9974,0.00004993,0.0000,3.0900,22.4414,0.0000,0.9416
31,81,37,0.9974,0.00004993,0.0000,3.5287,13.0255,0.0000,0.9392
32,30,8,0.9972,0.00004993,0.0000,3.3763,14.3973,0.0000,0.9297
33,48,14,0.9972,0.00004993,0.0000,2.3482,16.0452,0.0000,0.9531
34,73,48,0.9970,0.00004993,0.0000,2.8212,13.7599,0.0000,0.9538
35,60,20,0.9969,0.00004992,0.0000,3.4447,14.4122,0.0000,0.9516
36,63,33,0.9969,0.00004992,0.0000,2.9538,12.8522,0.0000,0.9508
37,39,11,0.9969,0.00004992,0.0000,3.2325,12.2887,0.0000,0.9347
38,43,13,0.9969,0.00004992,0.0000,3.3541,11.9766,0.0000,0.9351
39,61,14,0.9966,0.00004991,0.0000,3.2530,14.6901,0.0000,0.9263
40,45,11,0.9965,0.00004991,0.0000,3.4901,13.5754,0.0000,0.9403
41,52,11,0.9964,0.00004991,0.0000,2.7862,13.2137,0.0000,0.9432
42,32,8,0.9963,0.00004991,0.0000,2.4344,12.6549,0.0000,0.9375
43,71,14,0.9962,0.00004991,0.0000,3.1383,15.2971,0.0000,0.9509
44,75,39,0.9961,0.00004990,0.0000,3.6277,18.1340,0.0000,0.9319
45,169,19,0.9961,0.00004990,0.0000,3.3098,22.5240,0.0000,0.9391
46,62,11,0.9961,0.00004990,0.0000,2.9806,16.7925,0.0000,0.9460
47,58,21,0.9959,0.00004990,0.0000,3.4221,15.6097,0.0000,0.9375
48,43,36,0.9959,0.00004990,0.0000,3.8751,16.5398,0.0000,0.9366
49,123,17,0.9957,0.00004989,0.0000,4.1783,22.5397,0.0000,0.9265
50,52,11,0.9956,0.00004989,0.0000,3.4018,16.9288,0.0000,0.9432
51,43,10,0.9955,0.00004989,0.0000,3.9735,17.1667,0.0000,0.9313
52,41,39,0.9954,0.00004989,0.0000,4.1764,16.3363,0.0000,0.9303
53,56,11,0.9954,0.00004989,0.0000,3.5625,18.5644,0.0000,0.9403
54,41,20,0.9954,0.00004989,0.0000,4.2166,15.2156,0.0000,0.9203
55,121,27,0.9951,0.00004988,0.0000,3.3911,17.3034,0.0000,0.9410
56,115,49,0.9950,0.00004988,0.0000,4.4576,16.1992,0.0000,0.9203
