episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,31,8,1.0000,0.00005000,0.4000,1.7920,5.8947,0.0000,0.9792
2,34,9,0.9999,0.00005000,0.4000,1.6760,6.2051,0.0000,0.9554
3,41,11,0.9998,0.00005000,0.4001,1.8589,6.6131,0.0000,0.9514
4,49,11,0.9998,0.00005000,0.4001,2.1114,7.1079,0.0000,0.9479
5,41,11,0.9998,0.00005000,0.4001,1.8067,7.4173,0.0000,0.9549
6,39,11,0.9998,0.00005000,0.4001,2.1812,9.0086,0.0000,0.9313
7,47,13,0.9995,0.00004999,0.4002,2.6422,8.1374,0.0000,0.8892
8,62,20,0.9994,0.00004998,0.4002,3.3310,8.8039,0.0000,0.8420
9,44,21,0.9993,0.00004998,0.4002,2.7765,8.8359,0.0000,0.8421
10,42,12,0.9993,0.00004998,0.4002,3.9593,8.3952,0.0000,0.7656
11,56,11,0.9991,0.00004998,0.4003,3.9029,12.0822,0.0000,0.7642
12,66,22,0.9991,0.00004998,0.4003,3.1231,10.9077,0.0000,0.8469
13,64,11,0.9991,0.00004998,0.4003,3.7420,17.3734,0.0000,0.7642
14,36,23,0.9988,0.00004997,0.4004,3.1244,12.6444,0.0000,0.8051
15,62,23,0.9988,0.00004997,0.4004,2.9460,8.5154,0.0000,0.8452
16,40,29,0.9987,0.00004997,0.4005,3.5736,11.4251,0.0000,0.8056
17,39,10,0.9986,0.00004996,0.4005,5.0833,8.8303,0.0000,0.6937
18,75,20,0.9986,0.00004996,0.4005,4.7563,11.8276,0.0000,0.7109
19,76,13,0.9984,0.00004996,0.4005,5.2366,14.2838,0.0000,0.6659
20,32,21,0.9984,0.00004996,0.4005,4.8022,12.7770,0.0000,0.7143
21,54,35,0.9982,0.00004996,0.4006,3.9291,12.5046,0.0000,0.7775
22,63,14,0.9981,0.00004995,0.4006,5.0370,10.1154,0.0000,0.6987
23,85,14,0.9981,0.00004995,0.4006,5.4968,12.3583,0.0000,0.6875
24,33,8,0.9979,0.00004995,0.4007,5.3811,11.1436,0.0000,0.7070
25,36,8,0.9978,0.00004995,0.4007,4.3436,15.4681,0.0000,0.7500
26,45,8,0.9978,0.00004995,0.4007,4.9066,13.9546,0.0000,0.7109
27,41,44,0.9977,0.00004994,0.4008,3.8403,9.6913,0.0000,0.7686
28,33,23,0.9976,0.00004994,0.4008,5.0435,11.3853,0.0000,0.6984
29,40,45,0.9976,0.00004994,0.4008,4.0287,12.1559,0.0000,0.7812
30,69,26,0.9974,0.00004993,0.4009,4.8653,14.2280,0.0000,0.7320
31,76,20,0.9973,0.00004993,0.4009,5.5882,13.5100,0.0000,0.6875
32,57,13,0.9972,0.00004993,0.4009,5.7330,14.7399,0.0000,0.6707
33,37,20,0.9971,0.00004993,0.4010,4.6054,12.9533,0.0000,0.7375
34,40,11,0.9970,0.00004993,0.4010,4.4882,16.3389,0.0000,0.7159
35,39,10,0.9969,0.00004992,0.4010,6.0956,11.9398,0.0000,0.6406
36,38,10,0.9969,0.00004992,0.4011,5.3907,12.4605,0.0000,0.6750
37,119,47,0.9969,0.00004992,0.4011,4.5253,15.1672,0.0000,0.7320
38,30,21,0.9967,0.00004992,0.4011,5.1872,12.7392,0.0000,0.7143
39,41,37,0.9966,0.00004991,0.4011,4.9596,16.7021,0.0000,0.7044
40,38,18,0.9966,0.00004991,0.4011,4.9751,13.9308,0.0000,0.7257
41,95,21,0.9964,0.00004991,0.4012,4.5280,15.1977,0.0000,0.7336
42,58,11,0.9963,0.00004991,0.4012,5.6745,13.5637,0.0000,0.6875
43,83,49,0.9962,0.00004991,0.4013,5.0185,15.1175,0.0000,0.7156
44,29,8,0.9961,0.00004990,0.4013,5.3749,12.2852,0.0000,0.6719
