episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,22,5,1.0000,0.00005000,0.0000,3.7506,6.7551,0.0000,0.9688
2,37,9,0.9999,0.00005000,0.0000,1.8816,8.5836,0.0000,0.9866
3,49,11,0.9998,0.00005000,0.0000,2.6030,8.5788,0.0000,0.9792
4,43,11,0.9998,0.00005000,0.0000,2.1720,9.3991,0.0000,0.9722
5,81,13,0.9996,0.00004999,0.0000,2.2161,12.0558,0.0000,0.9744
6,70,14,0.9996,0.00004999,0.0000,2.2294,9.5030,0.0000,0.9688
7,63,14,0.9996,0.00004999,0.0000,2.3398,7.6017,0.0000,0.9736
8,90,15,0.9994,0.00004998,0.0000,1.9710,10.1598,0.0000,0.9808
9,35,8,0.9993,0.00004998,0.0000,2.8852,8.3777,0.0000,0.9609
10,34,20,0.9992,0.00004998,0.0000,2.8729,9.8434,0.0000,0.9601
11,54,11,0.9991,0.00004998,0.0000,3.3621,13.5635,0.0000,0.9460
12,32,10,0.9990,0.00004998,0.0000,2.6850,7.3876,0.0000,0.9500
13,38,24,0.9990,0.00004998,0.0000,2.0435,9.5136,0.0000,0.9744
14,43,11,0.9988,0.00004997,0.0000,2.5885,10.6164,0.0000,0.9517
15,58,27,0.9987,0.00004997,0.0000,2.7536,8.4107,0.0000,0.9563
16,87,14,0.9987,0.00004997,0.0000,3.0222,13.2676,0.0000,0.9375
17,43,11,0.9986,0.00004996,0.0000,2.9159,9.7337,0.0000,0.9261
18,73,14,0.9986,0.00004996,0.0000,3.4631,12.8227,0.0000,0.9442
19,32,34,0.9984,0.00004996,0.0000,2.2212,13.3061,0.0000,0.9619
20,114,24,0.9983,0.00004996,0.0000,2.9676,11.7981,0.0000,0.9518
21,59,11,0.9983,0.00004996,0.0000,1.9873,11.0496,0.0000,0.9574
22,31,37,0.9981,0.00004995,0.0000,3.0989,12.1079,0.0000,0.9464
23,77,39,0.9980,0.00004995,0.0000,2.5373,12.6575,0.0000,0.9628
24,59,42,0.9979,0.00004995,0.0000,2.3791,9.0296,0.0000,0.9664
25,61,14,0.9979,0.00004995,0.0000,2.9491,14.1676,0.0000,0.9353
26,36,43,0.9978,0.00004994,0.0000,3.2499,12.0782,0.0000,0.9405
27,34,18,0.9977,0.00004994,0.0000,3.0899,13.5119,0.0000,0.9271
28,60,14,0.9976,0.00004994,0.0000,4.1666,12.4329,0.0000,0.9308
29,58,23,0.9975,0.00004994,0.0000,2.8732,13.7203,0.0000,0.9552
30,303,23,0.9974,0.00004993,0.0000,3.1058,22.3963,0.0000,0.9416
31,81,37,0.9974,0.00004993,0.0000,3.5383,12.9378,0.0000,0.9392
32,30,8,0.9972,0.00004993,0.0000,3.4579,14.2864,0.0000,0.9297
33,48,14,0.9972,0.00004993,0.0000,2.3843,16.1245,0.0000,0.9531
34,73,48,0.9970,0.00004993,0.0000,2.8487,13.6914,0.0000,0.9538
35,60,20,0.9969,0.00004992,0.0000,3.5074,14.1481,0.0000,0.9516
36,63,33,0.9969,0.00004992,0.0000,2.9701,12.6995,0.0000,0.9508
37,39,11,0.9969,0.00004992,0.0000,3.2856,12.2213,0.0000,0.9347
38,43,13,0.9969,0.00004992,0.0000,3.4188,12.0911,0.0000,0.9351
39,61,14,0.9966,0.00004991,0.0000,3.3162,14.5274,0.0000,0.9263
40,45,11,0.9965,0.00004991,0.0000,3.5466,13.3216,0.0000,0.9403
41,52,11,0.9964,0.00004991,0.0000,2.8380,12.9098,0.0000,0.9432
42,32,8,0.9963,0.00004991,0.0000,2.4920,12.7088,0.0000,0.9375
43,71,14,0.9962,0.00004991,0.0000,3.1850,15.0967,0.0000,0.9509
44,75,39,0.9961,0.00004990,0.0000,3.6685,17.9387,0.0000,0.9319
45,169,19,0.9961,0.00004990,0.0000,3.3306,22.4531,0.0000,0.9391
46,62,11,0.9961,0.00004990,0.0000,3.0421,16.5455,0.0000,0.9460
47,58,21,0.9959,0.00004990,0.0000,3.4633,15.7530,0.0000,0.9375
48,43,36,0.9959,0.00004990,0.0000,3.9326,16.2696,0.0000,0.9366
49,123,17,0.9957,0.00004989,0.0000,4.2013,22.2228,0.0000,0.9265
50,52,11,0.9956,0.00004989,0.0000,3.4216,16.4976,0.0000,0.9432
51,43,10,0.9955,0.00004989,0.0000,3.9840,16.9826,0.0000,0.9313
52,41,39,0.9954,0.00004989,0.0000,4.2289,16.1636,0.0000,0.9303
53,56,11,0.9954,0.00004989,0.0000,3.5995,18.4456,0.0000,0.9403
54,41,20,0.9954,0.00004989,0.0000,4.2485,15.1985,0.0000,0.9203
55,121,27,0.9951,0.00004988,0.0000,3.4050,17.1227,0.0000,0.9410
56,37,49,0.9950,0.00004988,0.0000,3.6067,17.2836,0.0000,0.9292
57,60,42,0.9950,0.00004987,0.0000,3.8420,16.4746,0.0000,0.9308
