seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,2263,20,15,45,0.0660104454291286,1.0561671268660575
5001,1304,13,16,48,0.05005694181411801,0.8509680108400062
5002,7230,24,51,153,0.058074399058778696,3.0198687510564923
5003,4125,23,27,81,0.059425296823194786,1.663908311049454
5004,960,11,13,39,0.06295557057767708,0.881377988087479
5005,3066,21,24,72,0.062291380485985426,1.5572845121496357
5006,442,7,8,24,0.05827445255514855,0.524470072996337
5007,7713,31,43,129,0.06495424988679588,2.8579869950190187
5008,29964,66,71,213,0.060628051703841064,4.365219722676557
5009,2164,18,20,60,0.05132309023922842,1.0777848950237967
5010,2626,18,21,63,0.05808612423292785,1.2778947331244126
5011,15375,36,76,228,0.05751650991196466,4.428771263221279
5012,9370,24,55,165,0.05721293116117262,3.203924145025667
5013,7022,31,39,117,0.05846600086806575,2.33864003472263
5014,17559,40,78,234,0.05974006278387306,4.719464959925972
5015,2082,19,15,45,0.06581142138384166,1.0529827421414666
5016,42,1,3,9,0.06756900451728143,0.2702760180691257
5017,5882,33,24,72,0.06747259779134765,1.6868149447836913
5018,5327,22,38,114,0.06382346614890803,2.4891151798074134
5019,2875,18,31,93,0.0627835069080902,2.0090722210588865
5020,16979,28,102,306,0.06128845004166257,6.251421904249582
5021,14201,28,85,255,0.06061716510529825,5.213076199055649
5022,447,8,7,21,0.059626917995046824,0.4770153439603746
5023,4554,18,40,120,0.058296429366725154,2.3901536040357314
5024,917,12,11,33,0.054015671669427924,0.6481880600331351
5025,4975,30,24,72,0.053626303758937864,1.3406575939734466
5026,4010,27,20,60,0.05186975362344778,1.0892648260924034
5027,29204,67,68,204,0.05889102904399371,4.063481004035566
5028,18793,60,40,120,0.06559463287845663,2.6893799480167218
5029,22740,51,96,288,0.05326278159663696,5.166489814873785
5030,1017,13,10,30,0.05579651637129824,0.6137616800842807
5031,6525,31,35,105,0.06423882291872157,2.312597625073977
5032,478,8,9,27,0.056925190292531624,0.5692519029253162
5033,24733,41,88,264,0.05742696843638472,5.11100019083824
5034,1893,18,15,45,0.06793621931501548,1.0869795090402476
5035,15439,49,54,162,0.061317043743011626,3.3724374058656394
5036,9196,36,46,138,0.06013244934982377,2.7660926700918935
5037,7695,26,46,138,0.05063580730162125,2.3798829431761988
5038,24390,60,64,192,0.05437491022748873,3.534369164786767
5039,6344,28,38,114,0.0525690607386283,2.0501933688065037
5040,30332,59,87,261,0.06232827035339803,5.484887791099027
5041,10829,39,43,129,0.06408814447852572,2.8198783570551313
5042,7109,17,57,171,0.05714216095030083,3.314245335117448
5043,17836,36,87,261,0.06072455167966175,5.343760547810234
5044,15287,53,44,132,0.06208603370598414,2.7938715167692862
5045,18700,32,107,321,0.05654008075901031,6.106328721973114
5046,28222,73,59,177,0.06012137088303764,3.607282252982259
5047,15867,51,56,168,0.05752141523816247,3.278720668575261
5048,4915,30,21,63,0.056649646189973944,1.2462922161794268
5049,785,10,12,36,0.053959591851498075,0.7014746940694749
5050,20590,38,87,261,0.05578604952064448,4.909172357816715
5051,2729,22,18,54,0.058552912154578064,1.1125053309369832
5052,2129,13,23,69,0.054928420121238254,1.3182820829097182
5053,6950,36,26,78,0.0667203860422079,1.8014504231396131
5054,219,5,6,18,0.06456729157694749,0.4519710410386324
5055,18402,37,89,267,0.05959243287733342,5.363318958960008
5056,3001,23,19,57,0.06215322789212223,1.2430645578424446
5057,12651,49,35,105,0.05568945161131625,2.004820258007385
5058,23714,39,100,300,0.06109489209076855,6.109489209076855
5059,13439,29,67,201,0.055023220027899646,3.7415789618971758
5060,11781,34,57,171,0.05333248281787182,3.0932840034365654
5061,2515,20,18,54,0.0675796814765291,1.284013948054053
5062,24719,69,50,150,0.06396982290635944,3.2624609682243317
5063,2654,15,22,66,0.06699287026118406,1.5408360160072334
5064,15468,46,64,192,0.052292457616064124,3.399009745044168
5065,27809,46,106,318,0.05699870226062643,6.098861141887028
5066,13004,43,45,135,0.06318903589145401,2.906695651006885
5067,7587,28,55,165,0.05475259042889645,3.066145064018201
5068,20806,63,47,141,0.059724090743353976,2.866756355680991
5069,2513,15,22,66,0.05803252581972629,1.3347480938537046
5070,3714,18,34,102,0.05577347745087796,1.9520717107807286
5071,13737,51,37,111,0.06598898762910578,2.5075815299060196
5072,2496,21,15,45,0.06280521813823725,1.004883490211796
5073,25472,70,52,156,0.058618952698109426,3.1068044929997995
5074,6623,35,27,81,0.06573319900157262,1.8405295720440336
5075,77275,123,83,249,0.05827602970072933,4.895186494861264
5076,36,1,2,6,0.05606246365156645,0.16818739095469937
5077,7626,29,45,135,0.05905983286858019,2.6576924790861085
5078,3349,18,29,87,0.05012080949964002,1.5036242849892005
5079,12406,42,56,168,0.058958254683060214,3.360620516934432
5080,45078,73,135,405,0.05826353673996089,7.923840996634681
5081,13967,43,65,195,0.05493621767505608,3.6257903665537015
5082,18150,57,51,153,0.059827295577493854,3.1110193700296804
5083,441,6,10,30,0.059590580725026404,0.6554963879752904
5084,8989,32,39,117,0.057906028580327985,2.3162411432131194
5085,1886,18,15,45,0.0663453334964288,1.0615253359428607
5086,2685,19,21,63,0.0539641748605804,1.1872118469327688
5087,7352,22,46,138,0.057852027591000846,2.7190452967770398
5088,5596,23,37,111,0.0550605306037285,2.092300162941683
5089,3782,26,19,57,0.06354513434635009,1.270902686927002
5090,3261,24,21,63,0.06704514468385075,1.4749931830447167
5091,4620,29,22,66,0.06024915099640012,1.3857304729172029
5092,30453,69,80,240,0.05769585060490364,4.673363898997195
5093,21391,43,82,246,0.05927152413713019,4.8602649792446755
5094,14753,53,36,108,0.06443871421160528,2.3842324258293957
5095,5930,30,32,96,0.06110944048233443,2.0166115359170362
5096,1428,14,17,51,0.05738994627932294,1.0330190330278128
5097,12161,48,34,102,0.06646239985379257,2.32618399488274
5098,12981,44,45,135,0.06357373200033022,2.92439167201519
5099,12805,44,55,165,0.0552803093762902,3.0956973250722513
