seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,2233,19,17,51,0.10911399645071167,1.96405193611281
5001,3328,19,24,72,0.09506516615860164,2.376629153965041
5002,46,1,3,9,0.10934352800541092,0.43737411202164367
5003,40407,83,74,222,0.10763885070880254,8.07291380316019
5004,32957,71,70,210,0.11020647098464419,7.824659439909738
5005,41,0,3,9,0.10653524399094749,0.42614097596378997
5006,13514,49,35,105,0.10755647333604025,3.872033040097449
5007,6071,30,33,99,0.10427426373901065,3.545324967126362
5008,4060,20,27,81,0.12386754339760435,3.468291215132922
5009,219,5,6,18,0.08204543242962765,0.5743180270073935
5010,76,2,5,15,0.09851234966966634,0.591074098017998
5011,5516,21,37,111,0.12215849446549423,4.642022789688781
5012,32,0,3,9,0.11697375774383545,0.4678950309753418
5013,1915,15,21,63,0.09238923872313039,2.0325632519088686
5014,290,6,6,18,0.08790635999425181,0.6153445199597627
5015,273,6,7,21,0.10969635088258656,0.8775708070606925
5016,29638,50,96,288,0.10772975337074724,10.449786076962482
5017,14799,41,51,153,0.09877238325022447,5.136163929011673
5018,222,5,5,15,0.09885735500332278,0.5931441300199367
5019,13927,39,56,168,0.10052045475560845,5.729665921069682
5020,55,1,4,12,0.11991055218968541,0.599552760948427
5021,4352,20,28,84,0.1131071168287047,3.2801063880324364
5022,43,0,4,12,0.10783949538599699,0.539197476929985
5023,2422,17,22,66,0.11431956943124533,2.6293500969186425
5024,1341,15,12,36,0.1320501669139888,1.7166521698818542
5025,51,1,4,12,0.10039223100757226,0.5019611550378613
5026,83,2,4,12,0.06709620739566162,0.3354810369783081
5027,5364,31,25,75,0.10476014242382146,2.723763703019358
5028,7967,38,30,90,0.109410363844701,3.391721279185731
5029,905,12,10,30,0.08284396817907691,0.911283649969846
5030,57,1,4,12,0.08381190638756379,0.419059531937819
5031,55,1,4,12,0.10999519900651648,0.5499759950325824
5032,84431,86,233,699,0.10309564325243084,24.124380521068815
5033,12947,33,56,168,0.11833321043951928,6.744992995052598
5034,5675,29,31,93,0.0978446843673737,3.1310298997559585
5035,1535,16,15,45,0.12074887274866342,1.9319819639786147
5036,8484,28,48,144,0.09699252699810669,4.752633822907228
5037,25,0,2,6,0.1519499373389408,0.4558498120168224
5038,3219,24,18,54,0.11280697696584914,2.1433325623511337
5039,664,6,7,21,0.1003175181322149,0.8025401450577192
5040,40672,85,83,249,0.10674588595395021,8.966654420131817
5041,3029,20,22,66,0.09170302586964048,2.109169595001731
5042,40,1,3,9,0.11065480901743285,0.4426192360697314
5043,300,6,8,24,0.08749724877998233,0.6999779902398586
5044,533,8,10,30,0.1192445367183113,1.3116899039014243
5045,18408,38,82,246,0.09890674655494022,8.209259964060038
5046,12733,36,52,156,0.10077880064183671,5.341276434017345
5047,9811,43,31,93,0.09632197478276794,3.082303193048574
5048,5213,22,33,99,0.09606897884719622,3.2663452808046713
5049,7373,37,28,84,0.11061186355073005,3.2077440429711714
5050,288,6,6,18,0.10042657770515818,0.7029860439361073
5051,8173,27,44,132,0.11078588501938308,4.985364825872239
5052,219,5,5,15,0.10566305250783141,0.6339783150469884
5053,2979,23,20,60,0.10517179180169478,2.1034358360338956
5054,4792,29,25,75,0.10393577146281202,2.7023300580331124
5055,170,4,6,18,0.08861138971821804,0.6202797280275263
5056,298,6,7,21,0.13172774849226698,1.0538219879381359
5057,135,3,6,18,0.15013913914195395,1.0509739739936776
5058,9679,30,54,162,0.11621071929323741,6.3915895611280575
5059,36,0,3,9,0.06086791401321534,0.24347165605286136
5060,5248,31,24,72,0.09040517424233258,2.2601293560583144
5061,5208,31,22,66,0.09127206438848667,2.0992574809351936
5062,2265,20,16,48,0.1172587520627798,1.9933987850672565
5063,2724,16,22,66,0.09453923547508843,2.174402415927034
5064,7708,33,26,78,0.11558430481279545,3.120776229945477
5065,1329,15,12,36,0.09008133399765939,1.171057341969572
5066,32,0,3,9,0.15839172652340494,0.6335669060936198
5067,2325,20,16,48,0.10576438429244958,1.797994532971643
5068,1881,18,15,45,0.12928852868935792,2.0686164590297267
5069,36,0,3,9,0.12133011073456146,0.48532044293824583
5070,12175,48,35,105,0.09830199616650741,3.5388718619942665
5071,26,0,2,6,0.0970692890114151,0.2912078670342453
5072,287,6,6,18,0.09039163113837796,0.6327414179686457
5073,4834,25,33,99,0.1086295915336129,3.6934061121428385
5074,653,10,10,30,0.1379015109004368,1.516916619904805
5075,541,9,8,24,0.09888357911646987,0.8899522120482288
5076,4886,30,22,66,0.12217267903590413,2.809971617825795
5077,7732,38,29,87,0.08896325633977539,2.668897690193262
5078,78,2,4,12,0.08987344201887026,0.4493672100943513
5079,909,12,12,36,0.09784675923695502,1.2720078700804152
5080,81,2,4,12,0.07023472861619666,0.3511736430809833
5081,4611,29,22,66,0.09176725540158298,2.1106468742364086
5082,34,0,3,9,0.11328097875230014,0.4531239150092006
5083,456,8,8,24,0.07958546165739083,0.7162691549165174
5084,24076,52,75,225,0.10643147501794278,8.088792101363651
5085,4055,27,22,66,0.08549918404668974,1.9664812330738641
5086,3239,24,20,60,0.09600782194285698,2.0161642607999966
5087,2174,19,16,48,0.0955484393018517,1.6243234681314789
5088,10996,35,54,162,0.10937491747317836,6.01562046102481
5089,12888,35,53,159,0.1154910356272012,6.236515923868865
5090,1794,11,22,66,0.10168952195469858,2.338859004958067
5091,31,0,3,9,0.11162663000868633,0.44650652003474534
5092,80,2,4,12,0.09158097258768975,0.4579048629384488
5093,5648,23,40,120,0.0933005405652405,3.82532216317486
5094,5680,24,31,93,0.0902000956612028,2.8864030611584894
5095,1886,18,15,45,0.10830908819116303,1.7329454110586084
5096,32932,56,111,333,0.1027752267343333,11.51082539424533
5097,353,7,7,21,0.10611113487539114,0.8488890790031292
5098,1521,16,14,42,0.1146686208542503,1.605360691959504
5099,8731,34,39,117,0.10582107769878349,4.232843107951339
