episode,score,steps,epsilon,loss,avg_q
1,80,13,1.0000,0.0000,0.0540
2,47,12,0.9999,0.0000,0.0603
3,67,14,0.9999,6.1500,0.0621
4,89,14,0.9998,6.0813,0.2110
5,60,12,0.9998,6.6554,0.8892
6,73,12,0.9997,4.7974,3.4352
7,36,9,0.9997,3.4571,4.9672
8,54,10,0.9996,4.1735,6.6048
9,128,17,0.9996,3.5074,5.7687
10,36,9,0.9995,3.8060,7.3163
11,34,9,0.9995,4.5802,8.2248
12,132,16,0.9994,3.7169,6.6219
13,56,13,0.9994,3.3344,7.2220
14,51,10,0.9993,3.4540,6.1276
15,42,10,0.9993,3.2549,6.6968
16,32,9,0.9992,3.8590,5.7607
17,36,10,0.9992,3.6793,5.8494
18,37,12,0.9991,3.0959,6.2858
19,66,13,0.9991,2.9974,5.4492
20,185,18,0.9990,3.1450,6.1655
21,54,12,0.9990,3.9336,5.9387
22,42,10,0.9990,2.5814,5.8630
23,45,11,0.9989,2.7781,5.6093
24,55,11,0.9989,3.0538,6.9778
25,39,10,0.9988,3.5020,6.2093
26,58,12,0.9988,3.0655,5.8865
27,99,15,0.9987,2.5809,5.1908
28,54,11,0.9987,3.1699,5.1539
29,29,7,0.9986,2.4249,5.8498
30,37,10,0.9986,2.9894,5.5394
31,63,14,0.9985,3.7481,5.4492
32,41,11,0.9985,3.5062,5.8213
33,39,11,0.9984,2.0179,5.9736
34,121,18,0.9984,3.0089,6.7274
35,38,11,0.9983,2.9616,5.4844
36,55,10,0.9983,3.3926,6.8116
37,66,10,0.9982,2.8213,6.0318
38,64,16,0.9982,3.9430,4.9391
39,218,18,0.9981,2.9300,5.1706
40,84,16,0.9981,2.5033,4.8406
41,28,7,0.9981,2.2898,5.6053
42,53,11,0.9980,2.6725,5.5306
43,55,10,0.9980,3.0736,5.5119
44,358,31,0.9979,4.9877,7.4594
45,76,13,0.9979,5.1692,11.8414
46,58,12,0.9978,4.0780,11.0477
47,125,17,0.9978,3.6303,10.3147
48,38,11,0.9977,5.1661,10.2858
49,66,11,0.9977,5.1713,11.5674
50,30,7,0.9976,4.7887,10.7078
51,38,9,0.9976,3.7643,12.3851
52,40,9,0.9975,4.1163,11.5329
53,37,9,0.9975,3.2675,11.6482
54,37,12,0.9974,3.3507,10.9843
55,56,10,0.9974,3.5467,11.9296
56,75,13,0.9973,5.0767,11.2795
57,79,12,0.9973,4.0810,10.8466
58,46,9,0.9972,4.2443,11.8008
59,34,10,0.9972,4.7878,11.0224
60,37,11,0.9971,4.4671,10.9761
61,30,7,0.9971,2.7731,11.5198
62,36,9,0.9971,4.5876,11.0316
63,43,11,0.9970,3.1022,11.7496
64,62,14,0.9970,3.5703,10.9786
65,54,12,0.9969,4.3315,10.0765
66,26,6,0.9969,3.5810,10.8734
67,40,10,0.9968,3.8278,11.1974
68,38,10,0.9968,4.1500,10.8301
69,42,11,0.9967,3.7845,11.0959
70,106,16,0.9967,3.7866,12.0439
71,101,16,0.9966,3.6871,9.8912
72,137,18,0.9966,3.4315,11.4450
73,130,21,0.9965,3.1730,10.2888
74,127,20,0.9965,2.9210,11.5817
75,29,7,0.9964,2.9551,11.8045
