episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,15,4,0.9994,0.00004999,0.0000,0.0000,6.2197,0.0000,0.0000
2,38,11,0.9988,0.00004997,0.0000,0.0000,4.3367,0.0000,0.0000
3,36,12,0.9982,0.00004996,0.0000,0.0000,2.9716,0.0000,0.0000
4,32,9,0.9976,0.00004994,0.0000,4.6284,5.7787,0.0000,0.9125
5,32,7,0.9970,0.00004993,0.0000,3.8320,9.0214,0.0000,0.9375
6,34,9,0.9964,0.00004991,0.0000,4.3263,4.2720,0.0000,0.9167
7,80,13,0.9958,0.00004990,0.0000,3.1010,9.0189,0.0000,0.9615
8,20,5,0.9952,0.00004988,0.0000,3.2606,5.9692,0.0000,0.9437
9,35,9,0.9946,0.00004987,0.0000,2.7750,8.4069,0.0000,0.9410
10,43,11,0.9940,0.00004985,0.0000,2.9422,12.2129,0.0000,0.9489
11,75,14,0.9934,0.00004983,0.0000,2.4189,13.2702,0.0000,0.9598
12,37,11,0.9928,0.00004982,0.0000,3.0694,8.4349,0.0000,0.9176
13,70,11,0.9922,0.00004981,0.0000,3.4992,15.9756,0.0000,0.9261
14,61,12,0.9916,0.00004979,0.0000,3.4587,11.9968,0.0000,0.9323
15,31,10,0.9910,0.00004978,0.0000,3.1137,7.3553,0.0000,0.9344
16,40,11,0.9904,0.00004976,0.0000,2.6320,7.8947,0.0000,0.9460
17,74,13,0.9898,0.00004975,0.0000,2.7267,10.6489,0.0000,0.9327
18,35,10,0.9892,0.00004973,0.0000,1.9258,7.6588,0.0000,0.9594
19,75,13,0.9886,0.00004972,0.0000,3.2007,10.7892,0.0000,0.9399
20,41,6,0.9880,0.00004970,0.0000,3.7247,14.3626,0.0000,0.9219
21,83,14,0.9874,0.00004969,0.0000,2.8502,12.2170,0.0000,0.9397
22,33,8,0.9868,0.00004967,0.0000,3.1895,8.4681,0.0000,0.9375
23,41,10,0.9862,0.00004966,0.0000,3.4064,11.4471,0.0000,0.9406
24,40,10,0.9856,0.00004964,0.0000,2.9012,9.4258,0.0000,0.9594
25,52,10,0.9850,0.00004963,0.0000,3.8771,9.2808,0.0000,0.9250
26,32,8,0.9844,0.00004961,0.0000,2.6879,8.5099,0.0000,0.9531
27,36,8,0.9838,0.00004960,0.0000,3.8624,11.4446,0.0000,0.9336
28,95,17,0.9832,0.00004958,0.0000,4.2350,12.6649,0.0000,0.9228
29,38,10,0.9826,0.00004957,0.0000,3.3558,7.8668,0.0000,0.9250
30,116,13,0.9820,0.00004955,0.0000,2.7485,15.4587,0.0000,0.9351
31,291,25,0.9814,0.00004953,0.0000,3.5944,23.4650,0.0000,0.9363
32,50,9,0.9808,0.00004952,0.0000,3.9796,16.6685,0.0000,0.9236
33,39,10,0.9802,0.00004951,0.0000,5.6399,11.5405,0.0000,0.9125
34,41,11,0.9796,0.00004949,0.0000,2.6548,11.7157,0.0000,0.9574
35,59,14,0.9790,0.00004948,0.0000,4.2468,12.7034,0.0000,0.9286
36,35,8,0.9784,0.00004946,0.0000,3.8931,11.1109,0.0000,0.9141
37,51,11,0.9778,0.00004945,0.0000,3.4014,8.8250,0.0000,0.9574
38,41,11,0.9772,0.00004943,0.0000,3.5120,10.5700,0.0000,0.9375
39,36,8,0.9766,0.00004942,0.0000,4.6009,9.0320,0.0000,0.9219
