episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,48,11,1.0000,0.00005000,0.0000,4.1837,4.3736,0.0000,0.9792
2,83,14,0.9994,0.00004999,0.0000,5.0462,12.5103,0.0000,0.9635
3,52,23,0.9988,0.00004997,0.0000,3.9157,6.7636,0.0000,0.9625
4,83,17,0.9982,0.00004996,0.0000,3.4986,12.8904,0.0000,0.9430
5,39,38,0.9976,0.00004994,0.0000,4.1493,16.2698,0.0000,0.9486
6,110,16,0.9970,0.00004993,0.0000,3.6406,16.1428,0.0000,0.9531
7,25,17,0.9964,0.00004991,0.0000,3.3769,10.6908,0.0000,0.9540
8,56,11,0.9958,0.00004990,0.0000,4.0667,13.9879,0.0000,0.9403
9,100,48,0.9952,0.00004988,0.0000,3.8702,10.2263,0.0000,0.9414
10,94,16,0.9946,0.00004987,0.0000,3.1876,12.0657,0.0000,0.9609
11,37,21,0.9940,0.00004985,0.0000,3.3235,8.9118,0.0000,0.9583
12,75,43,0.9934,0.00004983,0.0000,3.7228,10.0917,0.0000,0.9469
13,40,20,0.9928,0.00004982,0.0000,3.5286,8.9971,0.0000,0.9422
14,33,8,0.9922,0.00004981,0.0000,3.2540,8.7524,0.0000,0.9297
15,41,11,0.9916,0.00004979,0.0000,3.9359,9.9570,0.0000,0.9261
16,48,45,0.9916,0.00004979,0.0000,3.2893,12.0442,0.0000,0.9472
17,32,17,0.9904,0.00004976,0.0000,3.4329,9.6570,0.0000,0.9430
18,37,10,0.9898,0.00004975,0.0000,3.5626,8.0685,0.0000,0.9344
19,26,15,0.9892,0.00004973,0.0000,3.3344,8.3941,0.0000,0.9417
20,74,17,0.9886,0.00004972,0.0000,3.3410,13.8203,0.0000,0.9504
21,83,26,0.9880,0.00004970,0.0000,3.8998,13.8949,0.0000,0.9279
22,37,11,0.9874,0.00004969,0.0000,4.1113,8.4480,0.0000,0.9233
23,32,8,0.9868,0.00004967,0.0000,4.1002,8.8682,0.0000,0.9336
24,137,18,0.9862,0.00004966,0.0000,3.2399,14.0367,0.0000,0.9549
25,63,14,0.9856,0.00004964,0.0000,3.1909,12.8622,0.0000,0.9531
26,31,8,0.9850,0.00004963,0.0000,3.7339,9.4125,0.0000,0.9180
27,60,23,0.9844,0.00004961,0.0000,4.8231,13.0834,0.0000,0.9253
28,63,32,0.9838,0.00004960,0.0000,3.5897,17.2218,0.0000,0.9482
29,28,25,0.9832,0.00004958,0.0000,4.2280,13.9808,0.0000,0.9513
30,34,21,0.9826,0.00004957,0.0000,3.9725,13.1831,0.0000,0.9375
31,71,57,0.9820,0.00004955,0.0000,4.6772,22.2799,0.0000,0.9359
32,34,18,0.9814,0.00004953,0.0000,3.9651,12.0065,0.0000,0.9444
33,40,54,0.9808,0.00004952,0.0000,4.0045,13.7313,0.0000,0.9387
34,43,21,0.9802,0.00004951,0.0000,4.1551,12.5021,0.0000,0.9345
35,88,16,0.9796,0.00004949,0.0000,4.1862,13.0282,0.0000,0.9297
36,36,26,0.9790,0.00004948,0.0000,4.5065,16.2206,0.0000,0.9243
37,27,17,0.9784,0.00004946,0.0000,3.5700,14.7784,0.0000,0.9577
38,62,67,0.9778,0.00004945,0.0000,3.9665,14.6801,0.0000,0.9403
39,41,10,0.9772,0.00004943,0.0000,3.6748,15.0002,0.0000,0.9437
40,52,10,0.9766,0.00004942,0.0000,2.9262,14.3006,0.0000,0.9469
41,39,17,0.9760,0.00004940,0.0000,2.8412,14.8474,0.0000,0.9577
42,109,19,0.9754,0.00004939,0.0000,3.4987,16.6774,0.0000,0.9359
43,44,21,0.9748,0.00004937,0.0000,3.3240,13.0880,0.0000,0.9405
44,127,20,0.9742,0.00004936,0.0000,4.6913,21.0436,0.0000,0.9219
45,39,25,0.9736,0.00004934,0.0000,3.3060,13.6383,0.0000,0.9487
46,43,11,0.9730,0.00004932,0.0000,4.3307,14.7678,0.0000,0.9489
47,41,23,0.9724,0.00004931,0.0000,4.0778,15.9011,0.0000,0.9321
48,58,12,0.9718,0.00004930,0.0000,5.0344,22.8062,0.0000,0.9271
49,33,20,0.9712,0.00004928,0.0000,3.5831,22.0917,0.0000,0.9344
50,54,20,0.9706,0.00004927,0.0000,4.2817,15.9968,0.0000,0.9297
51,89,14,0.9700,0.00004925,0.0000,3.6918,21.0470,0.0000,0.9375
52,39,19,0.9694,0.00004924,0.0000,3.3220,17.6680,0.0000,0.9309
53,39,48,0.9688,0.00004922,0.0000,4.4048,16.5730,0.0000,0.9284
54,43,12,0.9682,0.00004921,0.0000,4.8645,16.4309,0.0000,0.9271
55,38,10,0.9676,0.00004919,0.0000,6.4121,16.1406,0.0000,0.9062
56,43,11,0.9670,0.00004918,0.0000,3.7345,18.7920,0.0000,0.9489
57,52,11,0.9664,0.00004916,0.0000,4.8513,19.1845,0.0000,0.9148
58,40,20,0.9658,0.00004915,0.0000,3.6129,18.6781,0.0000,0.9391
59,73,14,0.9652,0.00004913,0.0000,4.2155,19.1840,0.0000,0.9487
60,70,29,0.9652,0.00004913,0.0000,4.2082,19.4982,0.0000,0.9321
61,51,11,0.9640,0.00004910,0.0000,3.3245,16.7043,0.0000,0.9375
