episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,31,8,1.0000,0.00005000,0.0000,0.0000,3.8555,0.0000,0.0000
2,34,9,0.9999,0.00005000,0.0000,0.0000,3.7576,0.0000,0.0000
3,41,11,0.9998,0.00005000,0.0000,0.0000,3.7080,0.0000,0.0000
4,49,11,0.9998,0.00005000,0.0000,6.8945,4.4359,0.0000,0.9180
5,41,11,0.9998,0.00005000,0.0000,6.6521,4.6166,0.0000,0.9091
6,39,11,0.9998,0.00005000,0.0000,5.3413,6.2533,0.0000,0.9205
7,95,14,0.9995,0.00004999,0.0000,4.9563,8.4743,0.0000,0.9085
8,61,14,0.9995,0.00004999,0.0000,3.7645,5.9851,0.0000,0.9040
9,35,18,0.9993,0.00004998,0.0000,3.5932,9.3451,0.0000,0.9028
10,35,19,0.9992,0.00004998,0.0000,2.8372,6.2006,0.0000,0.9145
11,31,8,0.9992,0.00004998,0.0000,2.3761,9.4660,0.0000,0.9297
12,40,12,0.9990,0.00004998,0.0000,2.0954,6.9094,0.0000,0.9245
13,62,21,0.9989,0.00004997,0.0000,2.4220,7.6644,0.0000,0.9033
14,56,11,0.9988,0.00004997,0.0000,2.3768,8.7705,0.0000,0.9119
15,67,15,0.9987,0.00004997,0.0000,2.4263,10.1810,0.0000,0.8958
16,33,8,0.9987,0.00004997,0.0000,1.6646,11.5724,0.0000,0.9297
17,33,8,0.9986,0.00004996,0.0000,1.9929,8.2332,0.0000,0.9258
18,72,28,0.9985,0.00004996,0.0000,2.1558,11.8607,0.0000,0.9074
19,172,17,0.9985,0.00004996,0.0000,2.1848,19.1804,0.0000,0.8989
20,43,11,0.9983,0.00004996,0.0000,2.0082,11.4714,0.0000,0.9006
21,78,34,0.9982,0.00004996,0.0000,1.9363,12.4821,0.0000,0.9072
22,40,36,0.9981,0.00004995,0.0000,1.6085,8.7027,0.0000,0.9210
23,35,8,0.9981,0.00004995,0.0000,1.4627,9.7087,0.0000,0.9141
24,37,11,0.9979,0.00004995,0.0000,1.4566,8.4703,0.0000,0.9176
25,52,18,0.9978,0.00004995,0.0000,1.5625,31.4985,0.0000,0.9062
26,36,8,0.9978,0.00004995,0.0000,1.9324,12.3629,0.0000,0.8945
27,53,11,0.9978,0.00004995,0.0000,1.2360,8.8845,0.0000,0.9233
28,61,14,0.9976,0.00004994,0.0000,1.8776,8.1317,0.0000,0.8929
29,36,33,0.9975,0.00004994,0.0000,1.5578,11.6266,0.0000,0.8996
30,76,21,0.9974,0.00004993,0.0000,1.2309,12.5963,0.0000,0.9167
31,41,43,0.9974,0.00004993,0.0000,1.4115,7.6247,0.0000,0.8997
32,56,10,0.9972,0.00004993,0.0000,1.2245,10.5699,0.0000,0.9094
33,30,8,0.9971,0.00004993,0.0000,1.5207,7.7462,0.0000,0.8789
34,49,11,0.9971,0.00004993,0.0000,1.1616,9.3282,0.0000,0.8949
35,63,12,0.9969,0.00004992,0.0000,1.5041,11.4548,0.0000,0.9167
36,71,17,0.9969,0.00004992,0.0000,1.4984,12.1195,0.0000,0.8934
37,42,11,0.9968,0.00004992,0.0000,1.4136,9.5777,0.0000,0.9034
38,60,27,0.9967,0.00004992,0.0000,1.3177,12.5353,0.0000,0.9051
39,123,46,0.9966,0.00004991,0.0000,1.2953,12.7528,0.0000,0.8974
40,36,15,0.9966,0.00004991,0.0000,0.9801,11.0858,0.0000,0.9292
41,54,32,0.9964,0.00004991,0.0000,0.9788,12.5213,0.0000,0.9238
42,41,52,0.9964,0.00004991,0.0000,1.0527,9.4435,0.0000,0.8996
43,60,68,0.9962,0.00004991,0.0000,0.8628,11.9360,0.0000,0.9200
44,86,14,0.9961,0.00004990,0.0000,0.8438,15.3602,0.0000,0.9152
45,117,34,0.9960,0.00004990,0.0000,0.7550,14.5304,0.0000,0.9403
46,84,14,0.9960,0.00004990,0.0000,0.9498,14.0476,0.0000,0.8973
47,52,35,0.9959,0.00004990,0.0000,0.7922,13.3791,0.0000,0.9277
48,34,8,0.9958,0.00004989,0.0000,1.0391,14.3022,0.0000,0.9062
49,41,11,0.9958,0.00004989,0.0000,0.7465,12.7365,0.0000,0.9233
50,53,34,0.9956,0.00004989,0.0000,0.7629,11.8866,0.0000,0.9274
51,63,38,0.9955,0.00004989,0.0000,0.7702,12.9490,0.0000,0.9276
52,164,23,0.9954,0.00004989,0.0000,0.7747,18.9533,0.0000,0.9307
53,130,18,0.9954,0.00004989,0.0000,0.7912,18.8849,0.0000,0.9253
54,60,11,0.9952,0.00004988,0.0000,0.9008,20.0116,0.0000,0.9403
55,44,11,0.9952,0.00004988,0.0000,0.8579,17.4149,0.0000,0.9119
56,38,11,0.9950,0.00004988,0.0000,0.7795,16.0675,0.0000,0.9318
57,125,16,0.9950,0.00004988,0.0000,0.8270,22.1085,0.0000,0.9160
58,37,27,0.9949,0.00004987,0.0000,0.8772,16.9065,0.0000,0.9155
59,42,23,0.9948,0.00004987,0.0000,0.7287,17.0268,0.0000,0.9334
60,37,46,0.9947,0.00004987,0.0000,0.7480,14.9910,0.0000,0.9253
61,34,8,0.9946,0.00004987,0.0000,0.6442,17.8980,0.0000,0.9297
62,41,82,0.9946,0.00004987,0.0000,0.6943,15.7359,0.0000,0.9242
63,54,11,0.9944,0.00004986,0.0000,0.6007,19.4500,0.0000,0.9290
64,58,13,0.9943,0.00004986,0.0000,0.5466,20.9796,0.0000,0.9447
65,27,8,0.9943,0.00004986,0.0000,0.6920,16.7463,0.0000,0.9297
66,30,35,0.9941,0.00004985,0.0000,0.6568,15.7704,0.0000,0.9214
67,75,21,0.9941,0.00004985,0.0000,0.4890,17.9786,0.0000,0.9509
68,56,11,0.9940,0.00004985,0.0000,0.7305,19.7945,0.0000,0.9261
69,176,15,0.9939,0.00004985,0.0000,0.4952,29.7574,0.0000,0.9396
70,86,15,0.9939,0.00004985,0.0000,0.4301,18.9925,0.0000,0.9396
71,55,20,0.9937,0.00004984,0.0000,0.6650,20.9089,0.0000,0.9203
72,55,10,0.9936,0.00004984,0.0000,0.6621,21.8499,0.0000,0.9125
73,41,11,0.9935,0.00004984,0.0000,0.5750,17.6686,0.0000,0.9347
74,566,51,0.9934,0.00004984,0.0000,0.6746,27.6131,0.0000,0.9105
75,93,39,0.9933,0.00004983,0.0000,0.6779,20.5198,0.0000,0.9231
76,59,93,0.9932,0.00004983,0.0000,0.7352,14.5805,0.0000,0.9247
77,77,58,0.9932,0.00004983,0.0000,0.6872,18.0422,0.0000,0.9181
78,37,11,0.9931,0.00004983,0.0000,0.6583,17.7713,0.0000,0.9119
79,32,8,0.9930,0.00004982,0.0000,0.6087,18.4932,0.0000,0.9102
80,59,26,0.9929,0.00004982,0.0000,0.6426,18.0580,0.0000,0.9183
81,60,24,0.9929,0.00004982,0.0000,0.3974,21.0299,0.0000,0.9401
82,38,57,0.9927,0.00004982,0.0000,0.5812,17.0741,0.0000,0.9232
83,57,11,0.9926,0.00004982,0.0000,0.6277,25.7152,0.0000,0.9006
84,148,46,0.9925,0.00004981,0.0000,0.3788,20.4700,0.0000,0.9450
85,47,13,0.9924,0.00004981,0.0000,0.5411,21.2611,0.0000,0.9279
86,50,21,0.9924,0.00004981,0.0000,0.4621,21.3841,0.0000,0.9345
87,36,19,0.9923,0.00004981,0.0000,0.5000,20.2554,0.0000,0.9359
88,50,30,0.9922,0.00004980,0.0000,0.5256,22.0619,0.0000,0.9281
89,62,13,0.9922,0.00004980,0.0000,0.4616,21.6375,0.0000,0.9207
90,102,24,0.9920,0.00004980,0.0000,0.5967,23.1796,0.0000,0.9193
91,59,11,0.9920,0.00004980,0.0000,0.5094,26.1869,0.0000,0.9119
92,49,17,0.9918,0.00004980,0.0000,0.4169,23.6403,0.0000,0.9338
93,39,11,0.9918,0.00004980,0.0000,0.5639,21.7709,0.0000,0.9091
94,40,21,0.9916,0.00004979,0.0000,0.5014,22.2177,0.0000,0.9196
95,40,21,0.9915,0.00004979,0.0000,0.3411,21.1098,0.0000,0.9420
96,37,10,0.9915,0.00004979,0.0000,0.4202,25.0052,0.0000,0.9219
97,37,9,0.9914,0.00004978,0.0000,0.5103,23.0806,0.0000,0.9340
98,84,18,0.9914,0.00004978,0.0000,0.5706,25.8813,0.0000,0.9306
99,84,14,0.9914,0.00004978,0.0000,0.3982,25.6078,0.0000,0.9129
100,175,48,0.9911,0.00004978,0.0000,0.4061,27.5369,0.0000,0.9258
