episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,1822,75,0.1000,0.00005000,0.0000,0.1321,2942.4583,0.0000,1.0000
205002,2219,63,0.1000,0.00005000,0.0000,0.0155,3078.8491,0.0000,1.0000
205003,1633,45,0.1000,0.00005000,0.0000,0.0150,3065.2205,0.0000,0.9910
205004,2611,84,0.1000,0.00005000,0.0000,0.0192,3096.9124,0.0000,0.9851
205005,11098,214,0.1000,0.00005000,0.0000,0.0295,3135.2025,0.0000,0.9873
205006,1784,48,0.1000,0.00005000,0.0000,0.0280,3033.6343,0.0000,0.9863
205007,5140,99,0.1000,0.00005000,0.0000,0.0362,3120.3234,0.0000,0.9883
205008,1487,45,0.1000,0.00005000,0.0000,0.0376,3165.3545,0.0000,0.9896
205009,8928,123,0.1000,0.00005000,0.0000,0.0678,3184.9104,0.0000,0.9873
205010,1834,69,0.1000,0.00005000,0.0000,0.0915,3185.2628,0.0000,0.9832
205011,5401,102,0.1000,0.00005000,0.0000,0.0780,3109.2992,0.0000,0.9825
205012,1208,54,0.1000,0.00005000,0.0000,0.0674,3129.9412,0.0000,0.9890
205013,285,21,0.1000,0.00005000,0.0000,0.0381,3116.2742,0.0000,0.9866
205014,638,33,0.1000,0.00005000,0.0000,0.0681,3106.7121,0.0000,0.9905
205015,120,15,0.1000,0.00005000,0.0000,0.0738,3135.0730,0.0000,0.9938
205016,6744,138,0.1000,0.00005000,0.0000,0.0616,3208.3578,0.0000,0.9844
205017,629,33,0.1000,0.00005000,0.0000,0.0945,3088.0842,0.0000,0.9877
205018,2718,60,0.1000,0.00005000,0.0000,0.0614,3132.3576,0.0000,0.9854
205019,2142,66,0.1000,0.00005000,0.0000,0.0635,3081.4989,0.0000,0.9896
205020,374,24,0.1000,0.00005000,0.0000,0.0817,3045.0930,0.0000,0.9805
205021,3715,123,0.1000,0.00005000,0.0000,0.0722,3103.7156,0.0000,0.9825
205022,11362,138,0.1000,0.00005000,0.0000,0.0677,3201.4463,0.0000,0.9832
205023,1293,42,0.1000,0.00005000,0.0000,0.0656,3130.6476,0.0000,0.9851
205024,8708,93,0.1000,0.00005000,0.0000,0.0590,3236.0438,0.0000,0.9856
205025,4747,76,0.1000,0.00005000,0.0000,0.0810,3245.8865,0.0000,0.9864
205026,7801,87,0.1000,0.00005000,0.0000,0.0905,3294.3675,0.0000,0.9878
205027,1572,66,0.1000,0.00005000,0.0000,0.0678,3134.3009,0.0000,0.9858
205028,70,11,0.1000,0.00005000,0.0000,0.1134,2939.5088,0.0000,0.9830
205029,112,12,0.1000,0.00005000,0.0000,0.1049,3005.5340,0.0000,0.9792
205030,799,39,0.1000,0.00005000,0.0000,0.0916,3143.0023,0.0000,0.9888
205031,2497,57,0.1000,0.00005000,0.0000,0.1126,3129.6408,0.0000,0.9863
205032,2100,66,0.1000,0.00005000,0.0000,0.0922,3159.6059,0.0000,0.9891
205033,2290,69,0.1000,0.00005000,0.0000,0.0782,3129.0709,0.0000,0.9841
205034,1336,48,0.1000,0.00005000,0.0000,0.0559,3089.0834,0.0000,0.9850
205035,186,18,0.1000,0.00005000,0.0000,0.0701,3011.1451,0.0000,0.9809
205036,5784,117,0.1000,0.00005000,0.0000,0.0967,3145.5191,0.0000,0.9864
205037,2421,60,0.1000,0.00005000,0.0000,0.0921,3100.6230,0.0000,0.9828
205038,1532,39,0.1000,0.00005000,0.0000,0.0988,3104.3048,0.0000,0.9848
205039,1217,54,0.1000,0.00005000,0.0000,0.0889,3137.7384,0.0000,0.9878
205040,736,30,0.1000,0.00005000,0.0000,0.0815,3179.3880,0.0000,0.9844
205041,3242,105,0.1000,0.00005000,0.0000,0.0962,3081.9952,0.0000,0.9827
205042,1321,45,0.1000,0.00005000,0.0000,0.0867,3184.2778,0.0000,0.9750
205043,468,24,0.1000,0.00005000,0.0000,0.0754,3036.8615,0.0000,0.9818
205044,6081,159,0.1000,0.00005000,0.0000,0.0673,3129.6362,0.0000,0.9845
205045,2035,57,0.1000,0.00005000,0.0000,0.0794,3133.9928,0.0000,0.9808
205046,50,10,0.1000,0.00005000,0.0000,0.0611,3013.9696,0.0000,0.9656
205047,1579,45,0.1000,0.00005000,0.0000,0.0774,3125.1913,0.0000,0.9785
205048,70,10,0.1000,0.00005000,0.0000,0.0719,3002.4550,0.0000,0.9750
205049,11908,246,0.1000,0.00005000,0.0000,0.0774,3192.6085,0.0000,0.9860
205050,2399,73,0.1000,0.00005000,0.0000,0.0767,3098.7133,0.0000,0.9837
205051,1091,39,0.1000,0.00005000,0.0000,0.0947,3074.2269,0.0000,0.9824
205052,543,24,0.1000,0.00005000,0.0000,0.0792,3119.3805,0.0000,0.9831
205053,12630,123,0.1000,0.00005000,0.0000,0.0994,3294.3320,0.0000,0.9837
205054,679,42,0.1000,0.00005000,0.0000,0.0970,3083.6979,0.0000,0.9851
205055,552,27,0.1000,0.00005000,0.0000,0.0942,3118.2744,0.0000,0.9896
205056,12472,138,0.1000,0.00005000,0.0000,0.0937,3348.2623,0.0000,0.9853
205057,285,20,0.1000,0.00005000,0.0000,0.0959,3026.2658,0.0000,0.9891
205058,363,20,0.1000,0.00005000,0.0000,0.0737,3061.8826,0.0000,0.9875
205059,1766,50,0.1000,0.00005000,0.0000,0.1258,3290.3661,0.0000,0.9800
205060,1781,63,0.1000,0.00005000,0.0000,0.1302,3145.6309,0.0000,0.9821
205061,388,24,0.1000,0.00005000,0.0000,0.1187,3069.3710,0.0000,0.9818
205062,94,13,0.1000,0.00005000,0.0000,0.1573,2972.6954,0.0000,0.9784
205063,1517,39,0.1000,0.00005000,0.0000,0.1124,3271.7706,0.0000,0.9808
205064,6638,120,0.1000,0.00005000,0.0000,0.1327,3200.0169,0.0000,0.9823
205065,1081,42,0.1000,0.00005000,0.0000,0.0952,3157.9881,0.0000,0.9851
205066,6263,97,0.1000,0.00005000,0.0000,0.0728,3225.8998,0.0000,0.9829
205067,80,12,0.1000,0.00005000,0.0000,0.0635,2996.8939,0.0000,0.9844
205068,76,12,0.1000,0.00005000,0.0000,0.0957,2991.2111,0.0000,0.9818
