episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,798,36,0.1000,0.00005000,0.0000,0.6835,2922.1605,0.0000,0.9688
205002,289,18,0.1000,0.00005000,0.0000,0.1853,2800.4676,0.0000,0.9774
205003,6194,143,0.1000,0.00005000,0.0000,0.1320,2908.0410,0.0000,0.9862
205004,2648,59,0.1000,0.00005000,0.0000,0.4236,2928.6260,0.0000,0.9831
205005,1940,62,0.1000,0.00005000,0.0000,0.5085,2910.4201,0.0000,0.9753
205006,200,21,0.1000,0.00005000,0.0000,0.4716,2851.2018,0.0000,0.9792
205007,548,24,0.1000,0.00005000,0.0000,0.4248,2886.2325,0.0000,0.9753
205008,3949,105,0.1000,0.00005000,0.0000,0.3574,2885.2917,0.0000,0.9807
205009,6206,112,0.1000,0.00005000,0.0000,0.4354,2938.5128,0.0000,0.9791
205010,7457,153,0.1000,0.00005000,0.0000,0.2870,2895.4442,0.0000,0.9824
205011,449,24,0.1000,0.00005000,0.0000,0.5184,2894.2482,0.0000,0.9714
205012,224,18,0.1000,0.00005000,0.0000,0.1942,2802.7970,0.0000,0.9722
205013,8506,111,0.1000,0.00005000,0.0000,0.3072,2930.8564,0.0000,0.9766
205014,8154,147,0.1000,0.00005000,0.0000,0.2970,2908.4755,0.0000,0.9777
205015,5476,129,0.1000,0.00005000,0.0000,0.2886,2895.5641,0.0000,0.9818
205016,1478,33,0.1000,0.00005000,0.0000,0.3951,2908.9860,0.0000,0.9773
205017,521,36,0.1000,0.00005000,0.0000,0.3141,2773.2527,0.0000,0.9783
205018,2192,54,0.1000,0.00005000,0.0000,0.2636,2903.0994,0.0000,0.9740
205019,956,39,0.1000,0.00005000,0.0000,0.2460,2852.1986,0.0000,0.9832
205020,11260,198,0.1000,0.00005000,0.0000,0.2004,2968.2936,0.0000,0.9806
205021,3898,75,0.1000,0.00005000,0.0000,0.2044,2904.6408,0.0000,0.9746
205022,1703,45,0.1000,0.00005000,0.0000,0.2364,2986.6402,0.0000,0.9812
205023,19209,270,0.1000,0.00005000,0.0000,0.2402,3029.7307,0.0000,0.9803
205024,1649,50,0.1000,0.00005000,0.0000,0.1935,2932.2347,0.0000,0.9794
205025,126,14,0.1000,0.00005000,0.0000,0.2114,2830.4302,0.0000,0.9844
205026,1068,36,0.1000,0.00005000,0.0000,0.2364,2892.1194,0.0000,0.9783
205027,643,27,0.1000,0.00005000,0.0000,0.2405,2883.3509,0.0000,0.9815
205028,303,21,0.1000,0.00005000,0.0000,0.2061,2843.3082,0.0000,0.9881
205029,2170,58,0.1000,0.00005000,0.0000,0.2117,2912.8985,0.0000,0.9849
205030,23600,309,0.1000,0.00005000,0.0000,0.2195,3011.4386,0.0000,0.9820
