episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,670,30,0.1000,0.00000500,0.0000,0.0000,2911.8145,0.0000,0.0000
205002,5665,147,0.1000,0.00000500,0.0000,13.0389,2958.9707,0.0000,1.0000
205003,1268,39,0.1000,0.00000500,0.0000,14.6035,2943.9600,0.0000,1.0000
205004,7390,114,0.1000,0.00000500,0.0000,13.7415,2995.9572,0.0000,0.9912
205005,335,27,0.1000,0.00000500,0.0000,13.3273,2889.2913,0.0000,0.9907
205006,69,9,0.1000,0.00000500,0.0000,13.1437,2864.8574,0.0000,0.9826
205007,415,27,0.1000,0.00000500,0.0000,13.2231,2907.5362,0.0000,0.9873
205008,3471,123,0.1000,0.00000500,0.0000,13.4113,2954.4279,0.0000,0.9886
205009,772,42,0.1000,0.00000500,0.0000,13.5934,2917.6977,0.0000,0.9874
205010,782,30,0.1000,0.00000500,0.0000,12.9328,2935.3494,0.0000,0.9865
205011,1662,63,0.1000,0.00000500,0.0000,12.8780,2950.4036,0.0000,0.9886
205012,423,30,0.1000,0.00000500,0.0000,13.4009,2903.7858,0.0000,0.9854
205013,1078,39,0.1000,0.00000500,0.0000,13.8561,2939.2350,0.0000,0.9872
205014,280,18,0.1000,0.00000500,0.0000,12.0299,2911.6135,0.0000,0.9913
205015,1517,51,0.1000,0.00000500,0.0000,12.5241,2961.5637,0.0000,0.9822
205016,1224,39,0.1000,0.00000500,0.0000,15.5496,2942.8369,0.0000,0.9880
205017,85,12,0.1000,0.00000500,0.0000,13.9402,2842.9979,0.0000,0.9714
205018,209,21,0.1000,0.00000500,0.0000,13.9758,2873.2397,0.0000,0.9821
205019,6186,90,0.1000,0.00000500,0.0000,14.1640,3001.3392,0.0000,0.9851
205020,11306,198,0.1000,0.00000500,0.0000,14.4043,2985.8678,0.0000,0.9830
205021,9828,129,0.1000,0.00000500,0.0000,15.2043,3008.0422,0.0000,0.9806
205022,901,30,0.1000,0.00000500,0.0000,14.2365,2925.0371,0.0000,0.9906
205023,28,6,0.1000,0.00000500,0.0000,16.0100,2812.4656,0.0000,0.9844
205024,5190,92,0.1000,0.00000500,0.0000,15.5744,2984.7638,0.0000,0.9803
205025,12449,149,0.1000,0.00000500,0.0000,17.7950,3009.2507,0.0000,0.9818
205026,3814,75,0.1000,0.00000500,0.0000,17.6630,2968.6815,0.0000,0.9767
205027,207,20,0.1000,0.00000500,0.0000,14.9364,2875.1548,0.0000,0.9766
