episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,63,15,1.0000,0.00005000,0.0000,0.0000,0.0000,0.0000,0.0000
2,132,17,1.0000,0.00005000,0.0000,0.1463,0.0000,0.0000,0.9375
3,29,8,1.0000,0.00005000,0.0000,0.1042,0.0000,0.0000,0.9492
4,53,10,1.0000,0.00005000,0.0000,0.1201,0.0000,0.0000,0.9469
5,42,10,1.0000,0.00005000,0.0000,0.1096,0.0000,0.0000,0.9375
6,92,16,0.9999,0.00005000,0.0000,0.0957,0.0000,0.0000,0.9512
7,90,16,0.9999,0.00005000,0.0000,0.0664,0.0000,0.0000,0.9668
8,37,9,0.9999,0.00005000,0.0000,0.0779,0.0000,0.0000,0.9688
9,32,8,0.9999,0.00005000,0.0000,0.0867,0.0000,0.0000,0.9531
10,55,11,0.9999,0.00005000,0.0000,0.0858,0.0000,0.0000,0.9403
11,221,21,0.9999,0.00005000,0.0000,0.0838,0.0000,0.0000,0.9449
12,56,10,0.9999,0.00005000,0.0000,0.0820,0.0000,0.0000,0.9563
13,76,18,0.9999,0.00005000,0.0000,0.0733,0.0000,0.0000,0.9514
14,35,9,0.9999,0.00005000,0.0000,0.0941,0.0000,0.0000,0.9618
15,59,13,0.9999,0.00005000,0.0000,0.0849,0.0000,0.0000,0.9399
16,52,10,0.9999,0.00005000,0.0000,0.0983,0.0000,0.0000,0.9469
17,43,12,0.9999,0.00005000,0.0000,0.1075,0.0000,0.0000,0.9323
18,32,8,0.9998,0.00005000,0.0000,0.0962,0.0000,0.0000,0.9492
19,33,9,0.9998,0.00005000,0.0000,0.0816,0.0000,0.0000,0.9479
20,72,14,0.9998,0.00005000,0.0000,0.0690,0.0000,0.0000,0.9397
21,40,10,0.9998,0.00005000,0.0000,0.0836,0.0000,0.0000,0.9625
22,33,10,0.9998,0.00005000,0.0000,0.0443,0.0000,0.0000,0.9563
23,39,10,0.9998,0.00004999,0.0000,0.0861,0.0000,0.0000,0.9469
24,59,12,0.9998,0.00004999,0.0000,0.1109,0.0000,0.0000,0.9089
25,38,11,0.9998,0.00004999,0.0000,0.0526,0.0000,0.0000,0.9375
26,39,11,0.9998,0.00004999,0.0000,0.0854,0.0000,0.0000,0.9347
27,40,11,0.9998,0.00004999,0.0000,0.0871,0.0000,0.0000,0.9261
28,39,9,0.9998,0.00004999,0.0000,0.0783,0.0000,0.0000,0.9271
29,31,8,0.9997,0.00004999,0.0000,0.0567,0.0000,0.0000,0.9219
30,38,9,0.9997,0.00004999,0.0000,0.0556,0.0000,0.0000,0.9583
31,64,14,0.9997,0.00004999,0.0000,0.0737,0.0000,0.0000,0.9353
32,46,9,0.9997,0.00004999,0.0000,0.0743,0.0000,0.0000,0.9375
33,58,11,0.9997,0.00004999,0.0000,0.0801,0.0000,0.0000,0.9460
34,66,10,0.9997,0.00004999,0.0000,0.1055,0.0000,0.0000,0.9219
35,40,10,0.9997,0.00004999,0.0000,0.0709,0.0000,0.0000,0.9375
36,32,8,0.9997,0.00004999,0.0000,0.0926,0.0000,0.0000,0.9219
37,26,8,0.9997,0.00004999,0.0000,0.0789,0.0000,0.0000,0.9570
38,61,14,0.9997,0.00004999,0.0000,0.0785,0.0000,0.0000,0.9308
39,39,9,0.9997,0.00004999,0.0000,0.1356,0.0000,0.0000,0.8785
40,36,9,0.9996,0.00004999,0.0000,0.0721,0.0000,0.0000,0.9479
41,34,8,0.9996,0.00004999,0.0000,0.0954,0.0000,0.0000,0.9414
42,37,10,0.9996,0.00004999,0.0000,0.0647,0.0000,0.0000,0.9406
43,56,13,0.9996,0.00004999,0.0000,0.0745,0.0000,0.0000,0.9183
44,34,9,0.9996,0.00004999,0.0000,0.0831,0.0000,0.0000,0.9306
