episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,116,12,0.1000,0.00000500,0.0000,0.0000,2880.4355,0.0000,0.0000
205002,12321,130,0.1000,0.00000500,0.0000,15.1110,3032.0411,0.0000,1.0000
205003,7160,111,0.1000,0.00000500,0.0000,11.6380,2945.2274,0.0000,0.9938
205004,407,30,0.1000,0.00000500,0.0000,19.9239,2853.5343,0.0000,0.9896
205005,334,21,0.1000,0.00000500,0.0000,25.2059,2855.0319,0.0000,0.9881
205006,10605,222,0.1000,0.00000500,0.0000,29.6510,2927.6358,0.0000,0.9800
205007,6315,141,0.1000,0.00000500,0.0000,20.4765,2928.0276,0.0000,0.9852
205008,29885,423,0.1000,0.00000500,0.0000,16.2260,2935.2760,0.0000,0.9836
205009,1043,30,0.1000,0.00000500,0.0000,14.9704,2871.4890,0.0000,0.9854
205010,870,39,0.1000,0.00000500,0.0000,13.8441,2858.2593,0.0000,0.9896
205011,8386,123,0.1000,0.00000500,0.0000,13.0463,2909.2635,0.0000,0.9898
205012,3532,63,0.1000,0.00000500,0.0000,10.5795,2894.9929,0.0000,0.9911
205013,1130,50,0.1000,0.00000500,0.0000,14.6913,2858.3947,0.0000,0.9869
205014,4609,81,0.1000,0.00000500,0.0000,14.2536,2896.1182,0.0000,0.9842
205015,5863,120,0.1000,0.00000500,0.0000,13.7616,2893.0974,0.0000,0.9859
205016,463,24,0.1000,0.00000500,0.0000,13.0873,2833.1007,0.0000,0.9870
205017,1216,51,0.1000,0.00000500,0.0000,16.1278,2834.9361,0.0000,0.9835
205018,284,18,0.1000,0.00000500,0.0000,19.1211,2814.5181,0.0000,0.9948
205019,3480,99,0.1000,0.00000500,0.0000,12.5096,2850.8559,0.0000,0.9858
205020,1463,45,0.1000,0.00000500,0.0000,15.9818,2844.6123,0.0000,0.9875
205021,1451,54,0.1000,0.00000500,0.0000,10.3279,2835.0274,0.0000,0.9867
205022,3731,108,0.1000,0.00000500,0.0000,10.4230,2846.8035,0.0000,0.9881
205023,455,22,0.1000,0.00000500,0.0000,25.0706,2837.7952,0.0000,0.9801
205024,1163,57,0.1000,0.00000500,0.0000,15.8057,2836.0243,0.0000,0.9918
205025,2089,60,0.1000,0.00000500,0.0000,10.0274,2819.5790,0.0000,0.9859
205026,7390,132,0.1000,0.00000500,0.0000,14.2422,2849.8096,0.0000,0.9858
205027,231,24,0.1000,0.00000500,0.0000,8.0891,2785.2323,0.0000,0.9922
205028,2517,54,0.1000,0.00000500,0.0000,14.8892,2837.8781,0.0000,0.9867
205029,7963,165,0.1000,0.00000500,0.0000,14.6235,2844.0745,0.0000,0.9847
205030,295,19,0.1000,0.00000500,0.0000,8.1584,2793.7777,0.0000,0.9901
205031,1249,60,0.1000,0.00000500,0.0000,11.8423,2808.0679,0.0000,0.9854
205032,146,12,0.1000,0.00000500,0.0000,8.8133,2776.2963,0.0000,0.9922
205033,1196,36,0.1000,0.00000500,0.0000,8.5033,2785.1635,0.0000,0.9870
205034,8713,198,0.1000,0.00000500,0.0000,10.1601,2816.8939,0.0000,0.9864
205035,1560,69,0.1000,0.00000500,0.0000,15.6285,2791.8218,0.0000,0.9796
205036,1207,54,0.1000,0.00000500,0.0000,11.1774,2789.5148,0.0000,0.9809
205037,54,9,0.1000,0.00000500,0.0000,17.9314,2757.9131,0.0000,0.9826
205038,1477,63,0.1000,0.00000500,0.0000,9.0893,2796.8985,0.0000,0.9881
205039,906,30,0.1000,0.00000500,0.0000,13.9403,2803.1695,0.0000,0.9885
205040,12143,165,0.1000,0.00000500,0.0000,9.0479,2811.6239,0.0000,0.9869
205041,524,39,0.1000,0.00000500,0.0000,9.5934,2749.9968,0.0000,0.9904
205042,215,21,0.1000,0.00000500,0.0000,7.5926,2742.1445,0.0000,0.9866
205043,2291,51,0.1000,0.00000500,0.0000,7.5731,2797.2838,0.0000,0.9926
205044,903,36,0.1000,0.00000500,0.0000,7.6246,2763.4502,0.0000,0.9835
205045,783,30,0.1000,0.00000500,0.0000,19.0998,2770.8468,0.0000,0.9844
205046,2727,54,0.1000,0.00000500,0.0000,9.3343,2795.8315,0.0000,0.9803
205047,617,28,0.1000,0.00000500,0.0000,17.1188,2778.7037,0.0000,0.9833
205048,35,9,0.1000,0.00000500,0.0000,7.5345,2749.6636,0.0000,0.9861
205049,2131,48,0.1000,0.00000500,0.0000,7.4475,2800.2410,0.0000,0.9876
205050,8537,132,0.1000,0.00000500,0.0000,12.3106,2816.2452,0.0000,0.9808
205051,1849,63,0.1000,0.00000500,0.0000,8.9055,2737.3582,0.0000,0.9856
205052,1389,45,0.1000,0.00000500,0.0000,12.7246,2758.4908,0.0000,0.9840
205053,4091,84,0.1000,0.00000500,0.0000,8.2186,2775.2446,0.0000,0.9874
205054,306,26,0.1000,0.00000500,0.0000,10.8427,2740.4816,0.0000,0.9856
205055,841,45,0.1000,0.00000500,0.0000,9.1046,2740.9881,0.0000,0.9840
205056,5917,102,0.1000,0.00000500,0.0000,10.9167,2789.5648,0.0000,0.9850
205057,166,15,0.1000,0.00000500,0.0000,17.0295,2705.6179,0.0000,0.9875
205058,4045,123,0.1000,0.00000500,0.0000,11.8777,2733.9017,0.0000,0.9876
205059,2147,63,0.1000,0.00000500,0.0000,10.0020,2729.7703,0.0000,0.9846
205060,2236,57,0.1000,0.00000500,0.0000,9.8317,2732.0312,0.0000,0.9825
205061,2162,72,0.1000,0.00000500,0.0000,8.4878,2723.5668,0.0000,0.9878
205062,10046,108,0.1000,0.00000500,0.0000,10.4732,2811.9555,0.0000,0.9850
205063,9811,135,0.1000,0.00000500,0.0000,9.5707,2778.6523,0.0000,0.9854
205064,2516,51,0.1000,0.00000500,0.0000,8.5203,2729.0325,0.0000,0.9841
205065,8365,123,0.1000,0.00000500,0.0000,9.7210,2747.3946,0.0000,0.9840
205066,3435,71,0.1000,0.00000500,0.0000,8.9793,2734.1350,0.0000,0.9850
205067,4584,102,0.1000,0.00000500,0.0000,9.4316,2720.6832,0.0000,0.9856
205068,1654,65,0.1000,0.00000500,0.0000,9.4298,2702.1697,0.0000,0.9846
205069,6752,93,0.1000,0.00000500,0.0000,9.9349,2760.7712,0.0000,0.9856
205070,1358,42,0.1000,0.00000500,0.0000,10.8230,2682.9547,0.0000,0.9881
205071,593,33,0.1000,0.00000500,0.0000,11.8980,2669.0217,0.0000,0.9820
205072,5895,81,0.1000,0.00000500,0.0000,14.0792,2732.7423,0.0000,0.9857
205073,5314,116,0.1000,0.00000500,0.0000,8.8740,2693.2093,0.0000,0.9873
205074,4740,123,0.1000,0.00000500,0.0000,11.9851,2693.5105,0.0000,0.9845
205075,2543,54,0.1000,0.00000500,0.0000,11.9910,2706.7340,0.0000,0.9861
205076,780,30,0.1000,0.00000500,0.0000,12.9568,2655.7123,0.0000,0.9844
205077,1678,51,0.1000,0.00000500,0.0000,8.4011,2657.0563,0.0000,0.9890
205078,6131,135,0.1000,0.00000500,0.0000,12.1600,2673.3307,0.0000,0.9812
205079,373,21,0.1000,0.00000500,0.0000,10.0811,2649.8174,0.0000,0.9836
205080,3538,96,0.1000,0.00000500,0.0000,10.0592,2666.4380,0.0000,0.9837
205081,574,29,0.1000,0.00000500,0.0000,12.3994,2635.6547,0.0000,0.9784
205082,4215,81,0.1000,0.00000500,0.0000,8.7569,2690.5019,0.0000,0.9842
205083,904,30,0.1000,0.00000500,0.0000,17.6140,2639.7070,0.0000,0.9875
205084,59,12,0.1000,0.00000500,0.0000,11.0209,2611.8820,0.0000,0.9844
205085,1201,36,0.1000,0.00000500,0.0000,13.7681,2651.6002,0.0000,0.9818
205086,2858,72,0.1000,0.00000500,0.0000,14.3806,2644.5045,0.0000,0.9861
205087,342,27,0.1000,0.00000500,0.0000,10.0813,2613.3246,0.0000,0.9826
205088,130,16,0.1000,0.00000500,0.0000,17.1883,2608.2472,0.0000,0.9727
205089,3042,77,0.1000,0.00000500,0.0000,9.6517,2648.6224,0.0000,0.9874
205090,1953,48,0.1000,0.00000500,0.0000,8.4693,2645.4640,0.0000,0.9915
205091,6621,117,0.1000,0.00000500,0.0000,10.7332,2671.2679,0.0000,0.9837
205092,1647,46,0.1000,0.00000500,0.0000,10.0421,2642.7619,0.0000,0.9905
205093,3977,86,0.1000,0.00000500,0.0000,15.4385,2656.9666,0.0000,0.9786
205094,104,15,0.1000,0.00000500,0.0000,6.5253,2582.2453,0.0000,0.9875
205095,3204,78,0.1000,0.00000500,0.0000,7.2812,2625.0440,0.0000,0.9880
