episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,5892,72,0.1000,0.00000500,0.0000,14.7596,3010.5040,0.0000,0.9764
205002,2861,54,0.1000,0.00000500,0.0000,11.0699,2931.7028,0.0000,0.9878
205003,12996,117,0.1000,0.00000500,0.0000,11.2204,2990.8609,0.0000,0.9882
205004,735,34,0.1000,0.00000500,0.0000,11.7321,2865.5395,0.0000,0.9936
205005,4299,83,0.1000,0.00000500,0.0000,22.7009,2929.8137,0.0000,0.9876
205006,3958,84,0.1000,0.00000500,0.0000,26.6605,2914.5477,0.0000,0.9851
205007,5238,96,0.1000,0.00000500,0.0000,23.9954,2933.7824,0.0000,0.9896
205008,1120,51,0.1000,0.00000500,0.0000,19.0111,2869.4167,0.0000,0.9884
205009,369,24,0.1000,0.00000500,0.0000,21.1617,2847.6000,0.0000,0.9909
205010,903,29,0.1000,0.00000500,0.0000,18.5146,2879.9883,0.0000,0.9892
205011,2992,81,0.1000,0.00000500,0.0000,22.8976,2894.8989,0.0000,0.9873
205012,12684,111,0.1000,0.00000500,0.0000,17.3965,2972.6095,0.0000,0.9896
205013,908,36,0.1000,0.00000500,0.0000,29.1440,2878.3587,0.0000,0.9844
205014,62260,234,0.1000,0.00000500,0.0000,18.8920,3126.6334,0.0000,0.9868
205015,6096,87,0.1000,0.00000500,0.0000,12.6702,2912.9608,0.0000,0.9910
205016,3594,89,0.1000,0.00000500,0.0000,16.7091,2871.2187,0.0000,0.9856
205017,3588,84,0.1000,0.00000500,0.0000,12.7047,2873.5097,0.0000,0.9900
205018,11800,207,0.1000,0.00000500,0.0000,20.8889,2895.8538,0.0000,0.9852
205019,30,6,0.1000,0.00000500,0.0000,8.4158,2747.3343,0.0000,0.9948
205020,7207,96,0.1000,0.00000500,0.0000,13.8627,2891.1233,0.0000,0.9896
205021,7614,105,0.1000,0.00000500,0.0000,12.4933,2892.4457,0.0000,0.9908
205022,520,30,0.1000,0.00000500,0.0000,17.5001,2810.5348,0.0000,0.9875
205023,4292,81,0.1000,0.00000500,0.0000,16.7667,2863.2794,0.0000,0.9865
205024,6233,126,0.1000,0.00000500,0.0000,15.3245,2867.5568,0.0000,0.9846
205025,1520,40,0.1000,0.00000500,0.0000,21.8644,2849.1557,0.0000,0.9883
205026,8538,120,0.1000,0.00000500,0.0000,15.6854,2858.1172,0.0000,0.9914
205027,811,42,0.1000,0.00000500,0.0000,16.8505,2798.1885,0.0000,0.9836
205028,1192,36,0.1000,0.00000500,0.0000,8.7422,2806.0938,0.0000,0.9905
205029,817,36,0.1000,0.00000500,0.0000,18.6403,2803.0917,0.0000,0.9809
205030,1726,45,0.1000,0.00000500,0.0000,14.4081,2827.4989,0.0000,0.9882
205031,2296,74,0.1000,0.00000500,0.0000,13.0582,2811.6813,0.0000,0.9856
205032,929,33,0.1000,0.00000500,0.0000,13.2839,2813.2330,0.0000,0.9858
205033,164,18,0.1000,0.00000500,0.0000,22.9041,2766.7581,0.0000,0.9809
205034,1883,45,0.1000,0.00000500,0.0000,16.1584,2845.8364,0.0000,0.9889
205035,834,39,0.1000,0.00000500,0.0000,10.4154,2813.5569,0.0000,0.9848
205036,895,42,0.1000,0.00000500,0.0000,17.1776,2794.6774,0.0000,0.9866
205037,1569,66,0.1000,0.00000500,0.0000,18.6963,2778.3846,0.0000,0.9820
205038,46,9,0.1000,0.00000500,0.0000,18.2141,2728.7443,0.0000,0.9861
205039,1874,41,0.1000,0.00000500,0.0000,24.6921,2815.2265,0.0000,0.9825
205040,638,24,0.1000,0.00000500,0.0000,18.7532,2773.2628,0.0000,0.9753
205041,1882,69,0.1000,0.00000500,0.0000,13.2936,2791.8551,0.0000,0.9864
205042,4297,108,0.1000,0.00000500,0.0000,24.3520,2809.8418,0.0000,0.9826
205043,1190,39,0.1000,0.00000500,0.0000,10.3679,2796.0766,0.0000,0.9880
205044,2147,57,0.1000,0.00000500,0.0000,22.1140,2804.3855,0.0000,0.9830
205045,39,9,0.1000,0.00000500,0.0000,17.8072,2753.7809,0.0000,0.9861
205046,1713,54,0.1000,0.00000500,0.0000,19.2996,2789.9697,0.0000,0.9873
205047,10042,105,0.1000,0.00000500,0.0000,20.3498,2843.3079,0.0000,0.9824
205048,2157,60,0.1000,0.00000500,0.0000,13.6101,2771.3578,0.0000,0.9828
205049,9592,168,0.1000,0.00000500,0.0000,17.0834,2803.4842,0.0000,0.9857
205050,1444,60,0.1000,0.00000500,0.0000,13.6296,2755.6464,0.0000,0.9859
205051,1975,62,0.1000,0.00000500,0.0000,14.4690,2768.2131,0.0000,0.9869
205052,45,12,0.1000,0.00000500,0.0000,14.3419,2714.4890,0.0000,0.9870
205053,38,9,0.1000,0.00000500,0.0000,27.4094,2725.7157,0.0000,0.9757
