episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
1,37,8,1.0000,0.00005000,0.0000,1.1841,9.6480,0.0000,0.9598
2,34,8,1.0000,0.00005000,0.0000,1.1443,10.7058,0.0000,0.9821
3,32,8,1.0000,0.00005000,0.0000,1.3793,10.1769,0.0000,0.9732
4,28,8,1.0000,0.00005000,0.0000,0.9299,9.4768,0.0000,0.9821
5,43,9,0.9928,0.00004982,0.0000,1.2068,9.9448,0.0000,0.9492
6,41,10,0.9910,0.00004978,0.0000,1.5224,8.2002,0.0000,0.9549
7,79,10,0.9910,0.00004978,0.0000,1.4158,17.6343,0.0000,0.9757
8,43,11,0.9874,0.00004969,0.0000,1.2657,9.5846,0.0000,0.9531
9,38,11,0.9874,0.00004969,0.0000,1.4238,10.0941,0.0000,0.9531
10,37,11,0.9874,0.00004969,0.0000,1.5984,8.0304,0.0000,0.9656
11,45,11,0.9874,0.00004969,0.0000,1.6819,10.8719,0.0000,0.9656
12,58,11,0.9874,0.00004969,0.0000,1.3413,11.9708,0.0000,0.9594
13,53,11,0.9874,0.00004969,0.0000,1.9104,14.1948,0.0000,0.9531
14,47,11,0.9874,0.00004969,0.0000,1.4257,11.2641,0.0000,0.9531
15,40,11,0.9874,0.00004969,0.0000,1.7808,7.6033,0.0000,0.9469
16,42,11,0.9874,0.00004969,0.0000,1.1824,10.3012,0.0000,0.9656
17,45,12,0.9712,0.00004928,0.0000,2.0781,9.1427,0.0000,0.9460
18,60,12,0.9712,0.00004928,0.0000,1.7127,16.4798,0.0000,0.9517
19,163,14,0.9676,0.00004919,0.0000,1.9817,17.3987,0.0000,0.9471
20,60,14,0.9676,0.00004919,0.0000,2.3344,8.2298,0.0000,0.9255
21,119,17,0.9640,0.00004910,0.0000,1.9499,13.0881,0.0000,0.9614
22,38,8,0.9622,0.00004906,0.0000,2.8951,12.6219,0.0000,0.9180
23,31,8,0.9604,0.00004901,0.0000,3.4337,10.0760,0.0000,0.9414
24,42,21,0.9586,0.00004897,0.0000,2.1486,8.6209,0.0000,0.9422
25,46,13,0.9568,0.00004892,0.0000,2.8484,11.4129,0.0000,0.9351
26,42,23,0.9550,0.00004888,0.0000,2.1887,10.9724,0.0000,0.9503
27,85,16,0.9532,0.00004883,0.0000,3.1389,12.4007,0.0000,0.9336
28,64,17,0.9514,0.00004879,0.0000,3.4274,11.8280,0.0000,0.9338
29,59,11,0.9514,0.00004879,0.0000,1.4534,15.5331,0.0000,0.9659
30,30,17,0.9478,0.00004870,0.0000,3.1934,10.3627,0.0000,0.9154
31,85,13,0.9478,0.00004870,0.0000,3.0842,15.2135,0.0000,0.9327
32,42,28,0.9442,0.00004860,0.0000,3.1325,11.6405,0.0000,0.9190
33,31,29,0.9424,0.00004856,0.0000,2.7199,12.0331,0.0000,0.9375
34,112,31,0.9406,0.00004852,0.0000,2.5062,12.3707,0.0000,0.9427
35,107,21,0.9388,0.00004847,0.0000,3.2106,12.2887,0.0000,0.9167
36,40,20,0.9388,0.00004847,0.0000,2.7125,11.2108,0.0000,0.9422
