episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,13846,141,0.1000,0.00000500,0.0000,9.6098,3036.8522,0.0000,0.9949
205002,2822,72,0.1000,0.00000500,0.0000,11.8783,2959.9919,0.0000,0.9909
205003,827,42,0.1000,0.00000500,0.0000,12.9018,2930.0939,0.0000,0.9985
205004,798,39,0.1000,0.00000500,0.0000,13.4778,2912.2810,0.0000,0.9960
205005,1191,48,0.1000,0.00000500,0.0000,12.3284,2947.5209,0.0000,0.9961
205006,1164,51,0.1000,0.00000500,0.0000,13.7109,2933.4093,0.0000,0.9988
205007,6003,141,0.1000,0.00000500,0.0000,13.2588,2971.6660,0.0000,0.9940
205008,1758,51,0.1000,0.00000500,0.0000,14.9206,2961.4812,0.0000,0.9902
205009,216,18,0.1000,0.00000500,0.0000,13.7773,2921.6460,0.0000,0.9931
205010,5915,73,0.1000,0.00000500,0.0000,14.4042,3022.9962,0.0000,0.9880
205011,4142,65,0.1000,0.00000500,0.0000,22.2116,2974.0901,0.0000,0.9856
205012,15385,249,0.1000,0.00000500,0.0000,22.3837,2997.2917,0.0000,0.9852
205013,921,33,0.1000,0.00000500,0.0000,24.0224,2924.1788,0.0000,0.9858
205014,66,9,0.1000,0.00000500,0.0000,13.8196,2847.4010,0.0000,0.9896
205015,1491,47,0.1000,0.00000500,0.0000,22.4977,2937.3101,0.0000,0.9874
205016,2497,60,0.1000,0.00000500,0.0000,32.3981,2959.6474,0.0000,0.9781
205017,1761,72,0.1000,0.00000500,0.0000,21.4439,2955.9589,0.0000,0.9839
205018,1341,36,0.1000,0.00000500,0.0000,23.0676,2936.0741,0.0000,0.9800
205019,36,9,0.1000,0.00000500,0.0000,34.9798,2784.2889,0.0000,0.9861
205020,217,15,0.1000,0.00000500,0.0000,15.3215,2892.8825,0.0000,0.9812
205021,71,9,0.1000,0.00000500,0.0000,25.0783,2871.8861,0.0000,0.9861
205022,66,9,0.1000,0.00000500,0.0000,16.0206,2853.9576,0.0000,0.9931
205023,87,13,0.1000,0.00000500,0.0000,22.6808,2844.9433,0.0000,0.9856
205024,14145,266,0.1000,0.00000500,0.0000,20.8980,2982.8023,0.0000,0.9813
205025,463,24,0.1000,0.00000500,0.0000,26.4885,2900.3745,0.0000,0.9727
