episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,823,42,0.1000,0.00000500,0.0000,14.0366,2928.5648,0.0000,1.0000
205002,2966,87,0.1000,0.00000500,0.0000,13.9743,2963.3981,0.0000,0.9943
205003,9422,207,0.1000,0.00000500,0.0000,13.7679,2970.4267,0.0000,0.9828
205004,238,18,0.1000,0.00000500,0.0000,15.9917,2892.7546,0.0000,0.9618
205005,242,21,0.1000,0.00000500,0.0000,16.5047,2899.1108,0.0000,0.9821
205006,1700,57,0.1000,0.00000500,0.0000,13.9097,2948.8265,0.0000,0.9786
205007,3388,84,0.1000,0.00000500,0.0000,14.9653,2963.9524,0.0000,0.9728
205008,105,17,0.1000,0.00000500,0.0000,14.4564,2858.5353,0.0000,0.9835
205009,3425,87,0.1000,0.00000500,0.0000,17.7436,2962.9067,0.0000,0.9763
205010,112,15,0.1000,0.00000500,0.0000,15.5361,2868.2393,0.0000,0.9792
205011,305,25,0.1000,0.00000500,0.0000,15.1145,2905.7168,0.0000,0.9800
205012,1686,36,0.1000,0.00000500,0.0000,20.8401,2969.5204,0.0000,0.9783
205013,1148,42,0.1000,0.00000500,0.0000,15.7439,2933.8403,0.0000,0.9844
205014,1402,47,0.1000,0.00000500,0.0000,17.5569,2946.3183,0.0000,0.9814
205015,494,27,0.1000,0.00000500,0.0000,16.7350,2919.3335,0.0000,0.9769
205016,2175,54,0.1000,0.00000500,0.0000,19.4501,2963.0751,0.0000,0.9844
205017,350,27,0.1000,0.00000500,0.0000,16.7201,2919.7450,0.0000,0.9769
205018,546,33,0.1000,0.00000500,0.0000,20.7839,2913.0857,0.0000,0.9848
205019,295,21,0.1000,0.00000500,0.0000,22.5123,2894.9426,0.0000,0.9821
205020,1769,57,0.1000,0.00000500,0.0000,20.8412,2950.5055,0.0000,0.9819
