episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205021,982,40,0.1000,0.00000500,0.0000,16.5492,2951.0996,0.0000,0.9812
205022,1180,51,0.1000,0.00000500,0.0000,22.3538,2934.1993,0.0000,0.9749
205023,2546,57,0.1000,0.00000500,0.0000,18.1383,2962.7369,0.0000,0.9808
205024,6085,132,0.1000,0.00000500,0.0000,19.5955,2977.2874,0.0000,0.9799
205025,5561,126,0.1000,0.00000500,0.0000,21.5029,2947.5930,0.0000,0.9807
205026,979,45,0.1000,0.00000500,0.0000,14.2732,2958.4300,0.0000,0.9771
205027,5585,72,0.1000,0.00000500,0.0000,20.0562,3005.1467,0.0000,0.9800
205028,1447,47,0.1000,0.00000500,0.0000,16.6532,2940.8167,0.0000,0.9867
205029,4002,69,0.1000,0.00000500,0.0000,16.5734,2978.2085,0.0000,0.9832
205030,9134,102,0.1000,0.00000500,0.0000,19.0530,3021.0607,0.0000,0.9804
205031,158,15,0.1000,0.00000500,0.0000,14.0518,2891.9248,0.0000,0.9812
205032,6348,144,0.1000,0.00000500,0.0000,19.1900,2966.7637,0.0000,0.9724
205033,6100,102,0.1000,0.00000500,0.0000,26.8003,2983.6724,0.0000,0.9758
205034,87,15,0.1000,0.00000500,0.0000,19.7676,2835.3389,0.0000,0.9688
205035,686,32,0.1000,0.00000500,0.0000,22.6692,2910.7634,0.0000,0.9766
205036,5660,81,0.1000,0.00000500,0.0000,20.6567,2999.4828,0.0000,0.9780
205037,6025,102,0.1000,0.00000500,0.0000,17.6067,2982.7509,0.0000,0.9838
205038,655,42,0.1000,0.00000500,0.0000,16.2956,2916.1568,0.0000,0.9754
205039,4929,63,0.1000,0.00000500,0.0000,17.7478,3003.1135,0.0000,0.9767
205040,642,33,0.1000,0.00000500,0.0000,14.5617,2907.0904,0.0000,0.9820
