episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
200001,103,18,0.1000,0.00000610,0.0000,0.0000,2833.7369,0.0000,0.0000
200002,8782,147,0.1000,0.00000610,0.0000,17.9332,2947.1820,0.0000,0.9834
200003,3537,66,0.1000,0.00000610,0.0000,19.8626,2920.5995,0.0000,0.9858
200004,1557,55,0.1000,0.00000610,0.0000,19.9518,2907.9863,0.0000,0.9864
200005,2812,80,0.1000,0.00000610,0.0000,25.6747,2908.0421,0.0000,0.9793
200006,1433,42,0.1000,0.00000610,0.0000,34.0431,2911.1149,0.0000,0.9762
200007,9924,183,0.1000,0.00000610,0.0000,27.7043,2961.1553,0.0000,0.9819
200008,416,18,0.1000,0.00000610,0.0000,38.6816,2855.6756,0.0000,0.9792
200009,1953,54,0.1000,0.00000610,0.0000,27.4094,2914.1713,0.0000,0.9769
200010,50,11,0.1000,0.00000610,0.0000,26.5538,2760.0269,0.0000,0.9744
200011,452,21,0.1000,0.00000610,0.0000,20.2215,2883.4503,0.0000,0.9881
200012,1235,45,0.1000,0.00000609,0.0000,33.2405,2923.2308,0.0000,0.9826
200013,4732,87,0.1000,0.00000609,0.0000,28.9713,2930.0352,0.0000,0.9802
200014,702,35,0.1000,0.00000609,0.0000,27.9034,2880.1996,0.0000,0.9795
200015,1361,39,0.1000,0.00000609,0.0000,27.7689,2910.7458,0.0000,0.9824
200016,3467,93,0.1000,0.00000609,0.0000,34.7567,2933.7711,0.0000,0.9788
200017,1042,33,0.1000,0.00000609,0.0000,27.8322,2914.5041,0.0000,0.9811
200018,1211,39,0.1000,0.00000609,0.0000,30.4451,2906.0780,0.0000,0.9776
200019,5761,102,0.1000,0.00000609,0.0000,20.6405,2930.9739,0.0000,0.9822
200020,7608,170,0.1000,0.00000609,0.0000,22.9842,2958.0674,0.0000,0.9840
200021,2985,54,0.1000,0.00000609,0.0000,27.0671,2966.3026,0.0000,0.9867
200022,6542,102,0.1000,0.00000609,0.0000,25.1235,2973.6362,0.0000,0.9859
200023,50,9,0.1000,0.00000609,0.0000,27.4712,2754.0723,0.0000,0.9792
200024,7913,99,0.1000,0.00000609,0.0000,26.0715,2968.3426,0.0000,0.9820
200025,417,27,0.1000,0.00000609,0.0000,26.4543,2908.3751,0.0000,0.9850
200026,70,11,0.1000,0.00000609,0.0000,17.2951,2767.9922,0.0000,0.9773
200027,5132,78,0.1000,0.00000609,0.0000,27.3813,2965.0764,0.0000,0.9856
200028,1479,45,0.1000,0.00000609,0.0000,19.2842,2909.9463,0.0000,0.9903
200029,1031,45,0.1000,0.00000609,0.0000,27.2398,2893.3671,0.0000,0.9854
200030,185,18,0.1000,0.00000609,0.0000,35.0741,2830.4263,0.0000,0.9809
