episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,484,29,0.2500,0.00000500,0.0000,0.0000,2913.0147,0.0000,0.0000
205002,52,9,0.2500,0.00000500,0.0000,107.2141,0.0000,0.0000,0.9688
205003,1086,35,0.2500,0.00000500,0.0000,72.5128,2938.9119,0.0000,0.9804
205004,521,27,0.2500,0.00000500,0.0000,93.2422,2909.9851,0.0000,0.9734
205005,866,54,0.2500,0.00000500,0.0000,59.1663,2899.8614,0.0000,0.9844
205006,1679,48,0.2500,0.00000500,0.0000,41.5687,2935.8451,0.0000,0.9902
205007,659,24,0.2500,0.00000500,0.0000,52.6310,2918.6215,0.0000,0.9870
205008,333,26,0.2500,0.00000500,0.0000,39.7145,2915.9934,0.0000,0.9916
205009,1652,48,0.2500,0.00000500,0.0000,56.6114,2932.4728,0.0000,0.9857
205010,562,33,0.2500,0.00000500,0.0000,39.9785,2924.4431,0.0000,0.9867
205011,117,14,0.2500,0.00000500,0.0000,22.3953,2849.5516,0.0000,0.9955
205012,32,6,0.2500,0.00000500,0.0000,44.4651,2854.5247,0.0000,0.9896
205013,120,15,0.2500,0.00000500,0.0000,46.2385,2846.5288,0.0000,0.9875
205014,1301,49,0.2500,0.00000500,0.0000,48.4099,2920.0944,0.0000,0.9834
205015,44,6,0.2500,0.00000500,0.0000,48.5885,2819.7277,0.0000,0.9844
205016,38,6,0.2500,0.00000500,0.0000,33.1263,2833.1387,0.0000,0.9844
205017,253,22,0.2500,0.00000500,0.0000,35.0178,2872.3436,0.0000,0.9901
205018,47,9,0.2500,0.00000500,0.0000,45.6411,2851.5717,0.0000,0.9896
205019,203,26,0.2500,0.00000500,0.0000,51.0884,2869.2829,0.0000,0.9760
205020,1754,78,0.2500,0.00000500,0.0000,53.5515,2935.2375,0.0000,0.9760
205021,1873,42,0.2500,0.00000500,0.0000,58.2914,2960.1844,0.0000,0.9754
205022,807,33,0.2500,0.00000500,0.0000,41.4735,2927.3727,0.0000,0.9820
205023,84,12,0.2500,0.00000500,0.0000,53.9990,2864.8253,0.0000,0.9766
205024,2708,72,0.2500,0.00000500,0.0000,42.1496,2952.6095,0.0000,0.9748
205025,1023,30,0.2500,0.00000500,0.0000,58.1458,2912.5381,0.0000,0.9656
205026,273,24,0.2500,0.00000500,0.0000,36.1783,2909.1339,0.0000,0.9831
205027,35,9,0.2500,0.00000500,0.0000,45.2079,2788.8678,0.0000,0.9688
205028,2180,78,0.2500,0.00000500,0.0000,34.9838,2921.0373,0.0000,0.9756
205029,2515,49,0.2500,0.00000500,0.0000,36.6296,2970.9571,0.0000,0.9790
205030,1705,66,0.2500,0.00000500,0.0000,32.6193,2943.7574,0.0000,0.9782
205031,2726,84,0.2500,0.00000500,0.0000,39.8020,2949.3952,0.0000,0.9721
205032,507,30,0.2500,0.00000500,0.0000,44.3946,2939.4550,0.0000,0.9677
205033,549,27,0.2500,0.00000500,0.0000,36.5156,2914.0639,0.0000,0.9780
205034,624,35,0.2500,0.00000500,0.0000,43.1161,2903.7156,0.0000,0.9786
205035,77,10,0.2500,0.00000500,0.0000,53.9941,2853.8943,0.0000,0.9750
205036,269,26,0.2500,0.00000500,0.0000,34.5700,2866.6478,0.0000,0.9675
205037,516,30,0.2500,0.00000500,0.0000,45.4504,2933.2486,0.0000,0.9781
205038,55,9,0.2500,0.00000500,0.0000,40.1640,2930.5959,0.0000,0.9861
