episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,982,39,0.2500,0.00000500,0.0000,12.2977,2948.9427,0.0000,1.0000
205002,1285,42,0.2500,0.00000500,0.0000,14.1638,2942.0791,0.0000,0.9866
205003,378,23,0.2500,0.00000500,0.0000,14.4068,2892.7811,0.0000,0.9932
205004,155,15,0.2500,0.00000500,0.0000,44.1013,2872.3536,0.0000,0.9833
205005,301,27,0.2500,0.00000500,0.0000,40.6627,2883.7998,0.0000,0.9861
205006,730,39,0.2500,0.00000500,0.0000,23.4805,2916.5518,0.0000,0.9928
205007,551,30,0.2500,0.00000500,0.0000,32.1623,2916.7122,0.0000,0.9885
205008,453,20,0.2500,0.00000500,0.0000,32.9635,2923.2867,0.0000,0.9891
205009,559,27,0.2500,0.00000500,0.0000,28.2963,2943.9498,0.0000,0.9884
205010,904,30,0.2500,0.00000500,0.0000,27.3626,2948.7455,0.0000,0.9885
205011,145,17,0.2500,0.00000500,0.0000,35.9251,2859.3615,0.0000,0.9798
205012,558,30,0.2500,0.00000500,0.0000,60.2076,2919.8352,0.0000,0.9729
205013,1035,33,0.2500,0.00000500,0.0000,32.7454,2939.5509,0.0000,0.9915
205014,85,13,0.2500,0.00000500,0.0000,56.0449,2835.2559,0.0000,0.9760
205015,156,18,0.2500,0.00000500,0.0000,38.6818,2858.9906,0.0000,0.9861
205016,73,14,0.2500,0.00000500,0.0000,46.9052,2833.7174,0.0000,0.9732
205017,76,12,0.2500,0.00000500,0.0000,53.3603,2899.0389,0.0000,0.9583
205018,162,17,0.2500,0.00000500,0.0000,41.7557,2862.1324,0.0000,0.9761
205019,5692,120,0.2500,0.00000500,0.0000,50.8900,2970.2977,0.0000,0.9688
205020,415,30,0.2500,0.00000500,0.0000,51.3768,2906.4919,0.0000,0.9677
205021,635,30,0.2500,0.00000500,0.0000,55.9249,2926.6837,0.0000,0.9667
205022,1255,38,0.2500,0.00000500,0.0000,46.2039,2973.5646,0.0000,0.9712
205023,69,9,0.2500,0.00000500,0.0000,57.5555,2832.2302,0.0000,0.9688
205024,651,35,0.2500,0.00000500,0.0000,45.5571,2912.4754,0.0000,0.9768
205025,561,24,0.2500,0.00000500,0.0000,64.9885,2914.9970,0.0000,0.9570
205026,653,26,0.2500,0.00000500,0.0000,64.3767,2931.4261,0.0000,0.9688
205027,399,27,0.2500,0.00000500,0.0000,52.8783,2893.3006,0.0000,0.9676
205028,216,24,0.2500,0.00000500,0.0000,77.0763,2852.8015,0.0000,0.9596
205029,610,23,0.2500,0.00000500,0.0000,42.6190,2892.9645,0.0000,0.9742
205030,134,17,0.2500,0.00000500,0.0000,54.9460,2851.7865,0.0000,0.9614
205031,609,33,0.2500,0.00000500,0.0000,51.1999,2912.9469,0.0000,0.9659
205032,911,48,0.2500,0.00000500,0.0000,44.4129,2922.1620,0.0000,0.9635
205033,29,6,0.2500,0.00000500,0.0000,60.7778,2828.0601,0.0000,0.9792
205034,110,12,0.2500,0.00000500,0.0000,84.6516,2888.2345,0.0000,0.9505
205035,532,24,0.2500,0.00000500,0.0000,45.8702,2919.8931,0.0000,0.9779
205036,316,21,0.2500,0.00000500,0.0000,45.1920,2896.5112,0.0000,0.9747
205037,3478,81,0.2500,0.00000500,0.0000,52.6041,2973.3086,0.0000,0.9641
205038,56,12,0.2500,0.00000500,0.0000,29.9061,2759.8761,0.0000,0.9740
205039,1227,45,0.2500,0.00000500,0.0000,47.3682,2955.6808,0.0000,0.9750
205040,352,26,0.2500,0.00000500,0.0000,36.0870,2926.1564,0.0000,0.9748
205041,1206,39,0.2500,0.00000500,0.0000,66.3756,2936.8847,0.0000,0.9720
205042,710,35,0.2500,0.00000500,0.0000,72.5910,2921.1020,0.0000,0.9545
205043,1180,45,0.2500,0.00000500,0.0000,51.7393,2931.8120,0.0000,0.9694
205044,2298,71,0.2500,0.00000500,0.0000,50.5732,2948.2329,0.0000,0.9754
205045,670,38,0.2500,0.00000500,0.0000,58.7614,2923.6886,0.0000,0.9704
205046,3296,69,0.2500,0.00000500,0.0000,55.4597,2977.1992,0.0000,0.9719
205047,1711,63,0.2500,0.00000500,0.0000,41.3335,2944.5095,0.0000,0.9737
205048,1210,42,0.2500,0.00000500,0.0000,59.7407,2936.9509,0.0000,0.9702
205049,230,21,0.2500,0.00000500,0.0000,51.0648,2896.2248,0.0000,0.9747
205050,44,12,0.2500,0.00000500,0.0000,70.2884,2871.8052,0.0000,0.9661
205051,2500,58,0.2500,0.00000500,0.0000,39.8393,2966.1380,0.0000,0.9758
205052,1966,66,0.2500,0.00000500,0.0000,43.1861,2948.3188,0.0000,0.9740
205053,168,19,0.2500,0.00000500,0.0000,49.7554,2869.4654,0.0000,0.9753
205054,116,15,0.2500,0.00000500,0.0000,77.3832,2875.4316,0.0000,0.9771
205055,455,24,0.2500,0.00000500,0.0000,51.8499,2939.2362,0.0000,0.9740
205056,437,26,0.2500,0.00000500,0.0000,65.2428,2919.6781,0.0000,0.9712
205057,1016,50,0.2500,0.00000500,0.0000,63.8765,2950.5903,0.0000,0.9738
205058,176,18,0.2500,0.00000500,0.0000,26.0617,2876.8727,0.0000,0.9809
205059,204,18,0.2500,0.00000500,0.0000,81.1415,2876.1249,0.0000,0.9757
205060,49,9,0.2500,0.00000500,0.0000,35.7334,2776.3178,0.0000,0.9792
205061,1263,48,0.2500,0.00000500,0.0000,44.4496,2921.3039,0.0000,0.9720
205062,225,17,0.2500,0.00000500,0.0000,42.5918,2916.8320,0.0000,0.9688
205063,997,51,0.2500,0.00000500,0.0000,47.8516,2907.1669,0.0000,0.9761
205064,246,22,0.2500,0.00000500,0.0000,40.6153,2886.4003,0.0000,0.9801
205065,304,24,0.2500,0.00000500,0.0000,50.6059,2876.2028,0.0000,0.9753
205066,1281,51,0.2500,0.00000500,0.0000,56.9353,2933.7014,0.0000,0.9749
205067,46,12,0.2500,0.00000500,0.0000,36.7306,2786.2660,0.0000,0.9818
205068,1816,62,0.2500,0.00000500,0.0000,53.0279,2940.7700,0.0000,0.9667
205069,1446,46,0.2500,0.00000500,0.0000,43.4492,2949.5703,0.0000,0.9810
205070,1288,42,0.2500,0.00000500,0.0000,45.1028,2959.7083,0.0000,0.9702
205071,2148,56,0.2500,0.00000500,0.0000,46.0891,2947.8545,0.0000,0.9738
205072,45,9,0.2500,0.00000500,0.0000,26.0753,2785.6894,0.0000,0.9792
205073,219,18,0.2500,0.00000500,0.0000,40.7206,2879.7628,0.0000,0.9792
205074,605,40,0.2500,0.00000500,0.0000,40.2829,2912.4641,0.0000,0.9805
205075,1169,51,0.2500,0.00000500,0.0000,48.0464,2925.8933,0.0000,0.9718
205076,284,18,0.2500,0.00000500,0.0000,41.7757,2898.5942,0.0000,0.9740
205077,1245,42,0.2500,0.00000500,0.0000,60.9140,2945.8000,0.0000,0.9680
205078,1038,33,0.2500,0.00000500,0.0000,33.7074,2969.7628,0.0000,0.9782
205079,166,18,0.2500,0.00000500,0.0000,45.6864,2868.7648,0.0000,0.9688
205080,932,36,0.2500,0.00000500,0.0000,35.9417,2939.8991,0.0000,0.9757
205081,305,23,0.2500,0.00000500,0.0000,63.4530,2889.9351,0.0000,0.9728
205082,587,27,0.2500,0.00000500,0.0000,63.3263,2933.9152,0.0000,0.9688
205083,1336,36,0.2500,0.00000500,0.0000,60.4075,2956.8405,0.0000,0.9722
205084,1161,48,0.2500,0.00000500,0.0000,54.8548,2928.3539,0.0000,0.9707
205085,290,24,0.2500,0.00000500,0.0000,46.1266,2901.2510,0.0000,0.9688
205086,1403,45,0.2500,0.00000500,0.0000,40.0481,2959.5894,0.0000,0.9743
205087,1005,39,0.2500,0.00000500,0.0000,45.7677,2914.4611,0.0000,0.9808
205088,80,15,0.2500,0.00000500,0.0000,32.9039,2870.9662,0.0000,0.9750
205089,74,12,0.2500,0.00000500,0.0000,63.3029,2833.8406,0.0000,0.9714
205090,2824,88,0.2500,0.00000500,0.0000,48.7549,2961.7745,0.0000,0.9712
205091,141,15,0.2500,0.00000500,0.0000,35.1848,2852.6798,0.0000,0.9833
