episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,1669,57,0.1000,0.00005000,0.0000,14.8167,2927.5084,0.0000,1.0000
205002,4034,64,0.1000,0.00005000,0.0000,11.1194,3001.0201,0.0000,0.9893
205003,2288,45,0.1000,0.00005000,0.0000,11.2047,2983.9655,0.0000,0.9896
205004,72,9,0.1000,0.00005000,0.0000,9.9410,2870.3005,0.0000,0.9861
205005,282,18,0.1000,0.00005000,0.0000,9.1431,2913.3126,0.0000,0.9861
205006,1905,78,0.1000,0.00005000,0.0000,10.0843,2931.3378,0.0000,0.9756
205007,902,34,0.1000,0.00005000,0.0000,10.6429,2936.0338,0.0000,0.9779
205008,283,18,0.1000,0.00005000,0.0000,10.9861,2902.0485,0.0000,0.9618
205009,8389,150,0.1000,0.00005000,0.0000,11.8146,2992.5877,0.0000,0.9765
205010,1181,33,0.1000,0.00005000,0.0000,12.8521,2956.9341,0.0000,0.9763
205011,155,18,0.1000,0.00005000,0.0000,18.3410,2860.7629,0.0000,0.9705
205012,2123,60,0.1000,0.00005000,0.0000,17.7758,2964.5814,0.0000,0.9729
205013,985,45,0.1000,0.00005000,0.0000,21.4826,2923.3257,0.0000,0.9771
205014,344,25,0.1000,0.00005000,0.0000,19.7844,2902.1501,0.0000,0.9888
205015,1176,30,0.1000,0.00005000,0.0000,18.8820,2958.7596,0.0000,0.9802
205016,1170,33,0.1000,0.00005000,0.0000,19.8969,2942.0056,0.0000,0.9725
205017,5008,150,0.1000,0.00005000,0.0000,15.2091,2964.9375,0.0000,0.9806
205018,206,18,0.1000,0.00005000,0.0000,19.0784,2876.9588,0.0000,0.9826
205019,2722,87,0.1000,0.00005000,0.0000,15.5322,2953.9053,0.0000,0.9788
205020,11194,138,0.1000,0.00005000,0.0000,14.4065,3020.5856,0.0000,0.9844
205021,1529,42,0.1000,0.00005000,0.0000,19.6767,2946.1162,0.0000,0.9866
205022,29,8,0.1000,0.00005000,0.0000,14.5817,2787.3948,0.0000,0.9766
205023,4084,76,0.1000,0.00005000,0.0000,18.7504,2980.6994,0.0000,0.9799
205024,2191,52,0.1000,0.00005000,0.0000,19.5013,2947.6120,0.0000,0.9832
205025,514,30,0.1000,0.00005000,0.0000,19.2657,2909.2215,0.0000,0.9750
205026,3462,84,0.1000,0.00005000,0.0000,16.8713,2948.4905,0.0000,0.9792
205027,13344,186,0.1000,0.00005000,0.0000,21.6064,3000.7564,0.0000,0.9765
205028,4463,72,0.1000,0.00005000,0.0000,15.9789,2992.7818,0.0000,0.9822
205029,660,24,0.1000,0.00005000,0.0000,14.0468,2929.6550,0.0000,0.9727
205030,4318,63,0.1000,0.00005000,0.0000,25.7635,2988.0013,0.0000,0.9797
205031,107,13,0.1000,0.00005000,0.0000,20.8945,2851.6486,0.0000,0.9663
205032,1158,42,0.1000,0.00005000,0.0000,17.8016,2920.0644,0.0000,0.9807
205033,139,18,0.1000,0.00005000,0.0000,17.7701,2856.7274,0.0000,0.9757
205034,2266,66,0.1000,0.00005000,0.0000,18.1904,2927.7999,0.0000,0.9763
