episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,6612,78,0.1000,0.00000500,0.0000,9.7897,3022.9300,0.0000,1.0000
205002,5902,129,0.1000,0.00000500,0.0000,12.1345,2971.6562,0.0000,0.9939
205003,1098,45,0.1000,0.00000500,0.0000,12.7407,2931.3164,0.0000,0.9882
205004,6145,162,0.1000,0.00000500,0.0000,14.0390,2972.9963,0.0000,0.9892
205005,484,27,0.1000,0.00000500,0.0000,14.9722,2900.5856,0.0000,0.9838
205006,54,11,0.1000,0.00000500,0.0000,15.8290,2820.9593,0.0000,0.9830
205007,297,27,0.1000,0.00000500,0.0000,28.0326,2897.5905,0.0000,0.9838
205008,559,27,0.1000,0.00000500,0.0000,15.6917,2915.2622,0.0000,0.9942
205009,6963,108,0.1000,0.00000500,0.0000,17.3337,2989.0563,0.0000,0.9884
205010,1718,45,0.1000,0.00000500,0.0000,21.8767,2955.0822,0.0000,0.9896
205011,1698,39,0.1000,0.00000500,0.0000,17.4734,2949.6286,0.0000,0.9912
205012,317,27,0.1000,0.00000500,0.0000,21.7421,2886.6036,0.0000,0.9861
205013,916,45,0.1000,0.00000500,0.0000,21.7877,2944.8360,0.0000,0.9847
205014,13399,261,0.1000,0.00000500,0.0000,17.3104,2979.8163,0.0000,0.9886
205015,8438,174,0.1000,0.00000500,0.0000,18.2266,2971.7882,0.0000,0.9865
205016,4807,123,0.1000,0.00000500,0.0000,17.2066,2975.1932,0.0000,0.9858
205017,2081,42,0.1000,0.00000500,0.0000,12.2816,2978.6036,0.0000,0.9866
205018,4378,102,0.1000,0.00000500,0.0000,19.1067,2966.3274,0.0000,0.9874
205019,732,33,0.1000,0.00000500,0.0000,13.2958,2918.0387,0.0000,0.9915
205020,3176,102,0.1000,0.00000500,0.0000,15.6061,2952.2928,0.0000,0.9902
205021,553,24,0.1000,0.00000500,0.0000,17.8265,2946.2296,0.0000,0.9883
205022,2076,46,0.1000,0.00000500,0.0000,15.2282,2980.6085,0.0000,0.9898
205023,1025,45,0.1000,0.00000500,0.0000,20.0524,2945.6888,0.0000,0.9903
