episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,2029,54,0.1000,0.00005000,0.0000,11.9499,2946.1342,0.0000,0.9579
205002,4096,63,0.1000,0.00005000,0.0000,9.1517,2989.7547,0.0000,0.9638
205003,44,9,0.1000,0.00005000,0.0000,10.4765,2820.6869,0.0000,0.9757
205004,1432,50,0.1000,0.00005000,0.0000,10.4655,2945.0314,0.0000,0.9725
205005,131,15,0.1000,0.00005000,0.0000,11.7705,2865.9217,0.0000,0.9812
205006,7994,146,0.1000,0.00005000,0.0000,23.0848,2981.0575,0.0000,0.9664
205007,3412,87,0.1000,0.00005000,0.0000,31.8710,2974.3447,0.0000,0.9799
205008,117,12,0.1000,0.00005000,0.0000,12.3724,2908.9275,0.0000,0.9844
205009,212,15,0.1000,0.00005000,0.0000,49.7813,2913.3394,0.0000,0.9771
205010,1241,42,0.1000,0.00005000,0.0000,26.8841,2951.5238,0.0000,0.9747
205011,1265,57,0.1000,0.00005000,0.0000,36.2956,2930.2352,0.0000,0.9753
205012,6026,152,0.1000,0.00005000,0.0000,27.9156,2968.2375,0.0000,0.9782
205013,786,30,0.1000,0.00005000,0.0000,29.9484,2924.9421,0.0000,0.9740
205014,1537,54,0.1000,0.00005000,0.0000,21.0700,2946.5321,0.0000,0.9751
205015,1043,33,0.1000,0.00005000,0.0000,21.7640,2935.8032,0.0000,0.9820
205016,2327,72,0.1000,0.00005000,0.0000,34.0709,2942.6970,0.0000,0.9714
205017,365,18,0.1000,0.00005000,0.0000,25.8250,2927.8386,0.0000,0.9826
205018,2263,63,0.1000,0.00005000,0.0000,32.6601,2958.3914,0.0000,0.9722
205019,1515,51,0.1000,0.00005000,0.0000,32.1064,2960.7923,0.0000,0.9761
205020,1386,47,0.1000,0.00005000,0.0000,27.7426,2945.9227,0.0000,0.9767
205021,2539,90,0.1000,0.00005000,0.0000,36.7491,2931.0324,0.0000,0.9726
205022,1237,42,0.1000,0.00005000,0.0000,27.2534,2934.1365,0.0000,0.9777
205023,2578,87,0.1000,0.00005000,0.0000,21.5368,2947.0678,0.0000,0.9799
205024,2207,57,0.1000,0.00005000,0.0000,27.7529,2978.8232,0.0000,0.9704
205025,1253,45,0.1000,0.00005000,0.0000,24.2077,2941.0599,0.0000,0.9757
205026,3111,71,0.1000,0.00005000,0.0000,22.7497,2964.2584,0.0000,0.9776
205027,424,27,0.1000,0.00005000,0.0000,31.3644,2902.2146,0.0000,0.9688
205028,1003,43,0.1000,0.00005000,0.0000,31.7950,2934.7301,0.0000,0.9724
205029,162,15,0.1000,0.00005000,0.0000,14.6033,2870.9641,0.0000,0.9875
205030,14224,219,0.1000,0.00005000,0.0000,22.6137,3003.7284,0.0000,0.9787
205031,1878,66,0.1000,0.00005000,0.0000,20.8181,2941.5870,0.0000,0.9782
205032,2302,60,0.1000,0.00005000,0.0000,18.4518,2969.2006,0.0000,0.9755
205033,4313,57,0.1000,0.00005000,0.0000,27.1876,3006.8219,0.0000,0.9759
205034,1040,33,0.1000,0.00005000,0.0000,21.7758,2962.9835,0.0000,0.9706
205035,4850,126,0.1000,0.00005000,0.0000,22.4581,2970.6116,0.0000,0.9725
205036,4017,93,0.1000,0.00005000,0.0000,23.7860,2978.9338,0.0000,0.9735
205037,81,13,0.1000,0.00005000,0.0000,22.9740,2859.4888,0.0000,0.9639
205038,968,36,0.1000,0.00005000,0.0000,21.3486,2956.0181,0.0000,0.9844
205039,772,40,0.1000,0.00005000,0.0000,17.5131,2935.6371,0.0000,0.9766
205040,4977,63,0.1000,0.00005000,0.0000,21.2265,3007.5148,0.0000,0.9782
205041,1543,42,0.1000,0.00005000,0.0000,24.1197,2963.9869,0.0000,0.9769
205042,3695,123,0.1000,0.00005000,0.0000,21.9174,2962.8806,0.0000,0.9789
205043,2068,42,0.1000,0.00005000,0.0000,17.5778,2973.5864,0.0000,0.9769
205044,5620,110,0.1000,0.00005000,0.0000,19.0205,2989.5463,0.0000,0.9844
205045,1012,42,0.1000,0.00005000,0.0000,28.4476,2955.7598,0.0000,0.9821
205046,1930,63,0.1000,0.00005000,0.0000,20.9676,2962.4729,0.0000,0.9807
205047,241,21,0.1000,0.00005000,0.0000,34.7959,2906.9044,0.0000,0.9762
205048,240,21,0.1000,0.00005000,0.0000,32.2183,2906.8044,0.0000,0.9643
205049,1690,39,0.1000,0.00005000,0.0000,22.6641,2966.6511,0.0000,0.9816
205050,786,30,0.1000,0.00005000,0.0000,23.2956,2940.3735,0.0000,0.9802
205051,215,15,0.1000,0.00005000,0.0000,11.7850,2913.0818,0.0000,0.9854
205052,692,36,0.1000,0.00005000,0.0000,18.2166,2922.4020,0.0000,0.9800
205053,1776,60,0.1000,0.00005000,0.0000,19.5654,2958.4129,0.0000,0.9812
205054,1048,34,0.1000,0.00005000,0.0000,28.4434,2952.0162,0.0000,0.9816
205055,501,30,0.1000,0.00005000,0.0000,16.3035,2918.7604,0.0000,0.9854
205056,557,24,0.1000,0.00005000,0.0000,27.3728,2929.7741,0.0000,0.9792
205057,1042,33,0.1000,0.00005000,0.0000,19.6625,2952.6272,0.0000,0.9801
205058,1340,54,0.1000,0.00005000,0.0000,18.0030,2933.0748,0.0000,0.9855
205059,50,9,0.1000,0.00005000,0.0000,15.1957,2850.8600,0.0000,0.9861
205060,503,33,0.1000,0.00005000,0.0000,16.6709,2913.8274,0.0000,0.9848
205061,2087,46,0.1000,0.00005000,0.0000,15.7643,2959.0872,0.0000,0.9857
205062,6065,156,0.1000,0.00005000,0.0000,23.1413,2971.9665,0.0000,0.9798
205063,590,33,0.1000,0.00005000,0.0000,13.9368,2927.1847,0.0000,0.9848
205064,2321,63,0.1000,0.00005000,0.0000,16.6779,2955.8917,0.0000,0.9856
205065,95,12,0.1000,0.00005000,0.0000,16.7184,2875.0949,0.0000,0.9688
205066,46,12,0.1000,0.00005000,0.0000,23.2842,2835.3606,0.0000,0.9844
205067,801,32,0.1000,0.00005000,0.0000,24.5321,2935.5951,0.0000,0.9873
205068,1350,54,0.1000,0.00005000,0.0000,21.2945,2935.4877,0.0000,0.9780
205069,1290,48,0.1000,0.00005000,0.0000,26.6668,2939.7059,0.0000,0.9740
205070,368,31,0.1000,0.00005000,0.0000,22.0278,2907.6785,0.0000,0.9778
205071,2537,87,0.1000,0.00005000,0.0000,22.2694,2937.7291,0.0000,0.9820
205072,2504,51,0.1000,0.00005000,0.0000,26.8132,2963.0753,0.0000,0.9798
205073,4072,114,0.1000,0.00005000,0.0000,24.0482,2949.9489,0.0000,0.9794
205074,4350,72,0.1000,0.00005000,0.0000,19.8517,2975.5481,0.0000,0.9826
205075,971,39,0.1000,0.00005000,0.0000,24.5594,2936.1211,0.0000,0.9784
205076,2880,63,0.1000,0.00005000,0.0000,18.6453,2955.5430,0.0000,0.9826
205077,656,33,0.1000,0.00005000,0.0000,16.3372,2920.0427,0.0000,0.9886
205078,5018,120,0.1000,0.00005000,0.0000,17.6461,2966.2615,0.0000,0.9828
