episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,5997,110,0.1000,0.00000500,0.0000,38.0111,2982.9474,0.0000,0.9996
205002,1886,48,0.1000,0.00000500,0.0000,55.8562,2967.0887,0.0000,0.9850
205003,780,30,0.1000,0.00000500,0.0000,61.0344,2945.5416,0.0000,0.9792
205004,628,33,0.1000,0.00000500,0.0000,47.1412,2913.8461,0.0000,0.9706
205005,1610,48,0.1000,0.00000500,0.0000,36.4249,2960.7881,0.0000,0.9857
205006,1918,60,0.1000,0.00000500,0.0000,38.5237,2962.2435,0.0000,0.9776
205007,1640,48,0.1000,0.00000500,0.0000,38.9699,2975.9029,0.0000,0.9805
205008,217,15,0.1000,0.00000500,0.0000,43.8409,2915.2169,0.0000,0.9854
205009,2155,75,0.1000,0.00000500,0.0000,38.8831,2955.9986,0.0000,0.9867
205010,357,18,0.1000,0.00000500,0.0000,50.4293,2938.4353,0.0000,0.9792
205011,1268,42,0.1000,0.00000500,0.0000,43.1666,2956.5285,0.0000,0.9866
205012,1558,57,0.1000,0.00000500,0.0000,44.5005,2974.8455,0.0000,0.9841
205013,3217,87,0.1000,0.00000500,0.0000,30.7996,2984.0342,0.0000,0.9846
205014,2936,69,0.1000,0.00000500,0.0000,30.1236,2993.9382,0.0000,0.9792
205015,707,42,0.1000,0.00000500,0.0000,26.1970,2926.9320,0.0000,0.9859
205016,901,27,0.1000,0.00000500,0.0000,26.1926,2963.7907,0.0000,0.9803
205017,588,41,0.1000,0.00000500,0.0000,31.7818,2905.2999,0.0000,0.9817
205018,5930,150,0.1000,0.00000500,0.0000,30.3860,2988.4136,0.0000,0.9835
205019,417,28,0.1000,0.00000500,0.0000,29.9210,2922.7264,0.0000,0.9810
205020,795,30,0.1000,0.00000500,0.0000,34.4026,2971.7931,0.0000,0.9740
205021,64,9,0.1000,0.00000500,0.0000,34.4299,2857.8436,0.0000,0.9861
205022,916,42,0.1000,0.00000500,0.0000,34.2760,2969.6199,0.0000,0.9821
205023,450,23,0.1000,0.00000500,0.0000,33.0527,2941.0541,0.0000,0.9715
205024,449,21,0.1000,0.00000500,0.0000,33.5685,2925.1616,0.0000,0.9777
205025,1971,60,0.1000,0.00000500,0.0000,28.3136,3004.3393,0.0000,0.9792
205026,1098,46,0.1000,0.00000500,0.0000,35.7412,2957.7464,0.0000,0.9694
205027,2051,57,0.1000,0.00000500,0.0000,26.5671,2994.7935,0.0000,0.9786
205028,1856,69,0.1000,0.00000500,0.0000,25.2535,2953.4520,0.0000,0.9801
205029,2646,60,0.1000,0.00000500,0.0000,29.5845,3006.9169,0.0000,0.9792
205030,790,30,0.1000,0.00000500,0.0000,22.6174,2951.9265,0.0000,0.9802
205031,4299,90,0.1000,0.00000500,0.0000,30.9071,3014.5984,0.0000,0.9792
205032,6579,72,0.1000,0.00000500,0.0000,38.4585,3082.0977,0.0000,0.9766
205033,1785,54,0.1000,0.00000500,0.0000,31.4389,2990.7758,0.0000,0.9745
205034,1133,44,0.1000,0.00000500,0.0000,30.2544,2956.7596,0.0000,0.9808
205035,114,12,0.1000,0.00000500,0.0000,44.1187,2915.2941,0.0000,0.9766
205036,2653,75,0.1000,0.00000500,0.0000,34.0054,2983.3704,0.0000,0.9779
205037,985,39,0.1000,0.00000500,0.0000,34.4669,2956.8330,0.0000,0.9808
205038,355,18,0.1000,0.00000500,0.0000,35.9543,2911.5694,0.0000,0.9774
205039,2531,75,0.1000,0.00000500,0.0000,30.0830,2973.7883,0.0000,0.9804
205040,907,39,0.1000,0.00000500,0.0000,34.9602,2939.3040,0.0000,0.9760
205041,10825,177,0.1000,0.00000500,0.0000,29.7881,3043.4968,0.0000,0.9786
205042,846,33,0.1000,0.00000500,0.0000,36.6846,2961.2188,0.0000,0.9744
205043,4516,75,0.1000,0.00000500,0.0000,33.0991,3074.3762,0.0000,0.9796
205044,322,21,0.1000,0.00000500,0.0000,26.4342,2907.7200,0.0000,0.9792
205045,1239,55,0.1000,0.00000500,0.0000,31.6712,2952.2005,0.0000,0.9886
205046,15113,171,0.1000,0.00000500,0.0000,28.9873,3142.5474,0.0000,0.9850
205047,467,27,0.1000,0.00000500,0.0000,38.0237,2938.0064,0.0000,0.9792
205048,4475,75,0.1000,0.00000500,0.0000,31.6563,3100.2190,0.0000,0.9858
205049,216,18,0.1000,0.00000500,0.0000,29.0963,2899.0448,0.0000,0.9826
205050,2202,81,0.1000,0.00000500,0.0000,39.5879,2997.0993,0.0000,0.9792
205051,1328,48,0.1000,0.00000500,0.0000,33.3584,3003.9335,0.0000,0.9844
205052,2078,69,0.1000,0.00000500,0.0000,28.9666,3000.2364,0.0000,0.9832
205053,7800,132,0.1000,0.00000500,0.0000,32.5768,3061.9380,0.0000,0.9839
205054,8872,170,0.1000,0.00000500,0.0000,32.4160,3082.9827,0.0000,0.9849
205055,4325,68,0.1000,0.00000500,0.0000,28.1156,3161.1293,0.0000,0.9848
205056,585,27,0.1000,0.00000500,0.0000,35.5417,2984.9590,0.0000,0.9861
205057,2597,54,0.1000,0.00000500,0.0000,37.5947,3113.5483,0.0000,0.9855
205058,2767,62,0.1000,0.00000500,0.0000,32.0673,3111.2546,0.0000,0.9824
205059,1709,63,0.1000,0.00000500,0.0000,39.1801,3000.0262,0.0000,0.9816
205060,4055,99,0.1000,0.00000500,0.0000,35.1467,3061.4966,0.0000,0.9826
205061,82,12,0.1000,0.00000500,0.0000,26.8764,2848.5077,0.0000,0.9818
205062,2708,72,0.1000,0.00000500,0.0000,37.5037,3045.7343,0.0000,0.9805
205063,1895,57,0.1000,0.00000500,0.0000,29.1767,3076.9451,0.0000,0.9803
205064,760,36,0.1000,0.00000500,0.0000,28.2290,3003.8615,0.0000,0.9870
205065,782,45,0.1000,0.00000500,0.0000,39.7404,2947.7729,0.0000,0.9826
205066,510,30,0.1000,0.00000500,0.0000,39.3493,2962.9227,0.0000,0.9719
205067,1143,38,0.1000,0.00000500,0.0000,35.9886,3040.2548,0.0000,0.9868
205068,2647,60,0.1000,0.00000500,0.0000,35.0443,3083.7071,0.0000,0.9823
205069,320,30,0.1000,0.00000500,0.0000,28.8820,2918.6736,0.0000,0.9854
205070,510,36,0.1000,0.00000500,0.0000,40.3184,2961.3957,0.0000,0.9783
205071,1163,54,0.1000,0.00000500,0.0000,31.2696,2986.7469,0.0000,0.9855
205072,547,27,0.1000,0.00000500,0.0000,26.4310,3001.4100,0.0000,0.9826
205073,1377,48,0.1000,0.00000500,0.0000,41.3768,3010.2901,0.0000,0.9818
205074,1365,42,0.1000,0.00000500,0.0000,41.1980,3062.8102,0.0000,0.9769
205075,2215,69,0.1000,0.00000500,0.0000,40.1182,3081.5082,0.0000,0.9855
205076,2871,72,0.1000,0.00000500,0.0000,42.7702,3088.5579,0.0000,0.9805
205077,4258,135,0.1000,0.00000500,0.0000,35.9194,3067.8539,0.0000,0.9815
205078,3560,78,0.1000,0.00000500,0.0000,33.0328,3179.5005,0.0000,0.9824
205079,1537,51,0.1000,0.00000500,0.0000,33.3033,3030.0343,0.0000,0.9884
205080,15393,299,0.1000,0.00000500,0.0000,38.4418,3165.1141,0.0000,0.9829
205081,4025,121,0.1000,0.00000500,0.0000,35.3164,3088.1014,0.0000,0.9848
205082,243,21,0.1000,0.00000500,0.0000,41.1540,2918.7585,0.0000,0.9881
205083,680,32,0.1000,0.00000500,0.0000,33.6988,2990.2669,0.0000,0.9795
205084,8732,200,0.1000,0.00000500,0.0000,36.3082,3126.8988,0.0000,0.9861
205085,46,9,0.1000,0.00000500,0.0000,28.0907,2841.0758,0.0000,0.9757
205086,1499,57,0.1000,0.00000500,0.0000,45.1518,3062.9550,0.0000,0.9786
205087,3614,102,0.1000,0.00000500,0.0000,40.7957,3128.7513,0.0000,0.9835
205088,18069,282,0.1000,0.00000500,0.0000,36.7329,3291.6750,0.0000,0.9846
205089,2133,51,0.1000,0.00000500,0.0000,45.1433,3173.4701,0.0000,0.9853
205090,11204,211,0.1000,0.00000500,0.0000,36.8799,3268.2481,0.0000,0.9868
