episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
205001,1541,45,0.1000,0.00000500,0.0000,23.3715,2944.5655,0.0000,0.9420
205002,887,30,0.1000,0.00000500,0.0000,20.4512,2938.8527,0.0000,0.9573
205003,2517,51,0.1000,0.00000500,0.0000,22.7018,2984.2044,0.0000,0.9688
205004,15416,181,0.1000,0.00000500,0.0000,53.5462,3027.2859,0.0000,0.9639
205005,5674,96,0.1000,0.00000500,0.0000,53.9314,3020.6981,0.0000,0.9782
205006,55,12,0.1000,0.00000500,0.0000,47.3007,2772.6194,0.0000,0.9661
205007,8992,87,0.1000,0.00000500,0.0000,53.8056,3061.3827,0.0000,0.9813
205008,275,15,0.1000,0.00000500,0.0000,66.4103,2910.8392,0.0000,0.9833
205009,823,42,0.1000,0.00000500,0.0000,58.9693,2943.3960,0.0000,0.9836
205010,774,33,0.1000,0.00000500,0.0000,42.0847,2943.1172,0.0000,0.9858
205011,642,24,0.1000,0.00000500,0.0000,52.9139,2942.4064,0.0000,0.9753
205012,509,30,0.1000,0.00000500,0.0000,50.1841,2955.5671,0.0000,0.9844
205013,3407,75,0.1000,0.00000500,0.0000,43.0762,3013.0752,0.0000,0.9804
205014,6582,120,0.1000,0.00000500,0.0000,37.7924,3023.3725,0.0000,0.9815
205015,366,21,0.1000,0.00000500,0.0000,42.5637,2937.5357,0.0000,0.9821
205016,211,15,0.1000,0.00000500,0.0000,40.5872,2876.9602,0.0000,0.9854
205017,399,27,0.1000,0.00000500,0.0000,41.7034,2914.0928,0.0000,0.9769
205018,16240,227,0.1000,0.00000500,0.0000,34.4411,3063.2683,0.0000,0.9840
205019,1710,51,0.1000,0.00000500,0.0000,42.7609,2990.9698,0.0000,0.9853
205020,733,39,0.1000,0.00000500,0.0000,37.2856,2941.7809,0.0000,0.9912
205021,228,21,0.1000,0.00000500,0.0000,29.9056,2884.0237,0.0000,0.9851
205022,281,18,0.1000,0.00000500,0.0000,39.2292,2917.3372,0.0000,0.9896
205023,1331,36,0.1000,0.00000500,0.0000,34.2649,2988.0479,0.0000,0.9783
205024,2513,48,0.1000,0.00000500,0.0000,41.4762,3072.9389,0.0000,0.9766
205025,2780,78,0.1000,0.00000500,0.0000,34.0531,3005.3509,0.0000,0.9800
205026,6218,69,0.1000,0.00000500,0.0000,30.4608,3140.7958,0.0000,0.9864
205027,2125,54,0.1000,0.00000500,0.0000,38.0645,3019.0197,0.0000,0.9850
