seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,3216,23,22,66,0.26601504495651485,6.118346033999842
5001,167,3,6,18,0.17789774499916738,1.2452842149941716
5002,1890,18,15,45,0.3834805956244054,6.135689529990486
5003,2771,19,20,60,0.10453989284997078,2.0907978569994157
5004,1537,16,14,42,0.2419971262002946,3.629956893004419
5005,3999,27,19,57,0.1995968322002227,3.991936644004454
5006,1862,18,14,42,0.2585719831333942,3.878579747000913
5007,1893,18,15,45,0.17615917849980178,2.8185468559968285
5008,2141,17,23,69,0.21550871391673354,5.172209134001605
5009,1093,11,14,42,0.14650937279996773,2.197640591999516
5010,2200,14,20,60,0.25922153965038885,5.1844307930077775
5011,4309,25,29,87,0.13604923283334452,4.081476985000336
5012,459,6,12,36,0.3286217515833414,3.9434610190000967
5013,2425,19,21,63,0.26208567136382044,5.76588477000405
5014,738,9,11,33,0.20259587000024717,2.431150440002966
5015,2252,20,15,45,0.5156521402502676,8.250434244004282
5016,702,7,12,36,0.3691319411541022,4.798715235003328
5017,1763,17,17,51,0.3047719340558817,5.485894813005871
5018,1668,17,12,36,0.29811030692340307,3.8754339900042396
5019,4375,22,34,102,0.12629035902843627,4.42016256599527
5020,802,11,11,33,0.32639473125103297,3.916736775012396
5021,761,11,10,30,0.4161957362719642,4.578153098991606
5022,1681,17,13,39,0.3846247380710598,5.384746332994837
5023,1203,14,13,39,0.3422375754292131,4.791326056008984
5024,355,7,6,18,0.2813968887146205,1.9697782210023433
5025,1500,16,13,39,0.40992722728593173,5.7389811820030445
5026,2540,21,18,54,0.12477224263191027,2.370672610006295
5027,1084,13,12,36,0.3315315946920936,4.309910730997217
5028,1039,9,14,42,0.3503155855997951,5.254733783996926
5029,227,5,6,18,0.25934019342821557,1.815381353997509
5030,907,12,10,30,0.19817131054547976,2.1798844160002773
5031,3480,25,19,57,0.20932364815034815,4.186472963006963
5032,860,11,11,33,0.3063496071663394,3.676195285996073
5033,1087,13,11,33,0.2758901690000736,3.3106820280008833
5034,7433,37,30,90,0.19315267293554386,5.987732861001859
5035,1054,13,12,36,0.523305448769791,6.802970834007283
5036,2016,15,22,66,0.308854648564865,7.103656916991895
5037,2364,20,18,54,0.15609258605285217,2.965759135004191
5038,1856,18,14,42,0.16098197980002926,2.414729697000439
5039,6846,27,39,117,0.08889330344991322,3.5557321379965288
5040,2522,21,18,54,0.3056648562104735,5.807632267998997
5041,662,10,9,27,0.18259123460047705,1.8259123460047704
5042,1683,17,13,39,0.3676016652859419,5.1464233140031865
5043,606,7,12,36,0.26780640484615176,3.481483262999973
5044,792,9,12,36,0.20490429061548918,2.6637557780013594
5045,5893,33,26,78,0.3138553079229146,8.16023800599578
5046,18713,54,57,171,0.14794726470696834,8.580941353004164
5047,449,7,11,33,0.29109115583317663,3.4930938699981198
5048,785,11,9,27,0.38935492360033097,3.8935492360033095
5049,1872,18,14,42,0.24766792493246612,3.715018873986992
5050,2999,21,20,60,0.1400537417615678,2.9411285769929236
5051,6582,26,45,135,0.2534072538265204,11.65673367601994
5052,1412,15,14,42,0.19539586839988868,2.93093802599833
5053,2326,20,18,54,0.2936976385265696,5.580255132004822
5054,689,10,11,33,0.28808720975030155,3.4570465170036186
5055,496,8,9,27,0.2810177872994245,2.8101778729942453
5056,5683,27,38,114,0.1540866587176704,6.009379689989146
5057,643,8,12,36,0.4287885423078618,5.5742510500022036
5058,2122,19,18,54,0.24473133884193407,4.649895437996747
5059,460,8,8,24,0.2778548022227672,2.500693220004905
5060,5205,31,23,69,0.14181996770851887,3.4036792250044527
5061,905,12,10,30,0.21262795245440264,2.338907476998429
5062,8335,33,40,120,0.30298131004844725,12.422233711986337
5063,3504,21,25,75,0.26421254284650786,6.869526114009204
5064,356,6,9,27,0.393045054499089,3.93045054499089
5065,317,6,7,21,0.32279838974955055,2.5823871179964044
5066,3997,27,19,57,0.2524795383500532,5.049590767001064
5067,3622,23,27,81,0.1905139976786034,5.334391935000895
5068,3203,24,18,54,0.22657172199921516,4.304862717985088
5069,813,9,13,39,0.29550296735682685,4.137041542995576
5070,1535,12,22,66,0.1441505180436766,3.315461915004562
5071,4657,21,37,111,0.10373777763169001,3.9420355500042206
5072,1528,14,16,48,0.20633136805918184,3.5076332570060913
5073,480,8,10,30,0.3144423004546711,3.458865305001382
5074,593,9,10,30,0.2688461646364224,2.9573078110006463
5075,391,7,8,24,0.20782595455481592,1.8704335909933434
5076,4299,28,21,63,0.18150952536350154,3.9932095579970337
5077,2366,20,18,54,0.30164460342118554,5.731247465002525
5078,6682,32,39,117,0.09110130376957852,3.5529508470135625
5079,8011,27,42,126,0.13410427660456598,5.766483893996337
5080,209,4,6,18,0.27289538085720516,1.9102676660004363
5081,623,7,11,33,0.08177550583362365,0.9813060700034839
5082,1877,17,18,54,0.24359940299971067,4.6283886569945025
5083,212,4,7,21,0.36506958349946217,2.9205566679956974
5084,6233,33,28,84,0.15964795558616532,4.629790711998794
5085,3976,27,20,60,0.2088204135714997,4.385228685001493
5086,1495,16,14,42,0.3686290982007146,5.529436473010719
5087,749,10,11,33,0.1598850448332693,1.9186205379992316
5088,1194,14,12,36,0.25779966507672303,3.3513956459973997
5089,6391,32,30,90,0.10792518170919427,3.3456806329850224
5090,3414,24,22,66,0.16283425134774324,3.7451877809980942
5091,4423,28,25,75,0.19547800557763997,5.082428145018639
5092,2774,22,18,54,0.190350010579239,3.616650201005541
5093,1647,12,22,66,0.18090769630456952,4.160877015005099
5094,211,5,5,15,0.7106012224994629,4.263607334996777
5095,886,10,15,45,0.29000123518790133,4.640019763006421
5096,16826,48,69,207,0.13285587701445495,9.299911391011847
5097,8403,39,33,99,0.16260191064729418,5.528464962008002
5098,4561,21,35,105,0.16425833552784752,5.913300079002511
5099,27004,71,59,177,0.10774616761652094,6.464770056991256
