seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5100,229,4,7,21,0.3665260589968966,2.932208471975173
5101,1713,17,15,45,0.259449077248064,4.151185235969024
5102,279,4,8,24,0.5231302670015592,4.708172403014032
5103,889,12,10,30,0.25269830345430155,2.7796813379973173
5104,659,10,9,27,0.35566960200230824,3.5566960200230824
5105,643,8,11,33,0.28082517316700734,3.3699020780040883
5106,5569,32,25,75,0.1927852893092607,5.012417522040778
5107,459,8,8,24,0.4384506608880151,3.9460559479921358
5108,1539,10,17,51,0.32020182622202104,5.7636328719963785
5109,207,4,6,18,0.25638093843216275,1.7946665690251393
5110,1010,9,17,51,0.26263136777722845,4.727364619990112
5111,2247,18,19,57,0.4022040931500669,8.044081863001338
5112,10142,42,40,120,0.1915135295368112,7.852054711009259
5113,3135,15,33,99,0.1330263290878707,4.522895188987604
5114,519,5,12,36,0.5312406343090026,6.906128246017033
5115,1717,15,19,57,0.1935979876514466,3.871959753028932
5116,1057,13,12,36,0.36856463100076114,4.791340203009895
5117,3218,24,20,60,0.2698916315515817,5.397832631031633
5118,934,8,15,45,0.3308455096266698,5.293528154026717
5119,2716,22,17,51,0.3127330306661962,5.629194551991532
5120,4200,24,27,81,0.1633513365003247,4.573837422009092
5121,10435,31,53,159,0.17276702514775227,9.329419357978622
5122,221,3,7,21,0.5939425456253957,4.751540365003166
5123,2021,17,19,57,0.3608147522624533,6.855480292986613
5124,4598,26,27,81,0.39782071489441606,11.13898001704365
5125,780,11,9,27,0.2447616615012521,2.447616615012521
5126,927,8,17,51,0.2753656411651819,4.956581540973275
5127,2698,20,21,63,0.2156651680455649,4.744633697002428
5128,1704,17,14,42,0.3604714834005184,5.407072251007776
5129,2236,19,20,60,0.3241332120007428,6.482664240014856
5130,1043,13,12,36,0.38329481092380147,4.982832542009419
5131,2774,22,19,57,0.32905199075103153,6.581039815020631
5132,4669,19,35,105,0.12922035024894285,4.651932608961943
5133,425,6,9,27,0.26749183620122496,2.6749183620122494
5134,5750,31,22,66,0.254865797392204,5.861913340020692
5135,435,8,7,21,0.4467518228739209,3.574014582991367
5136,5664,18,47,141,0.14564047266655203,6.990742687994498
5137,550,9,8,24,0.5262791192217264,4.736512072995538
5138,289,6,6,18,0.43669562728402006,3.0568693909881404
5139,1193,14,13,39,0.2775579017127581,3.885810623978614
5140,4865,22,32,96,0.13113593848670876,4.327485970061389
5141,2516,18,24,72,0.3159119867178379,7.897799667945947
5142,10848,45,36,108,0.23274791681143217,8.61167292202299
5143,356,7,6,18,0.2557426211424172,1.7901983479969203
5144,1201,12,14,42,0.23939370846783276,3.5909056270174915
5145,814,7,15,45,0.20075917431313428,3.2121467890101485
5146,3563,23,22,66,0.37644436652139435,8.65822042999207
5147,1437,15,15,45,0.26400924287736416,4.2241478860378265
5148,2225,17,19,57,0.13244507394920219,2.648901478984044
5149,5238,22,34,102,0.13210886688611936,4.6238103410141775
5150,426,5,11,33,0.6596342001648736,7.915610401978483
5151,1366,13,16,48,0.543231471291887,9.23493501196208
5152,4891,30,22,66,0.18776132456601455,4.318510465018335
5153,904,12,9,27,0.19557473810273224,1.9557473810273223
5154,10362,40,44,132,0.17128428049909417,7.536508341960143
5155,3973,27,20,60,0.4055914460463793,8.517420366973965
5156,665,10,9,27,0.1875001702021109,1.875001702021109
5157,2270,19,19,57,0.460941405750782,9.21882811501564
5158,893,11,14,42,0.27426593866645516,4.113989079996827
5159,11696,46,41,123,0.2257371317398446,9.480959533073474
5160,567,8,11,33,0.26739276725129457,3.208713207015535
5161,2637,21,19,57,0.1482333457985078,2.964666915970156
5162,2136,19,18,54,0.3880981809465754,7.373865437984932
5163,3338,24,21,63,0.19724077204327015,4.339296984951943
5164,7748,38,28,84,0.23170170241139892,6.719349369930569
5165,9967,42,40,120,0.11227179465782772,4.6031435809709365
5166,6232,25,39,117,0.1360574093010655,5.44229637204262
5167,1038,13,12,36,0.34370506853827887,4.468165890997625
5168,2525,21,16,48,0.24671356299607877,4.194130570933339
5169,862,10,14,42,0.2740670791371182,4.111006187056773
5170,4904,30,22,66,0.23762006234407992,5.465261433913838
5171,1896,13,19,57,0.15943745484764804,3.188749096952961
5172,588,8,11,33,0.28951609416738694,3.4741931300086435
5173,3335,24,21,63,0.36049959304364165,7.930991046960116
5174,4799,29,23,69,0.24373816279209373,5.84971590701025
5175,2507,19,21,63,0.21409456650276712,4.710080463060876
5176,1410,15,15,45,0.3631170258140628,5.809872413025005
5177,1744,13,18,54,0.11989627126374551,2.278029154011165
5178,1299,11,17,51,0.16903277338779946,3.04258992098039
5179,5178,31,22,66,0.3020307353903975,6.946706913979142
5180,2109,15,21,63,0.3145632316353096,6.920391095976811
5181,1492,16,13,39,0.34216428149894845,4.790299940985278
5182,3927,22,36,108,0.12318391356785542,4.557804802010651
5183,4896,24,34,102,0.19310706885506598,6.7587474099273095
5184,8136,35,41,123,0.14725863769057296,6.184862783004064
5185,577,7,13,39,0.28503656378286124,3.9905118929600576
5186,910,12,11,33,0.32024165916785324,3.842899910014239
5187,6921,27,40,120,0.1466416568788501,6.012307932032854
5188,889,12,9,27,0.3507223426990095,3.5072234269900946
5189,2059,16,21,63,0.27809723918207135,6.11813926200557
5190,1493,11,17,51,0.530934619441622,9.556823149949196
5191,7292,21,48,144,0.06853592577503224,3.35826036297658
5192,6229,32,33,99,0.2597706856476554,8.832203312020283
5193,1347,15,13,39,0.26674740607268177,3.7344636850175448
5194,203,4,6,18,0.5426096921375054,3.798267844962538
5195,774,10,11,33,0.5120643307503391,6.1447719690040685
5196,2953,23,17,51,0.14317703255882305,2.577186586058815
5197,1889,18,16,48,0.3860270797064432,6.562460355009534
5198,1252,14,15,45,0.470012826564016,7.520205225024256
5199,665,10,9,27,0.31711322870105507,3.1711322870105505
5200,1190,14,13,39,0.41172816150044256,5.764194261006196
5201,3189,18,30,90,0.27170340145183275,8.422805445006816
5202,814,11,12,36,0.25281876775140216,3.0338252130168257
5203,2830,15,27,81,0.1603558422139031,4.4899635819892865
5204,7497,37,29,87,0.12755719373283986,3.8267158119851956
5205,1349,15,13,39,0.54479747957313,7.62716471402382
5206,1326,14,15,45,0.46540333006123547,7.446453280979767
5207,500,8,9,27,0.6679572033986915,6.679572033986915
5208,1556,16,15,45,0.15233338581219869,2.437334172995179
5209,4132,24,31,93,0.17250986709632343,5.52031574708235
5210,1559,14,18,54,0.16836382415893145,3.1989126590196975
5211,1377,15,15,45,0.5073612171254354,8.117779474006966
5212,2789,22,19,57,0.18571871865133288,3.714374373026658
5213,2053,14,22,66,0.21355214360886274,4.911699303003843
5214,1794,14,18,54,0.10262153510503642,1.949809166995692
5215,1421,13,17,51,0.3378349665557228,6.081029398003011
5216,219,5,6,18,0.6196894764289027,4.337826335002319
5217,2008,17,19,57,0.16702734755308485,3.3405469510616967
5218,6628,34,33,99,0.25344297403053667,8.617061117038247
5219,2125,14,33,99,0.1187816014408942,4.038574448990403
5220,2593,21,19,57,0.5867179811045246,11.147641640985967
5221,1130,13,13,39,0.5950812960010288,8.331138144014403
5222,912,12,10,30,0.1705281580004587,1.8758097380050458
5223,5074,20,39,117,0.15148690647401963,6.059476258960785
5224,2128,16,19,57,0.15401885294922976,3.0803770589845954
5225,1516,16,13,39,0.21485493828679733,3.007969136015163
5226,8499,33,43,129,0.1692381774535699,7.4464798079570755
5227,1847,11,21,63,0.20274942054542902,4.460487251999439
5228,215,4,7,21,0.3953414417519525,3.16273153401562
5229,990,10,16,48,0.22186455823248252,3.771697489952203
5230,3103,22,17,51,0.24313584238876096,4.3764451629976975
5231,1068,13,12,36,0.18473327007758109,2.401532511008554
5232,1523,16,13,39,0.2076723221429607,2.90741251000145
