seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,11768,47,34,102,1.3704049047706317,47.964171666972106
5001,3118,22,24,72,0.490118868458012,11.762852842992288
5002,4606,29,23,69,1.4975324530001355,34.44324641900312
5003,5543,32,23,69,0.7346370567071668,17.631289360972005
5004,5217,31,22,66,0.8955963736098846,20.598716593027348
5005,4783,29,23,69,0.8646538582082334,20.7516925969976
5006,4259,28,19,57,1.131258162300219,22.625163246004377
5007,6783,21,43,129,0.484456133090465,21.31606985598046
5008,4611,29,23,69,1.243127873958656,29.835068975007744
5009,51690,76,111,333,0.4627828150543272,51.831675286084646
5010,10695,45,31,93,0.9609004674080097,30.74881495705631
5011,2325,18,21,63,0.925344988136203,20.357589738996467
5012,9039,36,38,114,1.5723508541290916,61.321683311034576
5013,7012,35,31,93,0.9458163631875323,30.266123622001032
5014,4360,28,21,63,0.7808170945473566,17.177976080041844
5015,888,11,13,39,3.6268521790708683,50.775930506992154
5016,6617,34,33,99,1.2979131884708561,44.12904840800911
5017,10259,37,42,126,0.8368868377224845,35.986134022066835
5018,22911,66,46,138,0.8806280874878792,41.389520111930324
5019,4920,30,24,72,1.3977246004412882,34.943115011032205
5020,9057,25,58,174,0.8621398543384542,50.8662514059688
5021,703,8,11,33,2.4186699828327014,29.024039793992415
5022,1470,15,14,42,2.083230796000377,31.248461940005654
5023,4906,30,23,69,0.6941624873343244,16.659899696023786
5024,2480,17,20,60,0.9148941423001815,18.29788284600363
5025,1350,15,13,39,2.1077372700019623,29.508321780027472
5026,2050,14,20,60,0.5444454546675497,11.433354548018542
5027,9579,41,36,108,0.7567192731087719,27.99861310502456
5028,25931,65,70,210,0.9333187966338198,66.2656345610012
5029,5024,30,25,75,0.5325060847681016,13.845158203970641
5030,2470,21,15,45,0.831952657437796,13.311242519004736
5031,1184,12,17,51,1.2107433338250677,20.58263667502615
5032,758,11,9,27,1.6560399861977202,16.560399861977203
5033,1210,14,12,36,1.0464016109248264,13.603220942022745
5034,1713,17,15,45,1.0933811275608605,17.494098040973768
5035,2403,18,21,63,2.6461490459526735,55.56912996500614
5036,117128,137,161,483,0.5037737537715634,81.61134811099328
5037,1880,18,13,39,0.9018634370731888,12.626088119024644
5038,1354,15,13,39,0.9258769835713403,12.962277769998764
5039,4951,28,29,87,0.9499119758998859,28.497359276996576
5040,11987,29,66,198,0.7311700621633721,48.98839416494593
5041,3187,24,18,54,0.6194066500519464,11.76872635098698
5042,11935,46,34,102,1.0669357066001144,37.342749731004005
5043,2018,18,18,54,1.21365200168542,23.05938803202298
5044,10583,44,37,111,1.1349307926831993,43.127370121961576
