seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,36413,82,75,225,0.608104547144888,46.21594558301149
5001,3728,25,24,72,0.5274336217995733,13.185840544989333
5002,4606,29,23,69,1.4754526183925285,33.93541022302816
5003,8645,39,35,105,0.632834955612149,22.782058402037364
5004,5884,33,23,69,0.8440109125822346,20.25626190197363
5005,11715,36,48,144,0.5506337565507702,26.98105407098774
5006,8948,41,28,84,0.7888911981015178,22.877844744944014
5007,2083,19,15,45,0.8820532555637328,14.112852089019725
5008,9062,41,32,96,0.7880065363036314,26.004215698019834
5009,9361,42,30,90,0.7144163399995793,22.146906539986958
5010,57369,105,81,243,0.7294378708538716,59.81390541001747
5011,15743,54,44,132,0.6819181313410148,30.00439777900465
5012,1696,17,14,42,1.8394171859322037,27.591257788983057
5013,14702,48,50,150,0.5756420324306579,29.357743653963553
5014,1721,17,12,36,1.1582866485360472,15.057726430968614
5015,7467,37,29,87,1.4738136424003945,44.214409272011835
5016,13807,51,39,117,1.1399858529759512,45.59943411903805
5017,1902,14,24,72,1.3457749446009983,33.64437361502496
5018,13271,47,46,138,0.8122293099574002,38.17477756799781
5019,4920,30,24,72,1.3754412650002632,34.38603162500658
5020,961,9,15,45,1.3991417924380585,22.386268679008936
5021,703,8,11,33,2.3838574563330135,28.606289475996164
5022,4513,24,27,81,1.132959123179067,31.722855449013878
5023,7988,38,33,99,1.0227369230295367,34.77305538300425
5024,2480,17,20,60,0.905684020249464,18.11368040498928
5025,1524,12,19,57,1.3676200874462665,27.35240174892533
5026,7049,30,39,117,0.583220188724954,23.328807548998157
5027,6286,34,26,78,1.0239922011840261,27.647789431968704
5028,5315,23,35,105,1.147912551000142,41.32485183600511
5029,3363,24,23,69,0.7119928879571186,17.087829310970847
5030,5065,26,30,90,0.4630022397407541,14.353069431963377
5031,3204,24,18,54,1.1660314862628613,22.154598238994367
5032,758,11,9,27,1.6235622311985936,16.235622311985935
5033,20390,50,82,246,0.41583861919180964,34.5146053929202
5034,10405,43,31,93,0.9771577476863058,31.269047925961786
5035,8491,27,49,147,1.5670297256999766,78.35148628499883
5036,12630,49,35,105,1.2268406503899314,44.16626341403753
5037,3556,24,22,66,0.5620176699594595,12.926406409067567
5038,4082,27,22,66,0.6715580419113394,15.445834963960806
5039,2455,19,17,51,1.1415163250001368,20.54729385000246
5040,1399,14,17,51,1.6803509179436433,30.24631652298558
5041,3187,24,18,54,0.6020824635266572,11.439566807006486
5042,19224,55,54,162,0.9323362960554236,51.2784962830483
5043,1349,15,13,39,1.4009641482126816,19.613498074977542
5044,1032,13,12,36,1.4786990234603694,19.2230873049848
5045,10800,41,43,129,1.1672207695704524,51.35771386109991
5046,16044,37,71,213,0.7039265333089492,49.978783864935394
5047,16446,56,41,123,0.855442537784776,35.92858658696059
5048,5235,31,21,63,1.0975662258642842,24.146456969014253
5049,2508,21,16,48,1.2150096634705894,20.65516427900002
5050,378,7,7,21,1.5220774852459726,12.176619881967781
5051,12603,46,44,132,1.132683145577903,50.97074155100563
5052,9662,34,47,141,0.3904926816449006,18.743648718955228
5053,4013,27,21,63,1.3998209319099921,30.796060502019827
5054,1351,14,16,48,1.7214441659998556,27.54310665599769
5055,2582,19,27,81,0.9967527395726522,27.909076708034263
5056,1338,15,12,36,0.9262594183125586,12.041372438063263
5057,523,6,12,36,2.448960293764965,31.836483818944544
5058,6224,34,26,78,0.965827700257823,26.077347906961222
5059,826,9,13,39,0.7152617784314705,10.013664898040588
5060,7340,23,46,138,0.48365432501955086,22.73175327591889
5061,22260,65,48,144,0.5359660420609562,26.262336060986854
5062,29708,74,55,165,1.426515367871616,78.45834523293888
5063,3394,24,22,66,1.5186761781299973,34.92955209698994
5064,6874,35,31,93,0.9094581345302686,29.102660304968595
5065,317,6,7,21,1.7514941522513254,14.011953218010603
5066,4310,26,18,54,1.518656051107284,28.854464971038396
5067,12144,48,34,102,0.9293231627404955,32.526310695917346
5068,2023,17,18,54,0.8131818378445276,15.450454919046024
5069,11835,46,41,123,0.9612091164058906,40.370782889047405
5070,10189,43,37,111,0.6179150056046446,23.480770212976495
5071,7408,37,26,78,0.8334319888893299,22.502663700011908
5072,6541,29,41,123,0.8330110168792002,34.98646270892641
5073,24308,64,70,210,0.4621191223674211,32.8104576880869
5074,4292,28,21,63,1.9166770688633816,42.166895514994394
5075,8784,32,39,117,0.3478002950014343,13.912011800057371
5076,1804,13,19,57,0.9238369603997854,18.476739207995706
5077,4034,25,30,90,1.2214890494210375,37.86616053205216
5078,1869,14,21,63,1.3330127181924625,27.99326708204171
5079,17812,58,46,138,0.7399216086790709,34.77631560791633
5080,7181,32,35,105,0.47775131922106895,17.19904749195848
5081,1507,16,13,39,0.5018157530711116,7.025420542995562
5082,1075,9,17,51,1.4263171088330435,25.673707958994783
5083,6403,34,28,84,0.7084760885165827,20.5458065669809
5084,358,7,6,18,1.9570108038543756,13.69907562698063
5085,1836,15,20,60,1.107179247905151,23.25076420600817
5086,1415,11,21,63,1.254985337380536,26.354692084991257
5087,2724,22,16,48,0.6089658758822171,10.352419889997691
5088,821,11,11,33,2.115603520337269,25.38724224404723
5089,1795,17,14,42,1.448100284867299,21.721504273009486
5090,11897,45,39,117,0.8173655744874103,31.877257405009004
5091,5446,31,26,78,1.0454871474433243,28.228152980969753
5092,1856,15,19,57,0.7726896580992616,15.453793161985232
5093,32726,76,63,189,1.700669093702345,108.84282199695008
5094,3314,16,29,87,1.336851436997434,40.10554310992302
5095,2311,15,23,69,1.6608955602926774,39.86149344702426
5096,27178,55,95,285,0.7638275654580866,73.32744628397631
5097,3618,25,21,63,0.9578436445921067,21.072560181026347
5098,2871,19,26,78,1.2055800782955313,32.55066211397934
5099,1211,11,16,48,1.314748127708513,22.35071817104472
