seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,11768,47,34,102,1.2663263366287407,44.32142178200593
5001,3118,22,24,72,0.4568375435828784,10.964101045989082
5002,4606,29,23,69,1.3966530848252738,32.1230209509813
5003,5543,32,23,69,0.6831913237504826,16.396591770011582
5004,5217,31,22,66,0.8309563633463214,19.111996356965392
5005,4783,29,23,69,0.800828452374238,19.219882856981712
5006,4259,28,19,57,1.0716636636505428,21.433273273010855
5007,6783,21,43,129,0.4597258728178779,20.227938403986627
5008,4611,29,23,69,1.2661000296666316,30.38640071199916
5009,51690,76,111,333,0.44213354073209693,49.518956561994855
5010,10695,45,31,93,0.9277514646241798,29.688046867973753
5011,2325,18,21,63,0.9543590775905283,20.995899706991622
5012,9039,36,38,114,1.6064846367946115,62.65290083498985
5013,7012,35,31,93,0.9216074748419487,29.49143919494236
5014,4360,28,21,63,0.7467021793629762,16.427447945985477
5015,888,11,13,39,3.4554342984961943,48.37608017894672
5016,6617,34,33,99,1.2386573347937562,42.11434938298771
5017,10259,37,42,126,0.7948030663483646,34.17653185297968
5018,22911,66,46,138,0.8433723137460084,39.638498746062396
5019,4920,30,24,72,1.3271193700406,33.177984251015005
5020,9057,25,58,174,0.8180857544054052,48.26705950991891
5021,703,8,11,33,2.3049918069179207,27.65990168301505
5022,1470,15,14,42,1.9813278660013263,29.719917990019894
5023,4906,30,23,69,0.6652850012505951,15.966840030014282
5024,2480,17,20,60,0.8798376109501987,17.596752219003974
5025,1350,15,13,39,1.9969333735716646,27.957067230003304
5026,2050,14,20,60,0.5194741207600427,10.908956535960897
5027,9579,41,36,108,0.7189598279463196,26.601513634013827
5028,25931,65,70,210,0.8951374116748437,63.5547562289139
5029,5024,30,25,75,0.5096418286154333,13.250687544001266
