seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,2650,18,24,72,1.0204694446391658,25.511736115979147
5001,1033,13,11,33,0.8556493352468048,10.267792022961657
5002,4890,30,22,66,1.9085531266515001,43.8967219129845
5003,3185,24,17,51,1.0051230953338544,18.092215716009378
5004,1510,16,13,39,1.9193106605006116,26.870349247008562
5005,38960,59,131,393,0.5086364721582592,67.14001432489022
5006,10267,44,30,90,0.9549608747094622,29.603787115993327
5007,5721,25,33,99,1.064360195029568,36.18824663100531
5008,4570,28,27,81,1.5098419083224144,42.2755734330276
5009,25834,63,65,195,0.6803767356054088,44.90486454995698
5010,57369,105,81,243,0.9466797362199542,77.62773837003624
5011,1825,12,21,63,1.2071908364543396,26.55819840199547
5012,11780,34,49,147,0.9641112836610409,48.20556418305205
5013,5020,27,29,87,0.9716997898673677,29.150993696021033
5014,1721,17,12,36,1.491672437998484,19.391741693980293
5015,888,11,13,39,4.862321830215349,68.07250562301488
5016,785,10,13,39,2.885193714712971,40.39271200598159
5017,2550,14,29,87,1.5304692382652623,45.91407714795787
5018,12450,47,39,117,1.2119933796002442,48.47973518400977
5019,6832,35,30,90,1.3965389985814616,43.29270895602531
5020,971,9,15,45,1.7868113622544115,28.588981796070584
5021,703,8,11,33,3.1094171799195465,37.31300615903456
5022,892,12,10,30,3.41849478581571,37.60344264397281
5023,28403,74,55,165,1.1418662662682826,63.944510911023826
5024,1501,16,12,36,1.3604066280744378,17.685286164967692
5025,1524,12,19,57,1.8467881534001207,36.935763068002416
5026,9790,38,50,150,0.32667761705827203,16.660558469971875
5027,38334,85,66,198,0.7157772918218319,47.95707855206274
5028,8125,39,28,84,1.4531851854809592,42.14237037894782
5029,2947,21,24,72,0.4835790471191285,12.089476177978213
