seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,11768,47,34,102,1.7625928401726665,61.690749406043324
5001,1033,13,11,33,0.8210056464170824,9.852067757004988
5002,4606,29,23,69,1.9739657450852024,45.40121213695966
5003,5543,32,23,69,0.9664683167496454,23.19523960199149
5004,5217,31,22,66,1.1722251504777332,26.961178460987867
5005,18907,52,57,171,0.709404729241967,41.14547429603408
5006,5907,33,24,72,1.2600750410413941,30.24180098499346
5007,2083,19,15,45,1.1815445136244307,18.90471221799089
5008,6000,33,27,81,1.273507410642716,35.658207497996045
5009,5532,32,23,69,0.9147446112504743,21.953870670011383
5010,10695,45,31,93,1.2687218700298217,40.599099840954295
5011,2345,18,21,63,1.224783518499118,26.945237406980596
5012,4173,19,34,102,1.4690620349433239,51.41717122301634
5013,3303,20,26,78,1.1355848391920937,29.525205818994436
5014,1721,17,12,36,1.5340929520002997,19.943208376003895
5015,22320,46,75,225,1.3455772391202239,100.91829293401679
5016,6687,34,33,99,1.7523444317639052,59.57971067997278
5017,9474,42,34,102,1.2989873609998648,44.1655702739954
5018,18284,45,55,165,0.8596387784637045,48.13977159396745
5019,4930,30,24,72,1.8385688930790638,45.964222326976596
5020,971,9,15,45,1.826097326937088,29.217557230993407
5021,703,8,11,33,3.2237491259159774,38.68498951099173
5022,1470,15,14,42,2.7566624725994187,41.34993708899128
5023,4906,30,23,69,0.931758092125771,22.362194211018505
5024,2480,17,20,60,1.205795818648039,24.115916372960783
5025,198,4,7,21,4.254763804752656,34.03811043802125
5026,2050,14,20,60,0.768306728238323,16.134441293004784
5027,9579,41,36,108,1.037160938864061,38.374954737970256
5028,25931,65,70,210,1.2582169750704952,89.33340523000516
5029,5024,30,25,75,0.6835036924603628,17.771096003969433
