seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,3840,26,20,60,2.875122542568577,60.37757339394011
5001,3336,18,31,93,0.5681903179993242,18.182090175978374
5002,3798,25,24,72,1.74964336928213,43.741084232053254
5003,11181,46,32,96,0.7364731025740956,24.303612384945154
5004,1520,16,13,39,1.6543902730679423,23.16146382295119
5005,6956,36,24,72,1.1633502354001393,29.083755885003484
5006,5668,30,28,84,1.0347035195159622,30.006402065962902
5007,2299,20,16,48,1.1205585551155417,19.049495436964207
5008,7340,37,27,81,1.493814076999115,41.82679415597522
5009,3999,26,25,75,0.8883951529988553,22.209878824971383
5010,7545,29,36,108,1.0625428452413699,39.31408527393069
5011,1909,13,22,66,1.1482780650428892,26.41039549598645
5012,3491,25,20,60,2.1330859649051925,44.79480526300904
5013,12482,46,46,138,0.8705798390632906,40.91725243597466
5014,1541,16,12,36,1.614207142923708,20.984692858008202
5015,2900,19,24,72,2.7195037563989173,67.98759390997293
5016,6617,34,33,99,1.7436353884986602,59.283603208954446
5017,5219,26,31,93,1.3850594563409686,44.321902602910995
5018,3044,23,19,57,1.1737300067019532,23.474600134039065
5019,1848,16,19,57,1.4901010944988229,29.80202188997646
5020,1041,9,15,45,1.9233882248754526,30.77421159800724
5021,703,8,11,33,3.1154003758335116,37.38480451000214
5022,1470,15,14,42,2.714212335200864,40.71318502801296
5023,5275,25,35,105,0.8086333325004994,29.11079997001798
5024,1187,14,11,33,1.3473500053296448,16.168200063955737
5025,1350,15,13,39,2.7197659540719803,38.07672335700772
5026,50410,90,86,258,0.535787249356642,46.61349069402786
5027,17548,58,40,120,1.0563862725127653,43.31183717302338
5028,25288,60,68,204,0.9628406838261677,66.43600718400558
5029,3347,23,24,72,0.7778674039186444,19.44668509796611
