seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,1127,11,16,46,0.6246177812940646,10.618502281999099
5001,1298,11,17,49,0.44941445627773646,8.089460212999256
5002,279,4,11,31,0.7473933940833982,8.968720729000779
5003,1599,15,18,52,0.4828149705262101,9.173484439997992
5004,342,6,9,26,0.6496792480000295,6.496792480000295
5005,283,6,7,19,0.7920078847505465,6.336063078004372
5006,3892,22,20,59,0.5845789635237625,12.276158233999013
5007,454,8,9,25,0.5991150245994504,5.991150245994504
5008,807,11,13,37,0.6253160273572576,8.754424383001606
5009,949,10,15,43,0.5921080514376627,9.473728823002602
5010,2165,18,15,44,0.5766734726248615,9.226775561997783
5011,562,9,10,28,0.8515129538172914,9.366642491990206
5012,36,0,4,10,0.9257487108006899,4.628743554003449
5013,651,8,13,37,0.5531381857854285,7.743934600995999
5014,546,9,8,23,0.6410341856660833,5.769307670994749
5015,551,9,10,29,0.9177549196366189,10.095304116002808
5016,1221,12,19,55,0.588176734449371,11.76353468898742
5017,5226,31,25,73,0.5253089105379052,13.658031673985533
5018,123,3,5,14,0.9097920115000306,5.458752069000184
5019,733,8,14,40,0.628819983399444,9.43229975099166
5020,83,2,5,14,0.8061598781666058,4.836959268999635
5021,551,7,10,28,0.8167936248173646,8.98472987299101
5022,99,3,5,14,0.9255800423325127,5.553480253995076
5023,189,4,7,19,0.6787292418739526,5.4298339349916205
5024,591,9,11,32,0.613542265083197,7.362507180998364
5025,2002,17,20,59,0.5630462385717172,11.823971010006062
5026,1102,12,11,31,0.5257451285006027,6.308941542007233
5027,230,5,7,20,0.6810018082496754,5.448014465997403
5028,1043,13,12,35,0.6131464371534933,7.970903682995413
5029,123,3,5,15,0.9225089032006508,4.612544516003254
5030,2379,13,28,82,0.5178220819654034,15.016840376996697
5031,581,9,10,29,0.7237655417272684,7.961420958999952
5032,486,8,10,29,0.6500187877275245,7.15020666500277
5033,459,8,8,23,0.6616256505553287,5.9546308549979585
5034,158,3,6,17,0.7796792424290159,5.457754697003111
5035,413,7,10,29,0.881238981454358,9.693628795997938
5036,1052,13,13,38,0.7137093464285239,9.991930849999335
5037,226,5,7,20,0.6466902187489723,5.173521749991778
5038,756,10,13,37,0.5374993219998682,7.5249905079981545
5039,241,5,8,23,0.8204636155553291,7.384172539997962
5040,317,6,9,25,0.9569087311996555,9.569087311996554
5041,1891,17,19,55,0.5588159842505774,11.17631968501155
5042,2526,20,21,62,0.7124729716820597,15.674405377005314
5043,224,4,9,25,0.6214189745001931,6.214189745001931
5044,536,8,11,32,0.5555197085001661,6.666236502001993
5045,105,2,6,17,0.94708428528559,6.62958999699913
5046,891,12,12,34,0.612134084230862,7.957743095001206
5047,453,6,11,32,0.661772532166348,7.941270385996177
5048,53,1,4,11,0.9380132741993293,4.690066370996647
5049,1571,11,20,59,0.6033420057146508,12.670182120007667
5050,2275,17,20,59,0.6548661117139134,13.752188345992181
5051,1038,9,14,41,0.8088399996001195,12.132599994001794
5052,237,5,6,17,0.6914735144299422,4.840314601009595
5053,472,7,11,32,0.8016389519998484,9.61966742399818
5054,1305,10,21,62,0.6084876878637508,13.386729133002518
5055,74,1,5,14,0.8599880801660523,5.159928480996314
5056,93,2,5,14,0.7439096281668753,4.463457769001252
5057,610,8,13,38,0.723675075356888,10.131451054996433
5058,245,4,9,26,0.5906074720001925,5.906074720001925
5059,79,1,5,14,0.6933170381659389,4.159902228995634
5060,167,3,7,19,0.5919503754998914,4.735603003999131
5061,54,1,4,11,0.8601306175994978,4.300653087997489
5062,2171,14,32,95,0.6146805008792205,20.284456529014278
5063,788,7,16,48,0.7280421616874264,11.648674586998823
5064,375,6,10,29,0.6168289136367093,6.785118050003803
5065,1357,15,13,38,0.48822158592910064,6.835102203007409
5066,95,2,5,14,0.9581180454994561,5.748708272996737
5067,127,3,6,18,0.7690337939996729,4.614202763998037
5068,467,8,9,26,0.6558689284000139,6.558689284000138
5069,556,9,10,29,0.7351404123642582,8.08654453600684
5070,240,5,7,20,0.8096610626248548,6.477288500998839
5071,54,1,3,9,1.1176720380014256,3.3530161140042765
5072,57,1,4,11,0.794845111000177,3.974225555000885
5073,600,9,11,32,0.6482363618333693,7.778836342000432
5074,1663,15,21,62,0.6829029465456684,15.023864824004704
5075,1592,15,18,53,0.6067176801052961,11.527635922000627
5076,551,6,12,35,0.7220064609232045,9.386083992001659
5077,644,10,9,26,0.6938298323002527,6.9382983230025275
5078,223,5,7,20,0.8236604382495898,6.589283505996718
5079,483,8,10,29,0.6928957817273674,7.621853599001042
5080,498,7,11,32,0.5814879130833409,6.9778549570000905
5081,671,7,14,40,0.6412850154663222,9.619275231994834
5082,973,8,18,53,0.5744551579472931,10.914648000998568
5083,1120,12,16,47,0.5433618188236484,9.237150920002023
5084,2216,15,20,59,0.6170113044759741,12.957237393995456
5085,1050,11,16,46,0.41684416276449854,7.086350766996475
5086,395,4,12,35,0.784498958076046,10.198486454988597
5087,764,9,14,40,0.6574712507324876,9.862068760987313
5088,603,6,13,38,0.7209077062146078,10.092707887004508
5089,40,0,3,8,0.6681262732490723,2.672505092996289
5090,893,12,11,32,0.6374844176677167,7.649813012012601
