seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,3204,24,17,51,2.571504681388938,46.287084265000885
9001,6602,35,26,78,2.641318548185154,71.31560080099916
9002,10711,45,33,99,2.8373371108527863,96.46946176899473
9003,2277,20,15,45,1.9851201685623892,31.761922696998226
9004,961,9,14,42,2.7891694639997393,41.83754195999609
9005,11070,33,46,138,2.307814614617142,108.46728688700568
9006,10981,32,64,192,2.260448982446094,146.9291838589961
9007,1315,11,12,36,3.0147794266150205,39.192132545995264
9008,1437,12,19,57,2.0411837423998804,40.82367484799761
9009,214,3,7,21,2.8986597877499207,23.189278301999366
9010,3289,17,31,93,2.5319224720647218,78.48959663400638
9011,6962,27,43,129,2.3749767619318103,104.49897752499965
9012,22518,61,62,186,2.108902082364968,132.86083118899296
9013,46706,73,91,273,2.2959965258803647,211.23168038099357
9014,1878,18,15,45,2.610925523374817,41.774808373997075
9015,336,5,8,24,2.959521629000139,26.635694661001253
9016,22892,66,53,159,2.6390749047407858,142.51004485600242
9017,571,9,9,27,2.6821700661997965,26.821700661997966
9018,9652,32,50,150,2.7509726455685035,140.29960492399368
9019,12973,41,47,141,1.9586297949166085,94.01423015599721
9020,35689,80,54,162,2.738428057691007,150.61354317300538
9021,8728,38,35,105,2.205525792472397,79.3989285290063
9022,9452,31,41,123,2.05897571847622,86.47698017600123
9023,798,9,12,36,2.8857897854616636,37.51526721100163
9024,9434,41,32,96,2.5491641508484792,84.12241697799982
9025,6249,34,25,75,2.580785650153932,67.10042690400223
9026,9183,38,39,117,2.511081499949978,100.44325999799912
9027,13977,47,49,147,2.622139828780055,131.10699143900274
9028,2218,18,20,60,2.5336720102857813,53.207112216001406
9029,2591,20,22,66,2.759953331478201,63.47892662399863
